Department Family,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Voluntary & Community Sector,SME Class,Sole Trader,Transaction number,Purchasing Item Text,Postal Code,Amount in Sterling,Grant?
Communities & Local Government,PINS,01/08/2012,Agency Staff,Human Resources,CAPITA RESOURCING LTD,,Large,,5106181815,Extension 09/07/12 - 31/12/12,SL6 1DP,"2,992.26",
Communities & Local Government,PINS,01/08/2012,Courier Services,Finance & Procurement,ROYAL MAIL,,Large,,5106181803,Post & Courier Charges,S49 1HQ,"2,301.50",
Communities & Local Government,PINS,01/08/2012,Facilities Management (ISD use only),Estates,TAYLOR WOODROW CONSTRUCTION,,Large,,5106181792,FM Services - June 2012,WD24 4WW,"106,974.48",
Communities & Local Government,PINS,01/08/2012,NSI Fees & Expenses,NSI Fees Planning,ELIZABETH LAWRENCE LTD,,Micro,,2100001885,#,RH20 3LY,"1,680.00",
Communities & Local Government,PINS,01/08/2012,NSI Fees & Expenses,NSI Expenses Planning,ELIZABETH LAWRENCE LTD,,Micro,,2100001885,#,RH20 3LY,34.56,
Communities & Local Government,PINS,01/08/2012,NSI Fees & Expenses,NSI Fees Planning,ELIZABETH LAWRENCE LTD,,Micro,,2100001886,#,RH20 3LY,"9,072.00",
Communities & Local Government,PINS,01/08/2012,NSI Fees & Expenses,NSI Expenses Planning,ELIZABETH LAWRENCE LTD,,Micro,,2100001886,#,RH20 3LY,346.14,
Communities & Local Government,PINS,01/08/2012,NSI Fees & Expenses,NSI Fees Planning,SIMON MILES PLANNING,,Micro,,2100001879,#,EX20 4JW,"4,788.00",
Communities & Local Government,PINS,01/08/2012,NSI Fees & Expenses,NSI Expenses Planning,SIMON MILES PLANNING,,Micro,,2100001879,#,EX20 4JW,750.66,
Communities & Local Government,PINS,01/08/2012,Office Machinery (<£5000),ICT,NEW RICOH UK,,Large,,5106181800,Copy Costs B&W,TW13 7HG,262.40,
Communities & Local Government,PINS,01/08/2012,Office Machinery (<£5000),ICT,NEW RICOH UK,,Large,,5106181800,Copy Costs Colour,TW13 7HG,"1,105.27",
Communities & Local Government,PINS,01/08/2012,Office Machinery (<£5000),ICT,NEW RICOH UK,,Large,,5106181800,Rental,TW13 7HG,332.17,
Communities & Local Government,PINS,01/08/2012,Office Machinery (<£5000),ICT,NEW RICOH UK,,Large,,5106181807,Copy Costs B&W,TW13 7HG,203.52,
Communities & Local Government,PINS,01/08/2012,Office Machinery (<£5000),ICT,NEW RICOH UK,,Large,,5106181807,Copy Costs Colour,TW13 7HG,630.85,
Communities & Local Government,PINS,01/08/2012,Office Machinery (<£5000),ICT,NEW RICOH UK,,Large,,5106181807,Rental,TW13 7HG,332.16,
Communities & Local Government,PINS,01/08/2012,Office Machinery (<£5000),ICT,NEW RICOH UK,,Large,,5106181808,Copy Costs B&W,TW13 7HG,32.48,
Communities & Local Government,PINS,01/08/2012,Office Machinery (<£5000),ICT,NEW RICOH UK,,Large,,5106181808,Copy Costs Colour,TW13 7HG,215.66,
Communities & Local Government,PINS,01/08/2012,Office Machinery (<£5000),ICT,NEW RICOH UK,,Large,,5106181808,Rental,TW13 7HG,332.17,
Communities & Local Government,PINS,01/08/2012,Office Machinery (<£5000),ICT,NEW RICOH UK,,Large,,5106181810,Copy Costs B&W,TW13 7HG,178.97,
Communities & Local Government,PINS,01/08/2012,Office Machinery (<£5000),ICT,NEW RICOH UK,,Large,,5106181810,Copy Costs Colour,TW13 7HG,"2,058.18",
Communities & Local Government,PINS,01/08/2012,Office Machinery (<£5000),ICT,NEW RICOH UK,,Large,,5106181810,Rental,TW13 7HG,332.16,
Communities & Local Government,PINS,01/08/2012,Office Machinery (<£5000),ICT,NEW RICOH UK,,Large,,5106181812,Copy Costs B&W,TW13 7HG,80.77,
Communities & Local Government,PINS,01/08/2012,Office Machinery (<£5000),ICT,NEW RICOH UK,,Large,,5106181812,Copy Costs Colour,TW13 7HG,159.97,
Communities & Local Government,PINS,01/08/2012,Office Machinery (<£5000),ICT,NEW RICOH UK,,Large,,5106181812,Rental,TW13 7HG,332.16,
Communities & Local Government,PINS,01/08/2012,Office Machinery (<£5000),ICT,NEW RICOH UK,,Large,,5106181813,Copy Costs B&W,TW13 7HG,63.16,
Communities & Local Government,PINS,01/08/2012,Office Machinery (<£5000),ICT,NEW RICOH UK,,Large,,5106181813,Copy Costs Colour,TW13 7HG,555.75,
Communities & Local Government,PINS,01/08/2012,Office Machinery (<£5000),ICT,NEW RICOH UK,,Large,,5106181813,Rental,TW13 7HG,332.16,
Communities & Local Government,PINS,01/08/2012,Office Machinery (<£5000),ICT,NEW RICOH UK,,Large,,5106181814,Copy Costs B&W,TW13 7HG,59.60,
Communities & Local Government,PINS,01/08/2012,Office Machinery (<£5000),ICT,NEW RICOH UK,,Large,,5106181814,Copy Costs Colour,TW13 7HG,307.03,
Communities & Local Government,PINS,01/08/2012,Office Machinery (<£5000),ICT,NEW RICOH UK,,Large,,5106181814,Rental,TW13 7HG,332.17,
Communities & Local Government,PINS,01/08/2012,Office Machinery (<£5000),ICT,NEW RICOH UK,,Large,,5106181821,Copy Costs B&W,TW13 7HG,78.72,
Communities & Local Government,PINS,01/08/2012,Office Machinery (<£5000),ICT,NEW RICOH UK,,Large,,5106181821,Copy Costs Colour,TW13 7HG,526.48,
Communities & Local Government,PINS,01/08/2012,Office Machinery (<£5000),ICT,NEW RICOH UK,,Large,,5106181821,Rental,TW13 7HG,332.16,
Communities & Local Government,PINS,01/08/2012,Travel and Subsistence Account,Finance & Procurement,REDFERN TRAVEL LIMITED,,Small,,5106181835,Air Travel June 2012,BD1 3AZ,"1,247.46",
Communities & Local Government,PINS,01/08/2012,Travel and Subsistence Account,Finance & Procurement,REDFERN TRAVEL LIMITED,,Small,,5106181835,Rail Costs June 2012,BD1 3AZ,"19,886.96",
Communities & Local Government,PINS,01/08/2012,Travel and Subsistence Account,Finance & Procurement,REDFERN TRAVEL LIMITED,,Small,,5106181835,Hotel Costs June 2012,BD1 3AZ,"13,070.87",
