"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00000001","B1","56436","72185","HR Officer","1.00","Human Resources"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00000001","B2","47942","59535","HR Officer","4.00","Human Resources"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00000001","C1","35648","44268","HR Officer","11.00","Communications"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00000001","C2","29258","36333","HR Officer","12.00","Human Resources"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00000001","D","23427","29092","HR Officer","8.00","Human Resources"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00000001","E1","18370","22124","HR Officer","8.00","Human Resources"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00000001","OF2","37916","45090","HR Officer","1.00","Military"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00000001","OF4","67032","77617","HR Officer","5.00","Military"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00000001","OF5","81310","89408","HR Officer","1.00","Military"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00000001","OR1-3","17515","28940","HR Officer","2.00","Military"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00000001","OR5-6","30013","36929","HR Officer","2.00","Military"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00000001","OR7-8","33223","43252","HR Officer","1.00","Military"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00000001","OR9","38600","46753","HR Officer","3.00","Military"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00000001","Retired Offr 1","37819","44268","HR Support Officer","1.00","Human Resources"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00000043","B1","56436","72185","Performance Management","2.00","Programme and Project Management (PPM)"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00000043","B2","47942","59535","Performance Management","2.00","Programme and Project Management (PPM)"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00000043","C1","35648","44268","Performance Management","9.00","Programme and Project Management (PPM)"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00000043","C2","29258","36333","Performance Management","4.00","Programme and Project Management (PPM)"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00000043","E1","18370","22124","Performance Management","1.00","Programme and Project Management (PPM)"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00000047","B1","56436","72185","Project Support Officer","5.00","Programme and Project Management (PPM)"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00000047","B2","47942","59535","Project Support Officer","18.00","Programme and Project Management (PPM)"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00000047","C1","35648","44268","Project Support Officer","82.00","Programme and Project Management (PPM)"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00000047","C2","29258","36333","Project Support Officer","82.00","Programme and Project Management (PPM)"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00000047","D","23427","29092","Project Support Officer","34.00","Programme and Project Management (PPM)"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00000047","E1","18370","22124","Project Support Officer","23.00","Programme and Project Management (PPM)"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00000047","E2","15623","18815","Project Support Officer","3.00","Programme and Project Management (PPM)"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00000047","OF2","37916","45090","Procurement Support Officer","16.00","Military"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00000047","OF3","47760","57200","Procurement Support Officer","38.00","Military"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00000047","OF4","67032","77617","Procurement Support Officer","19.00","Military"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00000047","OF5","81310","89408","Procurement Support Officer","3.00","Military"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00000047","OR4","26405","33182","Procurement Support Officer","13.00","Military"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00000047","OR5-6","30013","36929","Procurement Support Officer","23.00","Military"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00000047","OR7-8","33223","43252","Procurement Support Officer","52.00","Military"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00000047","OR9","38600","46753","Procurement Support Officer","8.00","Military"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00000052","B1","56436","72185","Commercial Officer","4.00","Procurement"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00000052","B2","47942","59535","Commercial Officer","4.00","Procurement"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00000052","C1","35648","44268","Commercial Officer","17.00","Procurement"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00000052","C2","29258","36333","Commercial Officer","31.00","Procurement"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00000052","D","23427","29092","Commercial Officer","23.00","Procurement"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00000052","E1","18370","22124","Commercial Officer","5.00","Procurement"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00000057","C1","35648","44268","IPR Manager","1.00","Knowledge and Information Management (KIM)"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00000057","C2","29258","36333","IPR Manager","1.00","Knowledge and Information Management (KIM)"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00000057","D","23427","29092","IPR Manager","1.00","Knowledge and Information Management (KIM)"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00000057","E1","18370","22124","IPR Manager","5.00","Knowledge and Information Management (KIM)"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00000057","E1","18370","22124","IPR Manager","2.00","Knowledge and Information Management (KIM)"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00000057","Retired Offr 1","37819","44268","IPR Manager","13.00","Knowledge and Information Management (KIM)"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00000066","B1","56436","72185","Project Support Officer","1.00","Programme and Project Management (PPM)"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00000066","OR5-6","30013","36929","Project Support Officer","1.00","Military"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00000066","OR7-8","33223","43252","Project Support Officer","1.00","Military"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00000068","B1","56436","72185","Commercial Officer","3.00","Procurement"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00000068","B2","47942","59535","Commercial Officer","9.00","Procurement"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00000068","C1","35648","44268","Commercial Officer","18.00","Procurement"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00000068","C2","29258","36333","Commercial Officer","30.00","Procurement"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00000068","D","23427","29092","Commercial Officer","23.00","Procurement"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00000068","E1","18370","22124","Commercial Officer","4.00","Procurement"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00000079","B1","56436","72185","Project Support Officer","2.00","Programme and Project Management (PPM)"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00000079","B2","47942","59535","Project Support Officer","12.00","Programme and Project Management (PPM)"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00000079","C1","35648","44268","Project Support Officer","32.00","Programme and Project Management (PPM)"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00000079","C2","29258","36333","Project Support Officer","22.00","Programme and Project Management (PPM)"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00000079","D","23427","29092","Project Support Officer","6.00","Programme and Project Management (PPM)"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00000079","E1","18370","22124","Project Support Officer","1.00","Programme and Project Management (PPM)"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00000079","OF2","37916","45090","Project Support Officer","14.00","Military"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00000079","OF3","47760","57200","Project Support Officer","4.00","Military"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00000079","OF4","67032","77617","Project Support Officer","5.00","Military"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00000079","OF5","81310","89408","Project Support Officer","2.00","Military"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00000079","OR9","38600","46753","Project Support Officer","3.00","Military"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00000079","Retired Offr 1","37819","44268","Project Support Officer","1.00","Programme and Project Management (PPM)"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00000178","B1","56436","72185","Policy Adviser","6.00","Policy"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00000178","B2","47942","59535","Policy Adviser","9.00","Policy"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00000178","C1","35648","44268","Policy Adviser","16.00","Policy"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00000178","C2","29258","36333","Policy Adviser","11.00","Policy"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00000178","D","23427","29092","Policy Adviser","2.00","Policy"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00000178","E1","18370","22124","Policy Adviser","5.00","Policy"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00000178","Retired Offr 1","37819","44268","Policy Adviser","1.00","Policy"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00000721","B1","56436","72185","Commercial Officer","13.00","Procurement"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00000721","B2","47942","59535","Commercial Officer","42.00","Procurement"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00000721","C1","35648","44268","Commercial Officer","196.00","Procurement"
