Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Department for Communities & Local Government ,Ministerial Department,Department for Communities & Local Government,126,121.8,249,240.2,739,722.3,547,530.5,88,85,0,0,1749,1699.8,11,11,4,4,22,22,4,4,41,41,1790,1740.8,5780130.42,78569.01,405900,29530.05,1175725.67,572880.69,8042735.84,361811,183025,544836,8587571.84,
Fire Service College,Executive Agency,Department for Communities & Local Government,66,61.6,32,30.4,67,65.4,15,14.5,1,1,0,0,181,172.9,1,1,4,3.8,0,0,0,0,5,4.8,186,177.7,292927.54,52605.9,21026.89,0,0,0,366560.33,36345.85,0,36345.85,402906.18,
Planning Inspectorate,Executive Agency,Department for Communities & Local Government,210,186.16,133,122,93,90.67,286,239.23,7,7,0,0,729,645.06,0,0,0,0,0,0,0,0,0,0,729,645.06,2044451.4,19017.36,0,5076.89,423194.43,194552.59,2686292.67,0,0,0,2686292.67,
Queen Elizabeth II Conference Centre,Executive Agency,Department for Communities & Local Government,4,4,8,8,26,26,3,3,1,1,0,0,42,42,1,1,0,0,0,0,3,3,4,4,46,46,121693.83,0,0,10150.89,23040.1,7835.89,162720.71,1645,5843,7488,170208.71,
Homes & Communities Agency,Executive Non-Departmental Public Body,Department for Communities & Local Government,124,119.96,200,196.38,223,217.57,36,35.8,43,42.88,240,235.55,866,848.14,6,6,0,0,8,8,5,5,19,19,885,867.14,3012745.79,248671.42,0,13098.79,668370.89,302064.66,4244951.55,34341,25708,60049,4305000.55,
Independent Housing Ombudsman Ltd,Executive Non-Departmental Public Body,Department for Communities & Local Government,0,0,0,0,0,0,0,0,0,0,39,38,39,38,1,1,0,0,0,0,0,0,1,1,40,39,155183.06,64.28,0,0,28720.05,15243.01,199210.4,2452,0,2452,201662.4,
Leasehold Advisory Service,Executive Non-Departmental Public Body,Department for Communities & Local Government,3,2.4,1,1,17,16,0,0,1,1,0,0,22,20.4,0,0,0,0,0,0,0,0,0,0,22,20.4,65087,0,0,0,5924,7027,78038,0,0,0,78038,
London Thames Gateway Development Corporation,Executive Non-Departmental Public Body,Department for Communities & Local Government,0,0,1,1,7,6.3,5,4.8,6,6,0,0,19,18.1,1,0.85,0,0,0,0,3,1.26,4,2.11,23,20.21,84810.37,0,0,0,11193.9,8613.74,104618.01,7518,22758,30276,134894.01,
Valuation Tribunal Service,Executive Non-Departmental Public Body,Department for Communities & Local Government,19,18.37,4,4,30,28.88,19,19,1,1,0,0,73,71.25,3,3,0,0,0,0,0,0,3,3,76,74.25,207539,3451,0,0,43995,17993,272978,3901,0,3901,276879,
West Northamptonshire Development Corporation,Executive Non-Departmental Public Body,Department for Communities & Local Government,6,5.75,7,6.54,9,8.7,2,2,3,3,9,1.5,36,27.49,0,0,0,0,0,0,1,0.6,1,0.6,37,28.09,120416.18,4800,0,0,8644.35,11864.85,145725.38,0,4750.5,4750.5,150475.88,
