FREEDOM OF INFORMATION,,
MOD Requests to 27 August 2010,,
"CIO-CI-Access Team, Ministry of Defence, CIO-FOI@mod.uk",,
,,
,,
Case Number,Date Due,Request Summary
02-08-2010-091159-001,27/08/2010,"Please give me an excel list of all FOI requests you have had since it became law. for each FOI request, please list: date of request; date of reply; reference number/ID; subject/title of the request [each request on the list should include the subject/title of the request please]; status [whether information was fully released, partially released or withheld]."
02-08-2010-092247-001,31/08/2010,"Provide a map showing the geographic extent of UK internal waters as defined by the UN convention of the law of the sea.  If you are unable to provide a map then a clearly set out description of the limits will suffice, providing it clearly names the points of land and other geographic features upon which the description of the extent of the waters is based."
02-08-2010-094635-002,31/08/2010,Provide a map showing the geographic extent of UK internal waters as defined by the UN convention of the law of the sea.
02-08-2010-094847-002,23/08/2010,"US military men based in Suffolk in 1980 were spooked when they saw a brightly lit UFO land in the forest close to their base. There were other witnesses to the phenomenon but the information has been kept Top Secret - until now.  Known as The Rendlesham File could you please send me a copy before its release.  Until now, only 20 members of the public have set eyes on the file, I would like to see a copy before release."
02-08-2010-095947-001,31/08/2010,I would like to see any records still held by the MoD pertaining to Lancaster III serial SW363 which crashed in Scotland on Jan 12th 1950.
02-08-2010-101005-003,31/08/2010,"Please can you state, for IT procurements currently in progress today (31/07/2010) where the IT spend is likely to be over £1 million, where the policy on Open Source has been applied, and where it hasn't."
02-08-2010-112221-002,27/08/2010,What is the amount paid under the AFCS for injuries in Afghanistan between April 2009 - April 2010.
02-08-2010-112753-004,31/08/2010,"Provide a list of fuel gauge defects for the period May 2006 and May 2007. List should specify nature of defect, rectification, a/c tail number and date.  Also, can you advise me as to XV260's deployment date (Gulf) in 2006, and what was its previous servicing (EQ, Primary, Major etc)?"
02-08-2010-120600-005,31/08/2010,As of 1 July 2010 please advise the number of armed forces uniformed translators/interpreters in 7 languages serving in Afghanistan.
02-08-2010-141306-001,16/08/2010,"Copies of any reports, studies, discussion or other relevant documents relating to MOD studies of ball lightning and/or other atmospheric plasma phenomena.  In particular any papers concerning work done on the possible military applications of ball lightning on the battlefield."
02-08-2010-141754-001,31/08/2010,The number of containers moved by rail.  The number of containers moved by road. The costs of vehicles and equipment by rail and road moves and numbers again from Marchwood to other rail served depots and vice versa in a twelve month period.
02-08-2010-161030-002,31/08/2010,"Request for a regional breakdown of the statistics released in the recent DASA report Quarterly Op HERRICK and Op TELIC Amputation Statistics 1 April 2006 - 30 June 2010 ( published: 30 Jul 2010). For the dates covered in the report provide the numbers of Merseyside servicemen whose injuries included a traumatic or surgical amputation, partial or complete, for either upper or lower limbs or who have been identified as identified as significant multiple amputees.  Provide statistics for the same years for the number of Merseyside personnel deployed in Op HERRICK and Op TELIC diagnosed with psychiatric illnesses."
02-08-2010-161852-001,31/08/2010,"Seven questions requesting information on corporate group buildings window cleaning contract, or contracts for in Greater London."
02-08-2010-162938-001,26/08/2010,"Request for copies of all information and correspondence exchanged between the MOD and the Scottish Government Department of Planning and Environmental Appeals and related information and correspondence between the MOD and North British Windpower and/or agents or advisors to that company, concerning the release of the unclassified version of the Additional Radar Study, from 1st March 2010 to the present date."
03-08-2010-095623-001,26/08/2010,"In February 2010, I received from you stats relating to MDP Officers throughout the force that were PST qualified as of Wednesday 16th September2009 and which were broken down per Division including HQs staff. These stats were to include stats of those not able to qualify and/or are exempt short term and long term for medical reasons.  I now request the same stats from 22 January 2010 up to the end of July 2010.  I also request stats of those officers that fall within the above criteria, that have been referred down the ill health retirement route by line management. For these stats I request the information to be between 16th September 2010 and the end of July 2010."
03-08-2010-100226-002,26/08/2010,Request relates to the policing of the Easington gas terminal in East Yorkshire.  Are MOD armed police still guarding the gas terminal against terrorist attacks? Which sites in Easington are police guarding?  What is the reason for the armed guards?  How often is this reviewed? How many officers guard the site at any one time?  Is the site guarded 24-hours?  How much money has it cost to guard sites in Easington?
03-08-2010-100751-001,01/09/2010,"Statistics regarding personnel who have commissioned from the ranks. Information for the 3 Services, Army, Navy, and RAF for the past 3 years.  Additionally, provide a percentage comparison between those commissioning from within the ranks against those who are direct entry commissions."
03-08-2010-105115-001,01/09/2010,How many employees from your Department have been dismissed from their employment in the last 5 years due to; Abuse of computer systems;  Breach of Computer/Privacy Policies
03-08-2010-145350-001,01/09/2010,According to the website of 'skywatch civil air patrol' they receive taskings from ARCC. Can you advise how many occasions ARCC has tasked skywatch or forwarded requests for air support to skywatch?
03-08-2010-150119-001,01/09/2010,Four questions regarding International Defence Training for Aeronautical Engineering.
