Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type,Contract Number,Project Code,Expenditure Type
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/10/2011,Car Hire and Leasing,Business & Skills Group - Business & Skills,ARVAL (UK) LTD,1031236,103.12,RUNNING COSTS DEVOLVED-Car Hire and Leasing,SN5 6PQ,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/10/2011,Car Hire and Leasing,Business & Skills Group - FE & Skills Investment,ARVAL (UK) LTD,1031236,119.8,RUNNING COSTS DEVOLVED-Car Hire and Leasing,SN5 6PQ,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/10/2011,Car Hire and Leasing,Business & Skills Group - FE & Skills Investment,ARVAL (UK) LTD,1031236,80.58,RUNNING COSTS DEVOLVED-Car Hire and Leasing,SN5 6PQ,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/10/2011,Car Hire and Leasing,Business & Skills Group - FE & Skills Investment,ARVAL (UK) LTD,1031236,714.87,RUNNING COSTS DEVOLVED-Car Hire and Leasing,SN5 6PQ,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/10/2011,Car Hire and Leasing,Business & Skills Group - FE & Skills Investment,ARVAL (UK) LTD,1031236,44,RUNNING COSTS DEVOLVED-Car Hire and Leasing,SN5 6PQ,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/10/2011,Car Hire and Leasing,Business & Skills Group - Skills,ARVAL (UK) LTD,1031236,55.76,RUNNING COSTS DEVOLVED-Car Hire and Leasing,SN5 6PQ,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/10/2011,Car Hire and Leasing,Business & Skills Group - Skills,ARVAL (UK) LTD,1031236,56,RUNNING COSTS DEVOLVED-Car Hire and Leasing,SN5 6PQ,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/10/2011,Car Hire and Leasing,Business & Skills Group - FE & Skills Investment,ARVAL (UK) LTD,1031237,97.48,RUNNING COSTS DEVOLVED-Car Hire and Leasing,SN5 6PQ,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/10/2011,Car Hire and Leasing,Business & Skills Group - FE & Skills Investment,ARVAL (UK) LTD,1031237,112,RUNNING COSTS DEVOLVED-Car Hire and Leasing,SN5 6PQ,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/10/2011,Car Hire and Leasing,Business & Skills Group - Skills,ARVAL (UK) LTD,1031237,43,RUNNING COSTS DEVOLVED-Car Hire and Leasing,SN5 6PQ,,,,Administration
