NSS,Aug-12,,MHS Stage One Complaint Rate %,Aug-12,,Helpdesk National,Aug-12
East,64.41,,East,1.79%,,1,1.63%
London,58.96,,London,2.94%,,2,0.65%
North,85.27,,North,0.88%,,3,0.76%
South East,64.68,,South East,2.39%,,4,0.87%
South West,66.8,,South West,1.94%,,5,2.17%
West,72.58,,West,0.58%,,6,1.63%
UK,67.83,,UK,1.93%,,7,5.00%
,,,,,,8,21.09%
,,,,,,9,11.52%
National Overall Experience,Aug-12,,MHS Stage Two Complaints,Aug-12,,10,54.67%
1,1.20%,,Stage 2 Complaints,16,,,
2,0.98%,,Stage 2 Complaint %,2.29%,,,
3,0.76%,,,,,,
4,0.22%,,,,,,
5,2.39%,,MHS Stage Two Complaints Volumes,Aug-12
6,1.74%,,Stage 2 Complaints,16
7,3.37%,,,
8,14.24%,,,
9,12.17%,,MHS Helpdesk Phone Answering,Aug-12
10,62.93%,,Calls Answered 120 Secs %,95.99%
,,,Calls Answered 30 Secs %,84.22%


MHS Stage One Complaints,Aug-12,,,
Stage 1 Complaints,700,,,
Stage 1 Complaint %,1.93%,,,
