Department Family,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction number,Amount in Sterling
Communities & Local Government,DCLG,01/12/2010,Accommodation Service Charges,Housing and Planning,DERWENT LONDON PROPERTY MGMT,2100198006,"-35,250.00"
Communities & Local Government,DCLG,01/12/2010,Accommodation Service Charges,Housing and Planning,DERWENT LONDON PROPERTY MGMT,5106152148,"35,250.00"
Communities & Local Government,DCLG,01/12/2010,Current (non AEF) Grants to Local Authorities,Housing and Planning,WEST SUSSEX CC,2100197948,867.36
Communities & Local Government,DCLG,01/12/2010,ERDF Costs to CLG,Communities Group,EUROPEAN COMMISSION,2100197946,"162,817.20"
Communities & Local Government,DCLG,01/12/2010,ERDF Costs to CLG,Communities Group,EUROPEAN COMMISSION,2100197947,"140,847.20"
Communities & Local Government,DCLG,01/12/2010,Fixed Maintenance,Communities Group,DEVON FIRE AUTHORITY,5106152219,"7,364.15"
Communities & Local Government,DCLG,01/12/2010,Grant in Aid to NDPBs (non budget),Housing and Planning,HOMES & COMMUNITIES AGENCY,2100197944,"65,576,715.00"
Communities & Local Government,DCLG,01/12/2010,Grant in Aid to NDPBs (non budget),Housing and Planning,HOMES & COMMUNITIES AGENCY,2100197945,"6,471,607.00"
Communities & Local Government,DCLG,01/12/2010,HR Consultancy,Programme & Project Team,QA  LTD,5106151864,"2,167.88"
Communities & Local Government,DCLG,01/12/2010,HR Consultancy,Programme & Project Team,QA  LTD,5106151874,"1,339.50"
Communities & Local Government,DCLG,01/12/2010,HR Consultancy,Programme & Project Team,QA  LTD,5106152071,"1,051.63"
Communities & Local Government,DCLG,01/12/2010,HR Consultancy,Programme & Project Team,QA  LTD,5106152075,"3,137.25"
Communities & Local Government,DCLG,01/12/2010,HR Consultancy,Programme & Project Team,QA  LTD,5106152140,"-1,339.50"
Communities & Local Government,DCLG,01/12/2010,"IT - PC, Network & Hardware",Regions and Communities,VERIZON UK LTD,5106152147,"9,609.27"
Communities & Local Government,DCLG,01/12/2010,"IT - PC, Network & Hardware",Regions and Communities,VERIZON UK LTD,5106152186,"7,046.06"
Communities & Local Government,DCLG,01/12/2010,"IT - PC, Network & Hardware",Regions and Communities,VERIZON UK LTD,5106152190,"7,046.06"
Communities & Local Government,DCLG,01/12/2010,IT Consumables,Communities Group,BANNER BUSINESS SUPPLIES LTD,5106151928,"1,269.90"
Communities & Local Government,DCLG,01/12/2010,IT Consumables,Communities Group,BANNER BUSINESS SUPPLIES LTD,5106152144,562.78
Communities & Local Government,DCLG,01/12/2010,IT Maintenance,Finance and Corporate Services,STERIA LIMITED,5106152221,"12,130.70"
Communities & Local Government,DCLG,01/12/2010,National Non Domestic Rates (NNDR) Payments,"Local Gov & Reg(LG DEL,AME, RfR2)",AVON & SOMERSET POLICE AUTHORITY,5000145468,"3,097,406.00"
Communities & Local Government,DCLG,01/12/2010,National Non Domestic Rates (NNDR) Payments,"Local Gov & Reg(LG DEL,AME, RfR2)",AVON FIRE AUTHORITY,5000145469,"1,031,898.00"
Communities & Local Government,DCLG,01/12/2010,National Non Domestic Rates (NNDR) Payments,"Local Gov & Reg(LG DEL,AME, RfR2)",BARKING & DAGENHAM LB,5000145475,"4,263,209.00"
Communities & Local Government,DCLG,01/12/2010,National Non Domestic Rates (NNDR) Payments,"Local Gov & Reg(LG DEL,AME, RfR2)",BARNSLEY MBC,5000145479,"4,558,016.00"
