Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Department for Communities & Local Government ,Ministerial Department,Department for Communities & Local Government,224,214.09,328,315.79,885,864.9,618,598.99,100,96.86,0,0,2155,2090.63,9,9,6,6,16,16,9,9,40,40,2195,2130.63,6848193.27,57710.63,900,22178.7,1395457.61,601342.28,8925782.49,223952,189491,413443,9339225,
Fire Service College,Executive Agency,Department for Communities & Local Government,61,59.9,35,33.6,77,75,15,15,1,1,0,0,189,185,0,0,3,2.8,0,0,0,0,3,2.8,192,187,476347,0,0,3015,96932,40209,616503,23166,0,23166,639669,
Planning Inspectorate,Executive Agency,Department for Communities & Local Government,223,199.75,132,121.06,71,68.45,256,215.78,4,3.4,0,0,686,608,0,0,0,0,0,0,0,0,0,0,686,608,1790002,29087,0,1064,370348,156562,2347063,0,0,0,2347063,
Queen Elizabeth II Conference Centre,Executive Agency,Department for Communities & Local Government,5,5,8,8,27,27,3,3,1,1,0,0,44,44,0,0,1,1,0,0,0,0,1,1,45,45,122053,0,0,1412,23375,10257,157097,2250,0,2250,159347,
Homes & Communities Agency,Executive Non-Departmental Public Body,Department for Communities & Local Government,218,208.65,246,242.75,93,88.31,84,83.84,52,51.88,91,89.56,784,765,1,1,0,0,3,3,0,0,4,4,788,769,2375361,289840,0,4010,551631,229443,3450285,21864,0,21864,3472149,
Independent Housing Ombudsman Ltd,Executive Non-Departmental Public Body,Department for Communities & Local Government,0,0,0,0,0,0,0,0,0,0,38,38,38,38,1,1,0,0,0,0,0,0,1,1,39,39,148936,64,0,0,27374,14596,190971,3017,0,3017,193987,
Infrastructure Planining Commission,Executive Non-Departmental Public Body,Department for Communities & Local Government,4,4,7,7,14,13.8,14,13.8,12,10.3,0,0,51,49,1,1,0,0,0,0,0,0,1,1,52,50,202939,0,3129,0,15667,23014,244748,3036,0,3036,247784,
Leasehold Advisory Service,Executive Non-Departmental Public Body,Department for Communities & Local Government,0,0,4,3.4,15,14,0,0,1,1,0,0,20,18,0,0,0,0,0,0,0,0,0,0,20,18,58741,0,0,0,5874,6441,71056,0,0,0,71056,
London Thames Gateway Development Corporation,Executive Non-Departmental Public Body,Department for Communities & Local Government,0,0,2,2,11,10.3,8,7.8,14,14,0,0,35,34,0,0,1,0.6,5,0.27,1,0.3,7,1.17,42,35,158648,0,0,0,21083,16014,195745,7986,3884,11871,207615,
Standards Board for England,Executive Non-Departmental Public Body,Department for Communities & Local Government,3,2.8,5,4.4,18,17.43,6,6,3,3,0,0,35,34,0,0,0,0,0,0,0,0,0,0,35,34,114079,0,0,823,18090,10526,143518,0,0,0,143518,
Tenants Services Authority,Executive Non-Departmental Public Body,Department for Communities & Local Government,5,4.97,37,36.06,101,97.91,24,23.8,8,8,9,1.31,184,172,0,0,0,0,0,0,0,0,0,0,184,172,697234,468,0,1507,66042,62306,827557,0,0,0,827557,
Thurrock Development Corporation,Executive Non-Departmental Public Body,Department for Communities & Local Government,0,0,0,0,0,0,0,0,0,0,33,32.93,33,33,0,0,0,0,0,0,0,0,0,0,33,33,143929,2744,0,0,16260,14964,177897,0,0,0,177897,
Valuation Tribunal Service,Executive Non-Departmental Public Body,Department for Communities & Local Government,22,21.17,37,36.25,12,11.83,2,2,1,1,0,0,74,72,3,3,0,0,0,0,0,0,3,3,77,75,186640,4678,0,0,40070,17194,248582,9856,0,9856,258438,
West Northamptonshire Development Corporation,Executive Non-Departmental Public Body,Department for Communities & Local Government,8,7.41,12,11.94,10,9.7,2,2,4,4,0,0,36,35,2,2,0,0,0,0,1,0.8,3,2.8,39,38,140903,4600,0,0,26834,13554,185891,12121,10032,22153,208044,
