Department family,Entity,Entered On,Expense Type,Expense Area,Supplier Name,Voucher,SumOfAmount
Communities And Local Government,Queen Elizabeth II Conference Centre,06/09/2010,Security,Operations,"ISS Facility Services Ltd
T/A ISS Pegasus Security",11983,788.4
Communities And Local Government,Queen Elizabeth II Conference Centre,06/09/2010,Maintenance,Interface,DELPHINI LTD,11984,1990
Communities And Local Government,Queen Elizabeth II Conference Centre,06/09/2010,Maintenance,Interface,DELPHINI LTD,11985,1400
Communities And Local Government,Queen Elizabeth II Conference Centre,06/09/2010,Entertaining,Commercial,Leith's at the Centre,11986,95.1
Communities And Local Government,Queen Elizabeth II Conference Centre,06/09/2010,Entertaining,Event Management,Leith's at the Centre,11986,19.28
Communities And Local Government,Queen Elizabeth II Conference Centre,06/09/2010,Entertaining,Administration,Leith's at the Centre,11986,28.03
Communities And Local Government,Queen Elizabeth II Conference Centre,06/09/2010,Entertaining,Event Management,Leith's at the Centre,11986,152.02
Communities And Local Government,Queen Elizabeth II Conference Centre,06/09/2010,Entertaining,Interface,Leith's at the Centre,11986,5.9
Communities And Local Government,Queen Elizabeth II Conference Centre,06/09/2010,Entertaining,Commercial,Leith's at the Centre,11986,2.95
Communities And Local Government,Queen Elizabeth II Conference Centre,06/09/2010,Entertaining,Operations,Leith's at the Centre,11986,44.55
Communities And Local Government,Queen Elizabeth II Conference Centre,06/09/2010,Entertaining,Administration,Leith's at the Centre,11986,29.5
Communities And Local Government,Queen Elizabeth II Conference Centre,06/09/2010,Entertaining,Interface,Leith's at the Centre,11986,108.97
Communities And Local Government,Queen Elizabeth II Conference Centre,07/09/2010,Consultants,Commercial,Lychee3 Solutions Ltd,11987,3000
Communities And Local Government,Queen Elizabeth II Conference Centre,07/09/2010,Cost of Sales - Commission,Commercial,Conference Connections Ltd,11988,1222.32
Communities And Local Government,Queen Elizabeth II Conference Centre,07/09/2010,Agency Labour,Commercial,Poolia UK Ltd,11989,487.8
Communities And Local Government,Queen Elizabeth II Conference Centre,07/09/2010,Electricity,Operations,EDF ENERGY,11991,17514.65
Communities And Local Government,Queen Elizabeth II Conference Centre,07/09/2010,Marketing,Commercial,VOHM,11993,500
Communities And Local Government,Queen Elizabeth II Conference Centre,07/09/2010,Business Rates,Administration,CITY OF WESTMINSTER,11994,48304
Communities And Local Government,Queen Elizabeth II Conference Centre,09/09/2010,Maintenance,Operations,MEETING MATRIX GLOBAL SALES,11996,3654.26
Communities And Local Government,Queen Elizabeth II Conference Centre,10/09/2010,Disposal Of Waste,Operations,PREMIER MOVES LTD,12000,465
Communities And Local Government,Queen Elizabeth II Conference Centre,10/09/2010,Water,Operations,THAMES WATER UTILITIES LTD,12002,2457.14
Communities And Local Government,Queen Elizabeth II Conference Centre,13/09/2010,Agency Labour,Commercial,Poolia UK Ltd,12003,487.8
Communities And Local Government,Queen Elizabeth II Conference Centre,13/09/2010,Consultants,Administration,TICKETT ENTERPRISES LTD,12013,770
Communities And Local Government,Queen Elizabeth II Conference Centre,13/09/2010,Internet & Telecomms,ITC Department,VERIZON UK LIMITED,12018,1267
Communities And Local Government,Queen Elizabeth II Conference Centre,13/09/2010,Marketing,Commercial,VERIZON UK LIMITED,12018,1.09
Communities And Local Government,Queen Elizabeth II Conference Centre,13/09/2010,Cost of Sales - Equipment Hire,ITC Department,VERIZON UK LIMITED,12019,2059
Communities And Local Government,Queen Elizabeth II Conference Centre,13/09/2010,Building Improvements,Operations,AMES CONTRACTING LTD,12020,3198
Communities And Local Government,Queen Elizabeth II Conference Centre,14/09/2010,Mobile Phone Costs,Event Management,BARCLAYCARD PROCUREMENT CARD,12024,10
Communities And Local Government,Queen Elizabeth II Conference Centre,14/09/2010,Maintenance,Operations,BARCLAYCARD PROCUREMENT CARD,12024,62.16
Communities And Local Government,Queen Elizabeth II Conference Centre,14/09/2010,Uniforms,Interface,BARCLAYCARD PROCUREMENT CARD,12024,17.97
