Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Department for Communities & Local Government ,Ministerial Department,Department for Communities & Local Government,138,132.5,265,256.2,782,763.7,587,567.8,90,86.9,0,0,1862,1807.1,14,14,3,3,24,24,4,4,45,45,1907,1852.1,6071677.82,80938.09,-423560,26075.06,1253370.36,554802.93,7563304.26,310629,342128,652757,8216061.26,The figure for non-consolidated performance payments is negative because of two accrual journals reversed in April.
Fire Service College,Executive Agency,Department for Communities & Local Government,64,59.6,33,31.4,66,64.4,15,14.5,1,1,0,0,179,170.9,0,0,4,3.8,0,0,0,0,4,3.8,183,174.7,323291.61,0,0,0,55462.45,23301.16,402055.22,20171.8,0,20171.8,422227.02,
Planning Inspectorate,Executive Agency,Department for Communities & Local Government,212,189.09,133,121.9,89,87.22,283,237.5,7,7,0,0,724,642.71,0,0,0,0,0,0,0,0,0,0,724,642.71,2004405,19322,0,7483,402168,182774,2616152,0,0,0,2616152,
Queen Elizabeth II Conference Centre,Executive Agency,Department for Communities & Local Government,4,4,8,8,26,26,3,3,1,1,0,0,42,42,1,1,0,0,0,0,0,0,1,1,43,43,124768.83,0,0,5966.08,22734.29,11360.06,164829.26,1645,0,1645,166474.26,
Homes & Communities Agency,Executive Non-Departmental Public Body,Department for Communities & Local Government,123,118.93,200,196.38,217,211.74,37,36.8,43,42.88,239,234.15,859,840.88,3,3,0,0,6,6,0,0,9,9,868,849.88,3003901.7,982095.29,0,11879.9,664311.73,302331,4964519.62,37156.29,0,37156.29,5001675.91,
Independent Housing Ombudsman Ltd,Executive Non-Departmental Public Body,Department for Communities & Local Government,0,0,0,0,0,0,0,0,0,0,38,37,38,37,1,1,0,0,0,0,0,0,1,1,39,38,155183.06,15268.95,0,0,28720.05,17225.96,216398.02,2847,0,2847,219245.02,
Leasehold Advisory Service,Executive Non-Departmental Public Body,Department for Communities & Local Government,3,2.4,1,1,17,16,0,0,1,1,0,0,22,20.4,0,0,0,0,0,0,0,0,0,0,22,20.4,65400,0,0,0,5873,6956,78229,0,0,0,78229,
London Thames Gateway Development Corporation,Executive Non-Departmental Public Body,Department for Communities & Local Government,0,0,2,1.5,9,7.3,6,5.3,11,8.5,0,0,28,22.6,1,0.67,0,0,5,0.63,1,0.74,7,2.04,35,24.64,106746,0,0,0,14392.36,10280.19,131418.55,8432.62,8900,17332.62,148751.17,
Valuation Tribunal Service,Executive Non-Departmental Public Body,Department for Communities & Local Government,23,22.17,35,34.25,12,11.83,2,2,1,1,0,0,73,71.25,3,3,0,0,0,0,0,0,3,3,76,74.25,206863,3448,0,0,42554,18078,270943,3840,0,3840,274783,
West Northamptonshire Development Corporation,Executive Non-Departmental Public Body,Department for Communities & Local Government,6,5.75,7,6.54,9,8.7,2,2,4,4,9,1.5,37,28.49,0,0,0,0,0,0,1,0.8,1,0.8,38,29.29,123247.8,5058.46,0,0,8879.58,17094.97,154280.81,0,6334,6334,160614.81,
