FREEDOM OF INFORMATION,,
MOD Requests to 30 September 2011,,
"CIO-CI-Access Team, Ministry of Defence, CIO-FOI@mod.uk",,
,,
,,
Case Number,Date Due,Request Summary
05-09-2011-094504-001,03/10/2011,Please provide information on the aggregated data of personnel strength and personnel expenses along with information on the capital expenses of the whole British Armed Forces from 1957 - 1969. 
05-09-2011-095940-001,03/10/2011,"Please advise, and provide information and details, on the number of occasions Mr Adam Werritty has visited the MOD and travelled with Liam Fox on business,  in the past year. "
05-09-2011-102138-002,03/10/2011,"Please advise, and provide information and details, to various questions regarding 61 Fd Sqn and Christmas Island."
05-09-2011-103013-003,03/10/2011,"Please advise, and provide information and details, on the number of uniformed and civilian lawyers employed at the MOD."
05-09-2011-103708-004,03/10/2011,Please provide a list along with information and details of military bases in the African and Middle Eastern theatres of war during the period 1939 - 1945.
05-09-2011-104744-005,30/09/2011,Please provide a copy of Part 1 Chapter 5 Lesson 9 of AP 818.
05-09-2011-105608-006,03/10/2011,Please provide information and details to various questions regarding the various methods used to dispose of MOD waste.
05-09-2011-110129-007,03/10/2011,"Please advise, and provide information and details, to various questions regarding the British Armed Forces. "
05-09-2011-112813-008,03/10/2011,"Please advise on the number of new recruits who applied to join the TA and Army from various areas in England, in 2008, 2009 and 2010."
05-09-2011-113158-009,03/10/2011,Please provide a copy of the letter sent from Nick Harvey to Jim Murphy MP dated 30th August 2011 relating to the Continuity of Education Allowance (CEA).
05-09-2011-151042-002,03/10/2011,Please provide statistical information on the total of amputations amongst soldiers from 2001 - present.
05-09-2011-151431-011,03/10/2011,Please provide a copy of the map plan for RAF Leeming.
05-09-2011-154255-001,03/10/2011,"Please advise, and provide information and details, on the number of officers that have been allowed to reduce their core duty hours with the Partial Retirement scheme and Part Time Working."
05-09-2011-154706-012,03/10/2011,"Please advise, and provide information and details, to various questions regarding complaints received on the British Forces Germany Medical Health Care Contract within Rhiendalen (JHQ)."
05-09-2011-164111-002,16/09/2011,Please advise on the number of complaints received in the last month about night flying at RAF Brize Norton. Please advise on how this compares to last year.
06-09-2011-103500-001,03/10/2011,Please advise on the accessibility of DEFE 24/1083: Proposed awards to 22 SAS by the Sultan of Oman at TNA.
06-09-2011-121148-001,04/10/2011,Please provide information and details on the WWII mural painter A R Woods
06-09-2011-154555-002,04/10/2011,Please provide details of all information held on Mr Zaki Mubadda Jubran by MOD. 
07-09-2011-092445-001,04/10/2011,Please provide copies of all correspondence regarding or make reference to Weston Skydive Ltd.
07-09-2011-094122-002,29/09/2011,Please advise and provide information and details to various questions regarding MOD's estates.
07-09-2011-101833-001,04/10/2011,"Please advise, and provide information and details, to various questions regarding hazard awareness work undertaken by UK forces in Iraq."
07-09-2011-102329-002,04/10/2011,"Please provide confirmation on the number of depleted uranium rounds fired by UK forces at the British Army Training Unit Suffield (BATUS), or elsewhere on the Canadian Forces Base Suffield, Alberta, Canada since 1975."
07-09-2011-103931-001,04/10/2011,"Please advise, and provide information and details, on the pest and bird control contract at RMB Chivenor, Barnstaple. "
07-09-2011-103951-004,04/10/2011,"Please advise, and provide information and details, on the roles of SAR and GMTI.  "
07-09-2011-104459-002,04/10/2011,Please provide information and details to various questions regarding the Defence Accord between the UK and the Lybian Arab Jamahirijya.
07-09-2011-104549-005,04/10/2011,Please provide a list of all business areas information on all correspondence held by MOD relating to allegations of maltreatment of detainees at British run detention centres in Afghanistan.
07-09-2011-115150-007,05/10/2011,Please provide information on European security policy.
07-09-2011-142625-003,04/10/2011,Please provide copies of all welfare related documents for xxxxxx.
07-09-2011-145422-008,05/10/2011,Please provide information on the recruiting targets/figures for the Armed Forces in the Merseyside area for 2010 - present.
07-09-2011-145839-009,05/10/2011,"Please advise, and provide information and details, on the MOD's expenditure on metalworking fluids in 2009-2010 to supply the Royal School of Military Engineering in Chatham Kent along with the volumes of other metalworking fluids, hydraulic and lubricating oils used on the site. "
07-09-2011-150850-010,05/10/2011,"Please advise, and provide information and details, to various questions regarding th different types of contracts the MOD has in place and the MOD's outscourcing strategy."
07-09-2011-161712-011,05/10/2011,Please advise if any papers/records of the Calcutta Light Horse Regiment and the Calcutta Scottish Regiment (Auxiliary units in India until 1947) are held and how this can be obtained.
07-09-2011-165734-012,05/10/2011,"Please provide information and details on Tobias Elwood MP's trip to Afghanistan with James Murdoch, in his role as Parliamentary Private Secretary, between 17 - 21 January 2011. "
07-09-2011-174007-013,05/10/2011,"Please advise, and provide information and details, on the Queen's Silver Jubilee Medal."
08-09-2011-131400-001,04/10/2011,"Please advise whether the MOD permits contract dates, associated with combat clothing issued between 1970 and 1990, to be made available to the public."
08-09-2011-135921-001,06/10/2011,"Please advise, and provide a breakdown, of the number of Armed Forces personnel under the age of 18 that have seen active service in the last ten years."
08-09-2011-141744-002,06/10/2011,"Please advise, and provide a breakdown, on the number of Armed Forces personnel under the age of 18 in the last ten years along with the percentage as a whole in the Armed Forces. "
08-09-2011-142229-003,06/10/2011,"Please advise, and provide a breakdown, of which conflicts members of the Armed Forces under the age of 18 have been deployed in the last ten years."
08-09-2011-144532-004,06/10/2011,Please provide a copy of F3/B1/105/09/01 dated February 1993.
08-09-2011-151605-005,06/10/2011,Please provide a comprehensive list of all the categories and sub-categories used for the classification of absence/sick leave of service personnel. Please advise on the number of sick absences recorded from January 2007 - August 2011 where this was as a result of injuries sustained in conflict.
08-09-2011-153353-006,06/10/2011,Please provide clarification to FAQs for the VERS 2011.
08-09-2011-154454-007,06/10/2011,Please provide copies of all correspondence regarding the timing and nature of the military training exercise Joint Warrior.
08-09-2011-155326-008,06/10/2011,"Please advise on the number of reported complaints there have been to senior officers, Welfare Officers and Housing Officers, with regards to the anti social conduct of xxxxxx and xxxxxx."
08-09-2011-155812-009,06/10/2011,Please advise on the current status of all the Royal Navy's Type 45 (Daring class) destroyers.
08-09-2011-160206-010,06/10/2011,"Please provide the names of soldiers from the Yarm area of Stockton on Tees, whose names should be included in the roll of Honour for the Remembrance Sunday services."
08-09-2011-161403-013,06/10/2011,Please provide information and details on Project Embrace.
08-09-2011-162821-014,06/10/2011,Please advise on the Equality and Diversity data maintained and monitored for army officers.
08-09-2011-163244-015,06/10/2011,"Please advise, and provide information and details, on the MOD'S entertainment budget."
09-09-2011-110017-001,06/10/2011,"Please advise, and provide information and details, on the MOD's green and environmental policies in the last five years."
09-09-2011-115639-002,07/10/2011,Please provide the blueprints for the Sovereign of the Seas. 
09-09-2011-120058-003,07/10/2011,"Please advise, and provide information and details, on the number of UFO sightings in the West Somerset and surrounding areas of Somerset in the last five years."
09-09-2011-132906-005,16/08/2011,"Please advise, and provide information and details, on the amount paid out by the MOD to Afghans who have been injured in the conflict in Afghanistan."
09-09-2011-151456-006,07/10/2011,"Please provide a copy of Operations in Muscat and Oman, 1952-1959."
09-09-2011-151838-007,07/10/2011,"Please provide a copy of the BOI into the shooting at St Patrick's Church, Trim, County Meath ROI on 26 August 1978."
09-09-2011-153021-008,07/10/2011,Please provide information and details on the Cluster Munitions (Prohibitions) Act 2010. 
09-09-2011-153530-009,07/10/2011,"Please advise, and provide information and details, on the number of people who have taken compulsory redundancy since 1 May 2010."
12-09-2011-091611-001,07/10/2011,"Please advise, and provide information and details to various questions regarding recruitment statistical data."
12-09-2011-092900-002,07/10/2011,"Please advise, and provide information and details, on the amount paid out to MOD staff in compensations as a result of accidents at work in the last five financial years."
12-09-2011-100650-003,07/10/2011,"Please advise, and provide information and details, on the number of British service personnel treated in hospitals in Montevideo or elsewhere in Uruguay during and after the Falklands War."
12-09-2011-101815-004,10/10/2011,Please advise on the number and location of anti-personnel mines known to have been left by British forces around the world since 1945.
12-09-2011-110949-005,10/10/2011,"Please advise, and provide information and details, to changes to the five year rule for the medal review."
12-09-2011-114337-006,10/10/2011,Please provide any information on the use of Loch Ness in Scotland during the First and Second World Wars with a specific regard to the environment of the loch and anything unusual experienced.
12-09-2011-115013-007,10/10/2011,"Please advise, and provide information and details, on the rank of the most senior female(s) in the British Army."
12-09-2011-144216-008,10/10/2011,Please provide confirmation on the number of civil servants working in the Saudi Armed Forces Project office in DESO as stated in Heather Brooke's The Silent State in 2005.
12-09-2011-144917-009,10/10/2011,"Please advise, and provide information and details, on whether any of the 2,400 worst quality accommodation upgrades were at Blandford, West Moors and Poole Camps."
12-09-2011-145337-010,10/10/2011,"Please advise, and provide information and details, to various questions regarding IT data storage at the MOD."
12-09-2011-145727-011,10/10/2011,"Please advise, and provide information and details, on the number of officers of Air Rank (4* 3* 2* and 1*) retired from the RAF during the 1February - 1 October 2011."
12-09-2011-150347-012,10/10/2011,"Please advise, and provide information and details, on the Met Office's existing public sector outsourcing strategy. "
12-09-2011-150713-013,10/10/2011,Please advise on the total amount of money paid under the Armed Forces and Reserve Forces Compensation Scheme (ACFS) to injured servicemen and women between 1 April 2010 - 31 March 2011.
12-09-2011-151316-014,10/10/2011,Please provide information and details the Airspeed Oxford Mk11 aircraft accident on 7 October 1944.
12-09-2011-151848-015,10/10/2011,Please provide information and details of the ranks and units of the latest tranche of service personnel redundancies.
12-09-2011-152310-016,10/10/2011,Please provide information and details to various questions regarding the latest tranche of service personnel redundancies.
12-09-2011-172503-017,10/10/2011,Please advise on the agreed condition of the contract between MOD and Debut/Babcock for the services delivered to DIO.
12-09-2011-172828-018,10/10/2011,Please provide a copy of the memo or letter which accompanied the first draft of the medal review report.
13-09-2011-091101-001,10/10/2011,"Please provide a list of all the regiments that served in the Royal Air Force, the Royal Navy or the Army in Palestine in 1943-45."
13-09-2011-091302-001,06/10/2011,Please advise on the body responsible for carrying out the geo engineering program that has taken place over the last fifteen years.
13-09-2011-092026-002,11/10/2011,Please advise and provide information on the properties that were purchased when RAF Station Wyton was build in the mid 1930s.  
13-09-2011-093535-003,10/10/2011,Please provide a copy of the covering memo/letter which accompanied the medal review report.
13-09-2011-094118-004,10/10/2011,Please provide information and details on the company that is currently contracted to supply diver's knives to the MOD.
13-09-2011-095257-005,11/10/2011,Please provide information and details on the BIOT and the PJOB base Diego Garcia.
13-09-2011-101304-006,10/10/2011,Please provide information and details on the VC decoration in the wardroom of HMS Turbulent.
13-09-2011-105609-007,11/10/2011,Please provide a copy of the minutes of the Land Forces Manpower committee meeting minutes where authority was given for the CFO DFRMO to undertake promotion reviews without offering transfer terms to those affected.
13-09-2011-111011-008,05/10/2011,Please advise on the number of RAF Typhoons that are currently being cannibalised or have been in the past.
13-09-2011-111716-009,06/10/2011,"Please provide details of all acts of vandalism/sabotage/trespass reported to or that have taken place on the Falkland Islands and attributed to hostile forces, over the last ten years."
13-09-2011-113316-010,11/10/2011,"Please advise, and provide information and details, on whether any members of the ministerial team used the services and or taken advice from an outside individual and or firm for the purpose of media training, vocal coaching, public speaking skills, visual presentation and or image/makeup skills. "
13-09-2011-113841-011,11/10/2011,"Please advise, and provide information and details, of MOD purchases of hypnotics and stimulants used to manage sleep and alertness in the Armed Forces from 2000 - present."
13-09-2011-134251-001,07/10/2011,Please provide information and details on the sale of RAF Wroughton.
13-09-2011-144741-012,11/10/2011,"Please provide statistical data on the percentage of returning British soldiers with PTSD, limb loss and other associated trauma."
13-09-2011-152338-013,11/10/2011,Can you tell me what the building remains (in the adjoining field) are of to the west of my cottage?
13-09-2011-152904-014,11/10/2011,"I wonder if you could obtain copies of the Armed Forces Pay, Bounties and Allowances Warrant 2009 and the Armed Forces Pay, Bounties and Allowances (Amendment) Warrant 2010 for me.  In case it helps these are MOD warrants made by the Queen."
13-09-2011-153008-002,10/10/2011,Please provide information on any correspondence held by MOD on the US use of the Skynet satellite communications system.
13-09-2011-163142-015,11/10/2011,"Please advise, and provide information and details, to various questions regarding Guaranteed Minimum Pension for veterans."
13-09-2011-165511-016,21/09/2011,"Please advise, and provide information and details, on the Alpha Particle Surveys carried out in the 1950s and 1960s. "
13-09-2011-172849-017,11/10/2011,"Please advise, and provide information and details, on the policy and standards applied to tyres on government cars."
13-09-2011-175923-002,07/10/2011,"Please advise, and provide information and details, about the Queen's Jubilee Medal."
14-09-2011-094513-001,11/10/2011,Please advise where information on pykrete can be obtained.
14-09-2011-094927-002,11/10/2011,Please provide copies of all documentation regarding the MOD meeting held on 24 September 1998 to discuss the Nimrod Airworthiness Review Team Report.
14-09-2011-101307-003,12/10/2011,Please provide information on the criteria stipulated for people working with the YMCA in the military training camps in the WWI.
14-09-2011-111634-004,11/10/2011,"Please advise, and provide information and details, to various questions regarding Guaranteed Minimum Pension for the MDPGA."
14-09-2011-113725-001,11/10/2011,Please provide information and details on the launch of the new PhD scheme. 
14-09-2011-121003-005,12/10/2011,Please advise and provide information on the different procedures for payroll in theatre.
14-09-2011-122047-006,12/10/2011,Please advise on future clothing purchases for the British Army.
14-09-2011-133212-002,04/10/2011,Please provide confirmation that Dr Marcus Navin was qualified and licensed to provide chiropractor services and physiotherapy services to members of the Ministry of Defence Police.
14-09-2011-133807-003,06/10/2011,Please advise on the measures that are taken to monitor or combat the distribution/viewing of child abuse content in the work place.
14-09-2011-141055-004,12/10/2011,Please advise on MOD expenditure at RAF Menwith Hill.
14-09-2011-141630-005,11/10/2011,Please provide information and details on the fire at Farthingloe Farm in December 1975.
14-09-2011-141932-006,11/10/2011,"Please provide information on all communications between Defence Estates and Messrs Bannisters of Haywards Heath, Sussex in 1981 and onwards."
14-09-2011-144705-008,12/10/2011,Please provide a concise equipment axe list for all three sections of the British Armed Forces. 
14-09-2011-150055-009,12/10/2011,"Please provide historical information and detail on the Chelsfield Ammunition Depot at Shacklands Road, Badgers Mount, Sevenoaks, Kent  TN14 7AY."
14-09-2011-152841-011,12/10/2011,"Please advise, and provide information and details, to various questions regarding the Army Recovery Capability."
14-09-2011-170743-012,12/10/2011,Please advise on the old British security policy for the protection of women in Iraq (Basra). 
15-09-2011-074610-001,10/10/2011,"Please provide a copy of the asbestos report for St Nicholas Avenue, Gosport."
15-09-2011-113259-001,13/10/2011,Please advise on the unit cost of the 40mm grenades fired by the Grenade Machine Gun.
15-09-2011-113807-002,13/10/2011,Please provide a copy of the RAF report of the Environmental Noise Survey of Aircraft Activity at RAF Leuchars in August undertaken in 2008.
15-09-2011-114305-003,13/10/2011,"Please provide information on the investigation into Major Robert Michael Armstrong, Royal Artillery who was attached to Royal Irish Regiment in Helmand in 2008. "
15-09-2011-114852-005,12/10/2011,"Please advise of the location and details of transmitters MOD own, operate or are aware of in the areas surrounding the Murco Petroleum Ltd fuel storage terminals."
15-09-2011-115852-006,13/10/2011,"Please advise, and provide information and details, to various questions regarding RAF redundancies announced on 1 September 2011.  "
15-09-2011-121247-007,13/10/2011,"Please advise, and provide information and details, of MOD estate in Falmouth."
15-09-2011-121945-008,12/10/2011,Please provide details of all communications between MOD and Kevin McCarty (US White House Staff) since 2003.
15-09-2011-123334-010,12/10/2011,Please advise and provide information and details on the Belfast Blitz in 1941.
15-09-2011-145701-002,13/10/2011,"Please advise, and provide information and details, on the plans for the retired GR-7 and GR-9 Harrier fleet. "
15-09-2011-150536-003,13/10/2011,Please advise on the number of Trade Group 18 Flt Sgts who met the recent redundancy eligibility criteria under the Tranche 1 redundancy scheme.
15-09-2011-164759-001,13/10/2011,Survival and promotion stats for trainees in Warfare  and Diving branches.
15-09-2011-171003-004,13/10/2011,"Please advise, and provide information and details, on the total amount spent on military bands and the number of servicemen involved in the last five and three years respectively."
16-09-2011-112733-001,14/10/2011,Please provide information on the latitude and longitude for the Atlantic Conveyor at the time that she was struck by an exocet missile on 25 May 1982.
16-09-2011-113242-002,14/10/2011,Please provide a copy of the Nuclear Liabilities Management Strategy referred to in Hansard 15 Sep 2011:Column 53WS.
16-09-2011-122915-003,29/09/2011,"Please advise, and provide information and details, to various questions regarding the Chelsfield ammunition depot."
16-09-2011-122926-001,14/10/2011,"Please advise, and provide information and details, on the emission levels from a Challenger 2."
16-09-2011-131413-004,14/10/2011,Please advise on how much the UK Government spends every year on keeping the Armed Forces in Northern Ireland and Germany.
16-09-2011-132739-005,14/10/2011,Please provide a copy of the BOI for Donald Hugh Brown.
16-09-2011-150218-002,14/10/2011,"Please advise, and provide information and details, on the NGOs involvement in the development of the recently published MOD Nuclear Liabilities Management Strategy."
16-09-2011-160111-001,14/10/2011,Please advise and provide contact details for sports massage or rehabilitation voluntary work at Headley Court.
19-09-2011-092227-001,14/10/2011,"Please provide copies of all reports produced by the CGS's briefing team, and equivalent documentation compiled by teams in the Royal Air Force and Royal Navy, since 2009."
