FREEDOM OF INFORMATION,,
MOD Requests to 28 April 2011,,
"CIO-CI-Access Team, Ministry of Defence, CIO-FOI@mod.uk",,
,,
,,
Case Number,Date Due,Request Summary
04-04-2011-111610-001,05/05/2011,Aerial photos of the Cairngorm and South-East Grampian area of Scotland for mapping landforms. 
04-04-2011-112041-002,06/05/2011,"Which gurkha units rotated through Minden Barracks in Penang, Malaya during 1962, following rotations by the KOYLI and KOSB."
04-04-2011-112507-003,05/05/2011,"The noise and vibration reports carried out by the RAF Centre of Aviation Medicine on the Grob Tutor, Squirrel Helicopter and Griffin Helicopter specifically in relation to the Mk4b4l helmet."
04-04-2011-112817-004,06/05/2011,"I would like to request copies of correspondence sent from Michael Clarke to Malcolm Rifkind in the period April to August 1994, that relate to the crisis in Rwanda. I would also like to request copies of any replies from Malcolm Rifkind."
04-04-2011-114028-005,06/05/2011,"Is there a specific team dedicated to monitoring of the internet? If so, how many people is this team comprised of? If not, assuming from the document that the internet is monitored, how many people at the MoD have ""monitoring the internet"" in their job descriptions, even if this is not their primary role? How often is the internet routinely monitored?"
04-04-2011-121247-006,06/05/2011,"Eleven questions regarding the Departmental spend on travel for Ministers, Directors and Staff."
04-04-2011-144230-001,06/05/2011,Documents Rebalancing the Flying Training Pipeline Paper by AMP dated 14 Jan 11 and Flying Training Pipeline Rebalancing Policy ? DFT Directive dated 15 Feb 11.
04-04-2011-144700-002,06/05/2011,Documentation of the review of the legality of the Starstreak missile system (various variants) undertaken in relation to Article 36 of the Geneva Conventions Additional Protocol I (1977) and the 2008 Convention on Cluster Munitions.
04-04-2011-145318-003,06/05/2011,"1) Breakdown of recruitment into the active service units of the British armed forces by socio-economic groups, A-E for the years 2000-2010. 2)Breakdown of serving personnel killed in action of British armed forces by socio-economic groups A-E for the years 2000-2010. 3)Breakdown of serving, or ex-serving personnel diagnosed as suffering from PTSD, caused due to active military service, of British armed forces by socio-economic groups A-E for the years 2000-2010."
04-04-2011-150258-004,06/05/2011,Whilst in NI there was an incident involving a relative. A subsequent court case courtmartialled xxxxxx men. I request a copy of the court papers.
04-04-2011-153418-005,06/05/2011,"Please let me know if the Defence Aviation Repair Agency throughout it's existence ever made any permanent full time Civil Servants working in grade band D, C2 or C1 redundant. Please do not include voluntary compulsory redundancies or voluntary compulsory early retirements. This request is only concerned with enforced redundancies. If the DARA did enforce redundancies at those grades please can you let me know the total number for each site, the year they took place and the grade."
04-04-2011-160252-006,06/05/2011,"Are we correct in assuming that payments to operate the SSVC cinemas are included in the total figure of ?32,225,000 for 2009/2010? How does this statement that ?29,727,000 of SSVC?s income in 2009-2010 was attributable to MoD activities (i.e. 78% of the total) correlate to your figure of ?32,225,000 for the same period? During the financial years covered by your answers was SSVC in receipt of any additional payments from individual branches of the military not included in your totals? In order that an opinion may be formed on whether the SSVC forces broadcasting contract represents good value for money can you please, as originally requested, provide a value for the BFBS contract for each year, at least for the current pricing period from 2008 to 2011? What steps have been taken to renew or advertise the CSE contract?"
04-04-2011-161454-008,06/05/2011,"I would like to request the following Ministry of Defence's Financial Planning Rounds and associated documents for PR 08, 09 and 10."
04-04-2011-163953-010,06/05/2011,"What is the current and estimated costs for the British military, in order help the rebels in Libya?"
04-04-2011-173153-001,04/05/2011,Please provide various information on Kinloss and Lossiemouth RAF bases.
05-04-2011-095213-001,06/05/2011,Does the Royal Navy and/or Marines employ Optometrists in a commissioned officer capacity similarly to medical or dental officers?
05-04-2011-110352-001,05/05/2011,HMS DELIGHT tour dates.
05-04-2011-113532-002,06/05/2011,"Copies of any notes taken by British officials during Mr Gerald Howarth's meetings with Indonesian Defence Minister Purnomo Yusgiantoro between 23-25 March, 2011."
05-04-2011-120313-003,06/05/2011,"The revenue earned by sale of actual measured weather data be it quality controlled or not, wholesale, commercial or other."
