"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","111794","B1","56436","72185","Not In Post","2.00","Knowledge and Information Management (KIM)"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","111794","B2","47942","59535","Not In Post","2.00","Knowledge and Information Management (KIM)"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","111794","B2","47942","59535","Security","1.00","Knowledge and Information Management (KIM)"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","111794","D","23427","29092","Not In Post","1.00","Knowledge and Information Management (KIM)"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","111794","D","23427","29092","Security","6.00","Knowledge and Information Management (KIM)"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","111794","C1","35648","44268","Not In Post","1.00","Knowledge and Information Management (KIM)"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","111794","C1","35648","44268","Security","14.00","Knowledge and Information Management (KIM)"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","111794","C2","29258","36333","Not In Post","17.00","Knowledge and Information Management (KIM)"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","111794","C2","29258","36333","Security","36.00","Knowledge and Information Management (KIM)"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","111794","E1","18370","22124","Not In Post","3.00","Knowledge and Information Management (KIM)"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","111794","E1","18370","22124","Security","7.00","Knowledge and Information Management (KIM)"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","111794","OF2","37916","45090","Security","8.00","Military"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","111794","OF3","47760","57200","Security","9.00","Military"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","111794","OF4","67032","77617","Policy Adviser","1.00","Military"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","111794","OF4","67032","77617","Security","2.00","Military"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","111794","OR1-3","17515","28940","Security","1.00","Military"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","111794","OR4","26405","33182","Security","4.00","Military"
