Department Family,Entity,Clearing,Expense Type,Expense Area,Supplier,Doc Nbr,Amount
Communities & Local Government,DCLG,01/04/2011,Training,Localism,DOD`S PARLIAMENTARY CO   LONDON  SE1,1000003075,516.00
Communities & Local Government,DCLG,01/04/2011,Training,Localism,DOD`S PARLIAMENTARY CO   LONDON  SE1,1000003075,576.00
Communities & Local Government,DCLG,04/04/2011,Legal Fees,Neighbourhoods,A&N MEDIA-S3             TUNBRIDGE WEL,1000003084,"1,059.84"
Communities & Local Government,DCLG,04/04/2011,Subscriptions to organisations,Neighbourhoods,SUBSCRIPTION/REED        BUS.INFO,1000003085,900.00
Communities & Local Government,DCLG,20/04/2011,Post,Neighbourhoods,WWW.NEOPOST.CO.UK        0845 880 0000,1000003132,515.00
Communities & Local Government,DCLG,26/04/2011,Telephone call costs,Neighbourhoods,BT PAY BY PHONE          GATESHEAD NEW,1000003139,767.81
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
