Parent Department,Organisation,Unit,Reporting Senior Post,Grade,Payscale Minimum (£),Payscale Maximum (£),Generic Job Title,Number of Posts in FTE,Profession
Department for Communities and Local Government,Government Office Network,GO East,0,Administrative Officer (AO),17050,24291,Not In Post,3.8,Operational Delivery
Department for Communities and Local Government,Government Office Network,GO East,0,Executive Officer (EO),20645,32086,Not In Post,14.8,Operational Delivery
Department for Communities and Local Government,Government Office Network,GO East,0,Higher Executive Officer (HEO),27637,40873,Not In Post,21.3,Operational Delivery
Department for Communities and Local Government,Government Office Network,GO East,0,Senior Executive Officer (SEO),33773,50379,Not In Post,31.4,Operational Delivery
Department for Communities and Local Government,Government Office Network,GO East,0,Grade 7 (G7),46112,62375,Not In Post,10.5,Operational Delivery
Department for Communities and Local Government,Government Office Network,GO East Midlands,0,Administrative Officer (AO),17050,24291,Not In Post,13.9,Operational Delivery
Department for Communities and Local Government,Government Office Network,GO East Midlands,0,Executive Officer (EO),20645,32086,Not In Post,17.9,Operational Delivery
Department for Communities and Local Government,Government Office Network,GO East Midlands,0,Higher Executive Officer (HEO),27637,40873,Not In Post,14.4,Operational Delivery
Department for Communities and Local Government,Government Office Network,GO East Midlands,0,Senior Executive Officer (SEO),33773,50379,Not In Post,12.9,Operational Delivery
Department for Communities and Local Government,Government Office Network,GO East Midlands,0,Grade 7 (G7),46112,62375,Not In Post,8.8,Operational Delivery
Department for Communities and Local Government,Government Office Network,GO North East,0,Administrative Assistant (AA),15468,21114,Not In Post,1,Operational Delivery
Department for Communities and Local Government,Government Office Network,GO North East,0,Administrative Officer (AO),17050,24291,Not In Post,6.8,Operational Delivery
Department for Communities and Local Government,Government Office Network,GO North East,0,Executive Officer (EO),20645,32086,Not In Post,14.4,Operational Delivery
Department for Communities and Local Government,Government Office Network,GO North East,0,Higher Executive Officer (HEO),27637,40873,Not In Post,11.5,Operational Delivery
Department for Communities and Local Government,Government Office Network,GO North East,0,Senior Executive Officer (SEO),33773,50379,Not In Post,10,Operational Delivery
