Department Family,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Transactions Number, Amount (£) ,VAT Registration Number
FCO,FCO,28-Jun-12,Rental Payments - non residential,DG CHANGE & DELIVERY,APIA ASSET MANAGEMENT LIMITED,1048815," 35,196.00 ",
FCO,FCO,28-Jun-12,Rental Payments - non residential,DG CHANGE & DELIVERY,APIA ASSET MANAGEMENT LIMITED,1048815," 7,039.20 ",
FCO,FCO,20-Jun-12,General Information Services,DG CHANGE & DELIVERY,BULLET MARKETING LTD,1048141," 26,666.00 ",
FCO,FCO,20-Jun-12,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,BULLET MARKETING LTD,1048141," 5,333.20 ",
FCO,FCO,26-Jun-12,Programme Spend (Oracle Projects Control Account),DG DEFENCE AND INTELLIGENCE,TERAQUAD LTD,1048744," 22,105.33 ",
FCO,FCO,26-Jun-12,Programme Spend (Oracle Projects Control Account),DG DEFENCE AND INTELLIGENCE,TERAQUAD LTD,1048744," 4,421.07 ",
FCO,FCO,14-Jun-12,General Information Services,DG CHANGE & DELIVERY,GRAYLING UK LIMITED,1047595," 25,238.00 ",
FCO,FCO,14-Jun-12,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,GRAYLING UK LIMITED,1047595," 5,047.60 ",
FCO,FCO,19-Jun-12,General Information Services,DG CHANGE & DELIVERY,GRAYLING UK LIMITED,1047977," 29,584.00 ",
FCO,FCO,19-Jun-12,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,GRAYLING UK LIMITED,1047977," 5,916.80 ",
FCO,FCO,18-Jun-12,Programme Spend (Oracle Projects Control Account),DG POLITICAL,GO GROUP NLE,1000698," 25,000.00 ",
FCO,FCO,25-Jun-12,Nursery Childcare Subsidy,DG CHANGE & DELIVERY,EDENRED,2000470," 37,040.67 ",
FCO,FCO,25-Jun-12,Nursery Childcare Subsidy,DG CHANGE & DELIVERY,EDENRED,2000470, 740.81 ,
FCO,FCO,25-Jun-12,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,EDENRED,2000470, 148.16 ,
FCO,FCO,13-Jun-12,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,SG ELECTRICAL SOLUTIONS,1047513," 96,277.36 ",
FCO,FCO,21-Jun-12,Programme Spend (Oracle Projects Control Account),DG EUROPE AND GLOBALISATION,ELECTIONS RESOURCE CENTRE,700002659," 69,674.74 ",
FCO,FCO,20-Jun-12,Rental Payments - non residential,DG CHANGE & DELIVERY,BIDWELLS,1048139," 28,685.00 ",
FCO,FCO,20-Jun-12,Rental Payments - non residential,DG CHANGE & DELIVERY,BIDWELLS,1048139," 25,759.00 ",
FCO,FCO,20-Jun-12,Rental Payments - non residential,DG CHANGE & DELIVERY,BIDWELLS,1048139," 5,151.80 ",
FCO,FCO,20-Jun-12,Rental Payments - non residential,DG CHANGE & DELIVERY,BIDWELLS,1048139," 5,737.00 ",
FCO,FCO,22-Jun-12,"Purchase of Furniture, Fittings and Domestic Appliances",#N/A,ISS FACILITY SERVICES LTD FCO OP,9000212," 31,010.20 ",
FCO,FCO,22-Jun-12,Overseas Reclaimable Taxes,#N/A,ISS FACILITY SERVICES LTD FCO OP,9000212," 3,194.05 ",
FCO,FCO,22-Jun-12,Telephone line and equipment rental charges,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000222," 2,860.39 ",
FCO,FCO,22-Jun-12,Telephone Call Charges,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000222, 286.04 ,
FCO,FCO,22-Jun-12,Telephone line and equipment rental charges,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000222, 286.04 ,
FCO,FCO,22-Jun-12,Telephone line and equipment rental charges,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000222, 858.12 ,
FCO,FCO,22-Jun-12,Telephone Call Charges,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000222, 343.24 ,
FCO,FCO,22-Jun-12,Electricity Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000222," 1,253.88 ",
FCO,FCO,22-Jun-12,Water Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000222, 113.84 ,
FCO,FCO,22-Jun-12,Water Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000222, 686.33 ,
FCO,FCO,22-Jun-12,Telephone line and equipment rental charges,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000222, 286.04 ,
FCO,FCO,22-Jun-12,Electricity Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000222, 116.13 ,
FCO,FCO,22-Jun-12,Gas Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000222, 406.19 ,
FCO,FCO,22-Jun-12,Gas Non-Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000222, 629.29 ,
FCO,FCO,22-Jun-12,Telephone Call Charges,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000222," 1,144.16 ",
FCO,FCO,22-Jun-12,Gas Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000222, 597.24 ,
FCO,FCO,22-Jun-12,Water Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000222, 90.96 ,
FCO,FCO,22-Jun-12,Rental Payments - non residential,DG CHANGE & DELIVERY,ISS FACILITY SERVICES LTD FCO OP - POE,9000222," 49,736.76 ",
FCO,FCO,22-Jun-12,Electricity Non-Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000222," 2,112.59 ",
FCO,FCO,22-Jun-12,Electricity Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000222, 264.87 ,
FCO,FCO,22-Jun-12,Gas Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000222, 512.62 ,
FCO,FCO,22-Jun-12,Water Non-Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000222, 686.33 ,
FCO,FCO,22-Jun-12,Overseas Reclaimable Taxes,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000222, 28.60 ,
FCO,FCO,22-Jun-12,Water Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000222, 165.33 ,
FCO,FCO,22-Jun-12,Water Non-Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000222," 3,054.33 ",
FCO,FCO,22-Jun-12,Overseas Reclaimable Taxes,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000222, 85.81 ,
FCO,FCO,22-Jun-12,Overseas Reclaimable Taxes,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000222, 125.39 ,
FCO,FCO,22-Jun-12,Electricity Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000222, 343.82 ,
FCO,FCO,22-Jun-12,Gas Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000222, 120.04 ,
FCO,FCO,22-Jun-12,Overseas Reclaimable Taxes,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000222, 68.63 ,
