FREEDOM OF INFORMATION,,
MOD Requests to 27 May 2011,,
"CIO-CI-Access Team, Ministry of Defence, CIO-FOI@mod.uk",,
,,
,,
Case Number,Date Due,Request Summary
03-05-2011-094940-001,01/06/2011,Please provide a copy of the Nuclear Weapon Capability Sustainment Programme costed plan.
03-05-2011-095827-001,31/05/2011,Please provide information and details on the 12 rescues participated in by Flt Lt Wales between 1 October 2010 and 6 March 2011.
03-05-2011-100330-002,31/05/2011,Please advise on what percentage probability is to be associated with 'the final cost of HMS Queen Elizabeth and HMS Prince of Wales [being] about £7bn' as announced on  28 April 2011.
03-05-2011-101558-003,31/05/2011,Please advise why all the horses used for the Royal Wedding were black. 
03-05-2011-102746-004,31/05/2011,Please advise whether or not the RN still employs Chinese labourers on any of its ships underway or in port.
03-05-2011-110049-002,31/05/2011,"Please provide copies of all documents relating to the conduct of ranges by civilian instructors of the Air Cadet Organisation, details of any official security vetting these civilian instructors need to undertake and disciplinary procedures for civilian instructors within the Air Cadet Organisation."
03-05-2011-112339-003,31/05/2011,Please advise on the flight of an RAF Sea King Helicopter over London on 29 April 2011.
03-05-2011-112622-004,31/05/2011,Please provide a breakdown of the total cost to MOD's contribution to the Royal Wedding.
03-05-2011-113035-005,31/05/2011,Please advise on the public expenditure on the Royal Wedding on 29 April 2011 and the amount the Royal Family contributed from personal funds.
03-05-2011-113552-006,31/05/2011,Please provide information on the history of Malpas TA Centre.
03-05-2011-114418-007,31/05/2011,Please provide a list of Army Board members since 1963 along with their position details.
03-05-2011-115054-008,31/05/2011,"Please provide information on the history, usage and power of acoustic/sonic weapons."
03-05-2011-120014-009,31/05/2011,Please provide a breakdown of the active and reserve sizes of the British  Army.
03-05-2011-120519-010,31/05/2011,Please advise on the different classifications of security vetting used for servicemen attending the British nuclear tests at Christmas Island and whether servicemen were security vetted prior to departure.
03-05-2011-120758-001,26/05/2011,"Please advise on the number of Teesside soldiers that have been either killed, wounded or loss limbs during duties served in Afghanistan since the war began in October 2001. "
03-05-2011-142003-001,31/05/2011,Please advise on what date the SP(FC) was awarded to qualifying members of No 1 AMW and the full justification for doing so.
03-05-2011-142732-002,27/05/2011,Please provide a copy of the 'Long Term Role of Women in the Army' and other associated papers and studies into women's suitability and employment in the Armed Forces.
03-05-2011-145015-003,21/03/2011,Please advise on the compensation paid to service personnel who are required to move home from one MOD property to another and the circumstances and reasons in which these payments are made. Please advise on the total amount paid out in the last 12 months.
03-05-2011-145826-004,01/06/2011,Please advise which building brick companies the MOD use in connection with new buildings. 
03-05-2011-150634-006,31/05/2011,Please provide information on all the sales/exports of public control (anti-riot/anti demonstration) products to the government of Uganda from 2009 - 2011. 
03-05-2011-151650-008,15/03/2011,Please provide a copy of the response sent to xxxxxx regarding a complaint made against xxxxxx plus copies of all other correspondence concerning this investigation.
03-05-2011-152203-009,01/06/2011,Please provide a copy of the minutes of the Finance Conference that took place at Essex Golf Club.  
03-05-2011-155518-010,31/05/2011,Please provide information to various question regarding the MOD Army Welfare Service.
03-05-2011-161448-001,31/05/2011,"Please advise on the number of MOD staff (both civilian and military) given approval to join the arms company, Qinetiq, under the business appointments process in 2008, 2009 and 2010."
03-05-2011-162040-002,31/05/2011,"Please provide a high resolution image, and information about copyright, of ballistic underwear worn by British troops."
03-05-2011-165203-003,31/05/2011,Please provide a copy of a pdf version of the Ceremonial for the British Army manual.
03-05-2011-165546-004,31/05/2011,Please provide a map of Salisbury Plain that show the byways that are accessible to the public that do not impinge on MOD restricted areas.
03-05-2011-171112-005,01/06/2011,Please provide information and details of all spending on government credit cards by civil servants in your Department over the last 3 years.
03-05-2011-172410-006,01/06/2011,Please provide details (quantification) of the amount of 'Black smoke' burns (fire training) that have taken place at DFTDC Manston since 2005.
04-05-2011-094536-001,01/06/2011,Please advise on the average speed of promotion and percentage chance of promotion from base rank for RAF Logistics Officers and Physical Educaiton Officers.  
04-05-2011-095132-002,01/06/2011,Please advise and provide information to various questions regarding MOD payments made to AWE Management Ltd or AWE plc.
04-05-2011-110438-003,02/06/2011,"Please provide a list of all hotels in Great Britain booked for accommodation by MOD civil servants in the last financial year, along with the total overnight accommodation costs."
04-05-2011-111616-005,02/06/2011,Please provide details of Officers Fitness Assessment (OFA) and RAF Fitness Test (RAFFT) passes and failures during the selection process for officers and aircrew at the Officer and Aircrew Selection Centre (OASC) at RAF Cranwell from 1 Feb 2010 to date. 
04-05-2011-134857-001,02/06/2011,Please provide all information regarding to the re-grading of the Barrack Manager post.
04-05-2011-153008-001,02/06/2011,"Please provide copies of all versions of risk assessments and changes made, relating to proposals to end current operations at Goswick Sands, near Berwick upon Tweed."
