Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Total
Ministry of Defence,Ministry of Defence,01/03/2011,Fees for professional services,Land Forces,G4S FSI LIMITED,157534,48353.68
Ministry of Defence,Ministry of Defence,01/03/2011,Purchase of inventory and services ,Land Forces,AAH PHARMACEUTICALS LTD,761856,19433.2
Ministry of Defence,Ministry of Defence,01/03/2011,Purchase of inventory and services ,Air Command,AAH PHARMACEUTICALS LTD,761856,6857.13
Ministry of Defence,Ministry of Defence,01/03/2011,Purchase of inventory and services ,Central TLB,AAH PHARMACEUTICALS LTD,761856,2642.53
Ministry of Defence,Ministry of Defence,01/03/2011,Purchase of inventory and services ,Command Joint Operations,AAH PHARMACEUTICALS LTD,761856,2555.61
Ministry of Defence,Ministry of Defence,01/03/2011,Purchase of inventory and services ,Defence Equipment & Support,AAH PHARMACEUTICALS LTD,761856,2059.79
Ministry of Defence,Ministry of Defence,01/03/2011,Purchase of inventory and services ,Navy Command,AAH PHARMACEUTICALS LTD,761856,654.24
Ministry of Defence,Ministry of Defence,01/03/2011,Purchase of inventory and services ,Defence Equipment & Support,AERONAUTICAL & GENERAL INSTRUMENTS LIMITED,761864,73120.16
Ministry of Defence,Ministry of Defence,01/03/2011,Property leases,Land Forces,ASPIRE DEFENCE LIMITED,761891,105172.62
Ministry of Defence,Ministry of Defence,01/03/2011,Purchase of information and communications technology,Defence Equipment & Support,ASPIRE DEFENCE LIMITED,761891,2957.98
Ministry of Defence,Ministry of Defence,01/03/2011,Purchase of inventory and services ,Defence Equipment & Support,AUSTIN HAYES LTD,761895,62328.34
Ministry of Defence,Ministry of Defence,01/03/2011,Purchase of inventory and services ,Defence Equipment & Support,BABCOCK INTERNATIONAL GROUP PLC,761900,81529.55
Ministry of Defence,Ministry of Defence,01/03/2011,Transport hire charges,Land Forces,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,761901,70969.8
Ministry of Defence,Ministry of Defence,01/03/2011,Design services and minor equipment purchases,Air Command,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,761901,20399.17
Ministry of Defence,Ministry of Defence,01/03/2011,Transport hire charges,Air Command,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,761901,5584.95
Ministry of Defence,Ministry of Defence,01/03/2011,Design services and minor equipment purchases,Land Forces,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,761901,4653.26
