TRANSACTION TYPE,TRANSACTION DATE,TRANSACTION REFERENCE,MERCHANT,TOTAL
Individual GPC,02/07/2012,PCCL1600691,INSIGHT INTERNET         ,1273.12
Individual GPC,03/07/2012,PCCL1596531,ENVOSORT                 ,507.60
Individual GPC,06/07/2012,PCCL1606321,CIVIL SERVICE LEARNING   ,879.60
Individual GPC,06/07/2012,PCCL1609421,WWW.UKOUG.ORG            ,1134.00
Individual GPC,06/07/2012,PCCL1605881,I P D SUBSCRIPTIONS      ,670.00
Individual GPC,13/07/2012,PCCL1605621,POSTURITE (UK) LTD       ,923.88
Individual GPC,13/07/2012,PCCL1606471,CIVIL SERVICE LEARNING   ,879.60
Individual GPC,31/07/2012,PCCL1606481,CAPITA BUS SVS-MOTO      ,879.60
Individual GPC,17/07/2012,PCCL1607541,ARMENIA MARRIOTT HOTEL   ,833.00
Individual GPC,20/07/2012,PCCL1607451,WWW.CARTRIDGEMONKEY.CO   ,2264.39
Individual GPC,23/07/2012,PCCL1609501,ISTORAGE                 ,531.60
Individual GPC,23/07/2012,PCCL1605711,OSMOND GROUP LTD         ,905.94
Individual GPC,27/07/2012,PCCL1608071,TSP Travel               ,739.72
Individual GPC,31/07/2012,PCCL1605731,ONLINE ERGONOMICS        ,553.20
Lodged GPC Card ,03/07/2012,366620948,Hogg Robinson Group Ltd,664.51
Lodged GPC Card ,06/07/2012,367481436,Hogg Robinson Group Ltd,-4071.45
Lodged GPC Card ,06/07/2012,367708159,Hogg Robinson Group Ltd,856.93
Lodged GPC Card ,10/07/2012,368171614,Hogg Robinson Group Ltd,569.65
Lodged GPC Card ,18/07/2012,370092397,Hogg Robinson Group Ltd,527.59
Lodged GPC Card ,20/07/2012,370064314,Hogg Robinson Group Ltd,-6141.99
Lodged GPC Card ,20/07/2012,370503861,Hogg Robinson Group Ltd,859.28
Lodged GPC Card ,25/07/2012,371297320,Hogg Robinson Group Ltd,-557.47
Lodged GPC Card ,13/07/2012,Statement 5 Aug 2012,E C GROUP                   ,5252.34
Lodged GPC Card ,13/07/2012,Statement 5 Aug 2012,E C GROUP                   ,5252.34
