Department Family,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Voluntary & Community Sector,SME Class,Sole Trader,Transaction number,Purchasing Item Text,Postal Code,Amount in Sterling,Grant?
Communities & Local Government,PINS,01/10/2012,IT - Software Maintenance,Library,PTFS EUROPE LTD,,Small,,5106183951, ArchivalWare 2000 July - June,W1S 1DX,"2,160.00",
Communities & Local Government,PINS,02/10/2012,Advertising,ROW,TMP (UK) LIMITED,,Large,,5106184072,Statutory Advertising,W1T 7RQ,83.70,
Communities & Local Government,PINS,02/10/2012,Advertising,ROW,TMP (UK) LIMITED,,Large,,5106184072, Statutory Advertising - ROW,W1T 7RQ,"1,195.70",
Communities & Local Government,PINS,02/10/2012,Advertising,ROW,TMP (UK) LIMITED,,Large,,5106184075,Statutory Advertising,W1T 7RQ,67.87,
Communities & Local Government,PINS,02/10/2012,Advertising,ROW,TMP (UK) LIMITED,,Large,,5106184075, Statutory Advertising - ROW,W1T 7RQ,969.56,
Communities & Local Government,PINS,02/10/2012,Advertising,ROW,TMP (UK) LIMITED,,Large,,5106184079,Statutory Advertising,W1T 7RQ,26.54,
Communities & Local Government,PINS,02/10/2012,Advertising,ROW,TMP (UK) LIMITED,,Large,,5106184079, Statutory Advertising - ROW,W1T 7RQ,379.15,
Communities & Local Government,PINS,02/10/2012,Agency Staff,Human Resources,CAPITA RESOURCING LTD,,Large,,5106183998, Expenses for official meetings,SL6 1DP,270.00,
Communities & Local Government,PINS,02/10/2012,Agency Staff,Human Resources,CAPITA RESOURCING LTD,,Large,,5106183998, extension 09/07/12 - 31/12/12,SL6 1DP,"1,196.90",
Communities & Local Government,PINS,02/10/2012,Agency Staff,Quality Assurance Unit,REED SPECIALIST RECRUITMENT LTD,,Large,,5106184000, Agency Staff x 1 for 6 months,SW20 0BA,457.38,
Communities & Local Government,PINS,02/10/2012,Cmmunication Telecom Costs,ICT,PLANNING PORTAL,,Public Bodies,,5106184036, Portal/PCS WAN Link 01.07.12 -25.10.13,BS1 6PN,"18,648.00",
Communities & Local Government,PINS,02/10/2012,Courier Services,Estates,CITY LINK,,Large,,5106183996, City Link Postage,WA4 4SN,"1,743.42",
Communities & Local Government,PINS,02/10/2012,Courier Services,Estates,ROYAL MAIL,,Large,,5106184003, Postal Service,S49 1HQ,"2,252.26",
Communities & Local Government,PINS,02/10/2012,IT - Service Contracts,ICT,DCLG,,Public Bodies,,5106184077, LINK support services April to June 2012,HP2 4XN,"62,880.00",
Communities & Local Government,PINS,02/10/2012,IT - Service Contracts,Estates,DCLG,,Public Bodies,,5106184077, Telephony calls May 2012,HP2 4XN,121.16,
Communities & Local Government,PINS,02/10/2012,IT - Service Contracts,Estates,DCLG,,Public Bodies,,5106184077, Telephony services Apri to June 2012,HP2 4XN,"11,045.49",
Communities & Local Government,PINS,02/10/2012,IT - Software Maintenance,ICT,ETHER SOLUTIONS LTD,,Micro,,5106183930, Kofax Renewal 08/09/12 - 07/09/13,HA1 2XU,"1,440.00",
Communities & Local Government,PINS,02/10/2012,Office machinery consumables,Admin Support,X M A LTD,,Data Not Provided,,5106184014, HP C8543X BLACK TONERS.,NG11 7EP,"2,050.56",
Communities & Local Government,PINS,02/10/2012,Office machinery consumables,Admin Support,X M A LTD,,Data Not Provided,,5106184014, HP CC364X BLACK TONERS.,NG11 7EP,"1,066.68",
Communities & Local Government,PINS,02/10/2012,Office Supplies,Admin Support,BANNER BUSINESS SUPPLIES LTD,,Large,,5106184023, 0060010 - Buff Singlefold Folders,NR3 1PD,24.30,
Communities & Local Government,PINS,02/10/2012,Office Supplies,Admin Support,BANNER BUSINESS SUPPLIES LTD,,Large,,5106184023, 0530082 - Scale Ruler,NR3 1PD,11.39,
Communities & Local Government,PINS,02/10/2012,Office Supplies,Admin Support,BANNER BUSINESS SUPPLIES LTD,,Large,,5106184023, 1230493 - A4 Evidence Books,NR3 1PD,15.84,
Communities & Local Government,PINS,02/10/2012,Office Supplies,Admin Support,BANNER BUSINESS SUPPLIES LTD,,Large,,5106184023, 1320163 - AAA Batteries,NR3 1PD,1.80,
Communities & Local Government,PINS,02/10/2012,Office Supplies,Admin Support,BANNER BUSINESS SUPPLIES LTD,,Large,,5106184023, 2281212 - Damper,NR3 1PD,310.80,
Communities & Local Government,PINS,02/10/2012,Office Supplies,Admin Support,BANNER BUSINESS SUPPLIES LTD,,Large,,5106184023, 9100036 - A4 Refill Pad,NR3 1PD,123.90,
Communities & Local Government,PINS,02/10/2012,Office Supplies,Admin Support,BANNER BUSINESS SUPPLIES LTD,,Large,,5106184023, 9250001 - HB Pencils,NR3 1PD,3.60,
Communities & Local Government,PINS,02/10/2012,Office Supplies,Admin Support,BANNER BUSINESS SUPPLIES LTD,,Large,,5106184023, 9310042 - Parcel Tape,NR3 1PD,6.98,
Communities & Local Government,PINS,02/10/2012,Office Supplies,Admin Support,BANNER BUSINESS SUPPLIES LTD,,Large,,5106184023, 9383005 - A4 Coloured Dividers,NR3 1PD,26.88,
Communities & Local Government,PINS,02/10/2012,Office Supplies,Admin Support,BANNER BUSINESS SUPPLIES LTD,,Large,,5106184023, 9383051 - Purple Dividers,NR3 1PD,20.41,
Communities & Local Government,PINS,02/10/2012,Office Supplies,Admin Support,BANNER BUSINESS SUPPLIES LTD,,Large,,5106184023, 9400056 - 25mm Presentation Binder,NR3 1PD,465.41,
Communities & Local Government,PINS,02/10/2012,Office Supplies,Admin Support,BANNER BUSINESS SUPPLIES LTD,,Large,,5106184023, 9420038 - Blue Singlefold Folders,NR3 1PD,39.56,
Communities & Local Government,PINS,02/10/2012,Office Supplies,Admin Support,BANNER BUSINESS SUPPLIES LTD,,Large,,5106184023, 9420042 - Red Singlefold Folders,NR3 1PD,5.65,
Communities & Local Government,PINS,02/10/2012,Office Supplies,Admin Support,BANNER BUSINESS SUPPLIES LTD,,Large,,5106184024, 9150050 - A4 Closed Loop Paper,NR3 1PD,653.18,
Communities & Local Government,PINS,02/10/2012,Office Supplies,Admin Support,BANNER BUSINESS SUPPLIES LTD,,Large,,5106184025, 1230031 - Plotter Rolls,NR3 1PD,542.88,
Communities & Local Government,PINS,02/10/2012,Office Supplies,Admin Support,BANNER BUSINESS SUPPLIES LTD,,Large,,5106184050, 0540030 - Scissors 152mm,NR3 1PD,8.10,
Communities & Local Government,PINS,02/10/2012,Office Supplies,Admin Support,BANNER BUSINESS SUPPLIES LTD,,Large,,5106184050, 1230005 - Black Ballpoint Pens,NR3 1PD,7.54,
