Equality Monitoring 2010/11 Annex Tables & Charts,,,

Analysis of the data summarised in the tables in this workbook can be found in the Overall Equality Monitoring Report for DfT 2010/11.,,,
Date published: [TBC],,,
Web address: [TBC],,,
"Data formats: These tables, describing the underlying data used, are available both as an Excel workbook and as a comma-separated values (CSV) file. Data is tabulated (and rows and/or columns may have been combined) in order to protect the identities of individuals.",,,


1.  Demographics,,,

Tables in section 1 summarise diversity data collected on all permanent and fixed term members of staff in post on 31st March 2011.,,,
Members of staff on long-term leave (including maternity leave) have been excluded.,,,

Table 1.1: Staff by Sex,,,

,Male,Female,Total
DfT(C),1188,671,1859,
DSA,1766,767,2533,
DVLA,2318,3860,6178,
GCDA,211,24,235,
HA,2520,1013,3533,
MCA,766,340,1106,
VCA,107,41,148,
VOSA,"1,649",622,"2,271",
DfT(whole),"10,525",7338,"17,863",

Table 1.2: Staff by Race,,,,

,White,BME,Unknown,Total
DfT(C),1274,254,331,1859
DSA,2244,108,181,2533
DVLA,5968,149,61,6178
GCDA,187,44,4,235
HA,2646,253,634,3533
MCA,957,34,115,1106
VCA,132,11,5,148
VOSA,"2,005",82,184,"2,271"
DfT(whole),"15,413",935,1515,"17,863"

Table 1.3: Staff by Disability Status,,,,

,Not disabled,Disabled,Unknown,Total
DfT(C),1548,89,222,1859
DSA,2133,215,185,2533
DVLA,4518,950,710,6178
GCDA,228,7,0,235
HA,2515,161,857,3533
MCA,769,91,246,1106
VCA,142,6,0,148
VOSA,"2,075",102,94,"2,271"
DfT(whole),"13,928",1621,2314,"17,863"

Table 1.4: Staff by Work Pattern,,,,

,Full-Time,Part-Time,Unknown,Total
DfT(C),1700,159,0,1859
DSA,2073,460,0,2533
DVLA,4627,1551,0,6178
GCDA,223,12,0,235
HA,3260,273,0,3533
MCA,1004,102,0,1106
VCA,131,17,0,148
VOSA,"2,047",224,0,"2,271"
DfT(whole),"15,065",2798,0,"17,863"

Table 1.5: Staff by Work Pattern and Sex,,,,,
, Male ,,Female,,
,Full-Time,Part-Time,Full-Time,Part-Time,
DfT(C),1145,43,555,116,
DSA,1545,221,528,239,
DVLA,2137,181,2490,1370,
GCDA,201,10,22,2,
HA,2431,89,829,184,
MCA,739,27,265,75,
VCA,106,1,25,16,
VOSA,"1,601",48,446,176,
DfT(whole),"9,905",620,"5,160",2178,

Table 1.6: Staff by Work Pattern and Race,,,,,
,White,,BME,,Unknown
,Full-Time,Part-Time,Full-Time,Part-Time,Full-Time,Part-Time
DfT(C),1154,120,234,20,312,19
DSA,1820,424,97,11,156,25
DVLA,4470,1498,112,37,45,16
GCDA,178,9,41,3,4,0
HA,2437,209,231,22,592,42
MCA,862,95,34,0,108,7
VCA,116,16,10,1,5,0
VOSA,"1,809",196,77,5,161,23
DfT(whole),"12,846",2567,836,99,"1,383",132

Table 1.7: Staff by Work Pattern and Disability Status,,,,,,
,Not Disabled,,Disabled,,Unknown,
,Full-Time,Part-Time,Full-Time,Part-Time,Full-Time,Part-Time
DfT(C),1408,140,82,7,210,12
DSA,1737,396,176,39,160,25
DVLA,3427,1091,667,283,533,177,,,,,,
GCDA,216,12,7,0,0,0,,,,,,
HA,2327,188,146,15,787,70,,,,,,
MCA,695,74,81,10,228,18,,,,,,
VCA,125,17,6,0,0,0,,,,,,
VOSA,"1,877",198,85,17,85,9,,,,,,
DfT(whole),"11,812",2116,"1,250",371,"2,003",311,,,,,,

Table 1.8: Age-distribution - All Staff,,,,,,,,,,,,
,Under 20,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60 to 64,65 and over,Total
DfT(C),0,49,141,230,244,310,309,283,179,100,14,1859
DSA,0,28,107,146,237,317,422,475,423,303,75,2533
DVLA,54,334,920,979,605,711,879,941,513,231,11,6178
GCDA,0,1,13,6,15,31,44,40,39,42,4,235
HA,0,79,320,401,432,561,541,540,418,206,35,3533
MCA,1,28,108,91,122,117,141,190,193,101,14,1106
VCA,0,5,21,15,20,16,16,22,21,9,3,148
VOSA,0,29,106,218,242,338,363,416,327,218,14,2271
DfT(whole),55,553,1736,"2,086","1,917",2401,2715,"2,907","2,113",1210,170,17863

Table 1.9: Age-distribution - Male Staff,,,,,,,,,,,,
,Under 20,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60 to 64,65 and over,Total
DfT(C),0,24,79,125,145,190,214,206,118,76,11,1188
DSA,0,8,52,74,139,187,293,356,332,257,68,1766
DVLA,30,147,412,427,271,252,246,261,155,110,7,2318
GCDA,0,1,8,6,13,25,39,38,36,42,3,211
HA,0,43,187,249,306,382,388,408,348,180,29,2520
MCA,1,17,56,61,69,67,99,135,162,86,13,766
VCA,0,3,15,9,13,11,14,14,19,6,3,107
VOSA,0,16,54,134,172,234,264,321,260,180,14,1649
DfT(whole),31,259,863,"1,085","1,128",1348,1557,"1,739","1,430",937,148,10525

Table 1.10: Age-distribution - Female Staff,,,,,,,,,,,,
,Under 20,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60 to 64,65 and over,Total
DfT(C),0,25,62,105,99,120,95,77,61,24,3,671
DSA,0,20,55,72,98,130,129,119,91,46,7,767
DVLA,24,187,508,552,334,459,633,680,358,121,4,3860
GCDA,0,0,5,0,2,6,5,2,3,0,1,24
HA,0,36,133,152,126,179,153,132,70,26,6,1013
MCA,0,11,52,30,53,50,42,55,31,15,1,340
VCA,0,2,6,6,7,5,2,8,2,3,0,41
VOSA,0,13,52,84,70,104,99,95,67,38,0,622
DfT(whole),24,294,873,"1,001",789,1053,1158,"1,168",683,273,22,7338

Table 1.11: Age-distribution - White Staff,,,,,,,,,,,,
,Under 20,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60 to 64,65 and over,Total
DfT(C),0,32,89,148,151,206,203,214,143,79,9,1274
DSA,0,26,96,125,202,277,365,425,384,276,68,2244
DVLA,54,326,887,936,581,689,857,908,495,224,11,5968
GCDA,0,0,10,4,11,24,31,29,35,39,4,187
HA,0,44,190,275,304,425,427,442,332,178,29,2646
MCA,1,21,88,83,106,100,122,171,165,88,12,957
VCA,0,4,15,14,18,13,16,20,20,9,3,132
VOSA,0,26,97,193,226,298,323,360,283,187,12,2005
