Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Department for Communities & Local Government ,Ministerial Department,Department for Communities & Local Government,139,133.5,269,260.2,795,776.1,585,565,90,86.9,0,0,1878,1821.7,14,14,5,5,27,27,7,7,53,53,1931,1874.7,6423423.7,59570.86,10900,32997.71,1258700.58,550357.21,8335950.06,291779,202235,494014,8829964.06,
Fire Service College,Executive Agency,Department for Communities & Local Government,64,59.6,33,31.4,67,65.4,14,14,1,1,0,0,179,171.4,0,0,4,3.8,0,0,0,0,4,3.8,183,175.2,307156,0,0,0,56034,22110,385300,88387,0,88387,473687,
Planning Inspectorate,Executive Agency,Department for Communities & Local Government,220,196.02,130,118.19,74,71.45,249,211.2,4,3.5,0,0,677,600.36,0,0,0,0,0,0,0,0,0,0,677,600.36,1759213,23040,0,11519,361152,153780,2308704,0,0,0,2308704,
Queen Elizabeth II Conference Centre,Executive Agency,Department for Communities & Local Government,4,4,8,8,27,27,3,3,1,1,0,0,43,43,1,1,0,0,1,1,0,0,2,2,45,45,124359.66,244.25,0,8300.38,23392.98,11382.77,167680.04,1645,2215,3860,171540.04,
Homes & Communities Agency,Executive Non-Departmental Public Body,Department for Communities & Local Government,129,123.95,212,207.93,240,233.96,37,36.8,49,48.7,87,85.33,754,736.67,6,6,2,2,7,7,0,0,15,15,769,751.67,2661436.61,136720.63,0,4991.63,648802.04,263742.38,3715693.29,91526.95,0,91526.95,3807220.24,
Independent Housing Ombudsman Ltd,Executive Non-Departmental Public Body,Department for Communities & Local Government,0,0,0,0,0,0,0,0,0,0,38,37.5,38,37.5,1,1,0,0,0,0,0,0,1,1,39,38.5,150488.5,64.28,0,0,26891.93,14815.85,192260.56,2996,0,2996,195256.56,
Infrastructure Planining Commission,Executive Non-Departmental Public Body,Department for Communities & Local Government,3,3,6,6,14,13.8,15,14,12,10.3,0,0,50,47.1,1,1,2,1.6,0,0,0,0,3,2.6,53,49.7,229361.29,0,0,3364.3,16228.64,24879.57,273833.8,14227.13,0,14227.13,288060.93,The Infrastructure Planning Commission closed as of 31st March 2012.
Leasehold Advisory Service,Executive Non-Departmental Public Body,Department for Communities & Local Government,3,2.4,1,1,17,16,0,0,1,1,0,0,22,20.4,0,0,0,0,0,0,0,0,0,0,22,20.4,69682,0,0,0,6020,7266,82968,0,0,0,82968,
London Thames Gateway Development Corporation,Executive Non-Departmental Public Body,Department for Communities & Local Government,0,0,2,2,10,9.28,7,6.8,12,12,0,0,31,30.08,1,0.03,0,0,5,0.45,1,0.08,7,0.56,38,30.64,145186.21,0,0,0,19571.42,14785.56,179543.19,2313.36,9000,11313.36,190856.55,
Standards Board for England,Executive Non-Departmental Public Body,Department for Communities & Local Government,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,0,,,0,0,The Standards Board for England closed as of 31st March 2012.
