Department/organisation name,Number of exemptions approved at grade:,,,,,,,,,,,,,,Date of Update
, AO/AA,,EO,,HEO/SEO,, Grade 6/7,,SCS level,,"Unknown/Other
(please add comments if exemptions are entered here)",,Total exemptions,,
,Headcount,FTE,Headcount,FTE,Headcount,FTE,Headcount,FTE,Headcount,FTE,Headcount,FTE,Headcount,FTE,
MOD,6,6,40,40,93,93,2,2,1,1,378,378,520,520,1 Nov 2010 to 30 Sept 2011
Defence Support Group,1,1,,,1,1,1,1,,,,,3,3,1 Nov 2010 to 30 Sept 2011
Defence Science and Technology Laboratory,28,28,8,8,60,60,39,39,0,,0,,135,135,1 Nov 2010 to 30 Sept 2011
UK Hydrographic Office,5,5,15,15,7,7,4,4,0,0,0,0,31,31,1 Nov 2010 to 30 Sept 2011
Defence Scientific Advisory Council,,,,,,,,,,,5,5,5,5,1 Nov 2010 to 30 Sept 2011
National Army Museum,,,1,1,,,,,,,,,1,1,1 Nov 2010 to 30 Sept 2011
National Museum of the Royal Navy,,,,,,,,,,,8,8,8,8,1 Nov 2010 to 30 Sept 2011
Science Advisory Committee on the Medical Implications of Less Lethal Weapons,,,,,,,,,,,10,10,10,10,1 Nov 2010 to 30 Sept 2011
