Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs (£),,,,,,,Non-Payroll staff (contingent labour/consultancy - CCL) costs (£),,,Grand Total paybill/staffing (payroll and non-payroll) costs (£),Comments and notes
,,,Admin officers/admin assistants,,Executive Officers,,Higher Executive Officers/Senior Executive Officers,,Grade 6/7,,Senior Civil Service,,"Other, unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,,,Salary (£),Allowances (£),Non-consolidated performance payments (£),Overtime (£),Employer pension contributions (£),Employer national insurance contributions (£),Total paybill for payroll staff (£),"Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors (£)","Total cost of consultants/
consultancy (£)",Total non-payroll (CCL) staff costs(£),,
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,
Advantage West Midlands,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",..,..,..,..,..,..,..,..,..,..,..,219,..,219,..,..,..,..,..,..,..,..,..,..,..,219,,,,,,,"1,675,600.00",,,..,"16,756,800.00",breakdown of payroll staff and non payroll staff not available
Advisory Concilliation & Arbitration Service,Crown Non Departmental Public Body,"Department for Business, Innovation & Skills",..,..,..,..,..,..,..,..,..,..,934,876,934,876,7,7,0,0,0,0,1,0.25,8,7.25,942,883,,,,,,,"32,794.00","213,548.00","44,665.00","258,213.00","291,007.00",Payroll headcount and paybill baseline amended in October - no breakdown available
Arts & Humanities Research Council,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",6,5.419,30,27.018,33,30.851,11,10.308,4,4,0,0,84,78,1,1,0,0,2,2,0,0,3,3,87,81,"2,431,909.68","44,761.42","31,566.03","16,421.49","545,286.53","235,779.34","3,305,724.49","32,809.24","327,723.00",,"3,305,724.49",
Biotechnology & Biological Sciences Research Council,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",351,258.44,557,516.82,950,916.71,224,211.87,47,44.08,2,2,"2,131","1,950",21,19.3,0,0,6,6,7,3.3,34,28.6,"2,165","1,979","66,102,189.90","1,222,055.77","420,390.52","894,344.59","15,198,304.00","4,428,002.96","88,265,287.74","3,302,326.20","2,604,395.77","5,906,721.97","94,172,009.71",
British Hallmarking Council,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,..,,,..,..,
"Business, Innovation & Skills (inc UKTI)",Ministerial Department,"Department for Business, Innovation & Skills",316,300.8,475,438.9,1221,1191.7,1066,1027.2,219,211.7,0,0,"3,297","3,170",69,69,39,39,73,73,101,101,282,282,"3,579","3,452","130,186,668.00","2,941,097.00","988,612.00","974,032.00","27,091,879.00","11,408,751.00","173,591,039.00",,"3,340,640.00","3,340,640.00","176,931,679.00",
Capital for Enterprise Limited,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",1,1,4,3.81,4,4,7,6.75,6,2.55,0,0,22,18,1,1,0,0,4,2.2,0,0,5,3.2,27,22,"1,117,855.00","6,000.00","50,750.00",,"211,589.00","114,132.00","1,500,326.00","12,358.00","18,635.00","30,993.00","1,531,319.00",
Companies House,Executive Agency,"Department for Business, Innovation & Skills",691,607.48,274,259.45,137,133.7,28,27.13,4,4,0,0,"1,134","1,032",1,1,,,,,2,2,3,3,"1,137","1,035",,,,,,,"31,306,139.00",,,..,"31,306,139.00",No payroll and non payroll salary breakdown available
Competition Commission,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",..,..,..,..,..,..,..,..,..,..,134,130,134,130,4,4,1,0.78,0,0,0,0,5,4.78,139,135,,,,,,,"9,637,000.00",,,..,"9,637,000.00",Payroll headcount and paybill baseline amended in October - no breakdown available
Competition Service,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",4,4,2,1.8,4,3.6,4,4,1,1,0,0,15,14,0,0,0,0,0,0,0,0,0,0,15,14,,,,,,,"838,095.00",,,0,"838,095.00",Payroll staff costs amended in October - no breakdown available
Construction Industry Training Board,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",347,315.34,656,641.42,222,219.69,27,27,7,7,0,0,"1,259","1,210",79,74.73,3,1.8,39,23.6,13,7.74,134,107.87,"1,393","1,318","36,565,055.21","3,710,775.21",,"135,055.21","4,211,990.08","3,162,725.84","47,785,601.55",,"173,095.00","173,095.00","47,958,696.55",
Consumer Focus,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",40,38.5,21,20.3,71,67.2,25,24,3,3,0,0,160,153,4,4,4,3.8,0,0,3,0.3,11,8.1,171,161,,,,,,,"7,894,546.00",,,..,"7,894,546.00",Payroll and non payroll staff costs breakdown not available
Design Council,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",,,,,,,,,,,63,63,63,63,,,,,,,,,,,63,63,,,,,,,"3,261,000.00",,,0,"3,261,000.00",Payroll and non payroll staff breakdown not available
East Midlands Development Agency,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",..,..,..,..,..,..,..,..,..,..,..,185,..,185,..,..,..,..,..,..,..,..,..,..,..,185,,,,,,,"11,183,000.00",,,..,"11,183,000.00",breakdown of payroll staff and non payroll staff not available
East of England Development Agency,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",..,..,..,..,..,..,..,..,..,..,..,138,..,138,..,..,..,..,..,..,..,..,..,..,..,138,,,,,,,"12,633,000.00",,,..,"12,633,000.00",breakdown of payroll staff and non payroll staff not available
Economic & Social Reseach Council,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",25,21.7,26,24.2,66,58.6,18,17.9,4,4,0,0,139,126,1,1,0,0,1,1,0,0,2,2,141,128,,,,,,,"5,034,794.00",,,..,"5,034,794.00",No payroll and non payroll baseline breakdown provided
Engineering & Physical Sciences Research Council,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",,,,,,,,,,,,,0,219,,,,,,,,,,,0,219,,,,,,,0,,,0,0,
Engineering Construction Industry Training  Board,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",30,27,29,28,20,20,4,4,0,0,5,0,88,79,1,1,0,0,0,0,0,0,1,1,89,80,,,,,,,"3,240,713.00",,,..,"3,240,713.00",Salary costs amended in October - no breakdown available
Film Industry Training Board,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,.,,,.,.,
Higher Education Funding Council for England,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",9,6.38,33,26.92,174,158.62,45,44.39,5,4.41,0,0,266,241,6,4.5,0,0,0,0,1,0.2,7,4.7,273,245,"9,663,951.18","29,432.64",,"7,504.29","1,964,520.30","835,061.91","12,500,470.32","95,740.28","178,293.86","274,034.14","12,774,504.46",
Insolvency Service,Executive Agency,"Department for Business, Innovation & Skills",996,923.68,508,483.11,978,941.63,113,110.34,5,4.8,0,0,"2,600","2,464",75,75,0,0,38,38,0,0,113,113,"2,713","2,577","66,590,176.19","1,015,485.81","18,900.00","74,380.21","12,484,431.96","4,952,919.43","85,136,293.60","12,857,015.03",,"12,857,015.03","97,993,308.63",2010-11 includes Specialist Contractors working on Enabling the Future IT Programme
Local Better Regulation Office,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",..,..,..,..,..,..,..,..,..,..,26,25,26,25,..,..,..,..,..,..,..,..,..,..,26,25,,,,,,,"1,675,215.00",,,..,"1,675,215.00",Payroll headcount and paybill baseline amended in October - no breakdown available
