Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Department for Communities & Local Government ,Ministerial Department,Department for Communities & Local Government,218,208.56,337,326.42,847,824.66,623,601.28,108,103.76,0,0,2133,2064.68,7,7,7,7,8,8,12,12,34,34,2167,2098.68,6792777.21,53692.9,13873.34,30831,1388225.27,614578.12,8893977.84,102299.08,309534.05,411833.13,9305810.97,
Fire Service College,Executive Agency,Department for Communities & Local Government,63,61.9,35,33.6,78,76,17,17,2,2,0,0,195,190.5,0,0,3,2.8,0,0,0,0,3,2.8,198,193.3,497964.9,0,0,3013.96,98368.66,40454.75,639802.27,25147,0,25147,664949.27,
Ordnance Survey ,Non-Ministerial Department,Department for Communities & Local Government,43,36,549,535,404,395,107,105,6,6,3,1,1112,1078,46,43.5,2,2,70,70,1,0.55,119,116.05,1231,1194.05,2866776.49,68744.96,225658,21574.93,561148.92,263287.29,4007190.59,700109,7150,707259,4714449.59,
Planning Inspectorate,Executive Agency,Department for Communities & Local Government,225,200.57,132,121.75,76,72.48,258,218.46,4,3.5,0,0,695,616.76,0,0,0,0,0,0,0,0,0,0,695,616.76,1339560.82,33192.14,0,1731.83,370998.83,272295.88,2017779.5,0,0,0,2017779.5,
Queen Elizabeth II Conference Centre,Executive Agency,Department for Communities & Local Government,4,4,13,13,22,22,3,3,1,1,0,0,43,43,0,0,0,0,0,0,0,0,0,0,43,43,119627.64,1046,0,13731.36,23845.48,11618.53,169869.01,0,0,0,169869.01,
Homes & Communities Agency,Executive Non-Departmental Public Body,Department for Communities & Local Government,275,257.12,333,325.23,93,89.69,96,94.8,61,60.88,0,0,858,827.72,4,4,0,0,3,3,0,0,7,7,865,834.72,3035850.73,453201.44,0,7011.68,696028.09,290272.15,4482364.09,23592.06,0,23592.06,4505956.15,
Independent Housing Ombudsman Ltd,Executive Non-Departmental Public Body,Department for Communities & Local Government,0,0,0,0,0,0,0,0,0,0,34,34,34,34,1,1,0,0,3,2,0,0,4,3,38,37,139143.41,1194.28,0,0,29430.77,13730.93,183499.39,20043.56,0,20043.56,203542.95,
Infrastructure Planining Commission,Executive Non-Departmental Public Body,Department for Communities & Local Government,9,9,8,8,14,13.8,14,13.8,13,11.3,0,0,58,55.9,1,1,0,0,0,0,0,0,1,1,59,56.9,264223.96,0,0,52.36,16452.1,26963.42,307691.84,2509.84,0,2509.84,310201.68,
Leasehold Advisory Service,Executive Non-Departmental Public Body,Department for Communities & Local Government,0,0,4,3.4,15,14,0,0,1,1,0,0,20,18.4,0,0,0,0,0,0,0,0,0,0,20,18.4,58743.07,0,0,0,5874.295,6447.02,71064.385,0,0,0,71064.385,
London Thames Gateway Development Corporation,Executive Non-Departmental Public Body,Department for Communities & Local Government,0,0,2,2,12,11.3,8,7.8,15,14.5,0,0,37,35.6,0,0,1,0.56,5,0.45,0,0,6,1.01,43,36.61,162874.64,0,0,0,21664.96,16277.25,200816.85,6829.3,0,6829.3,207646.15,
Standards Board for England,Executive Non-Departmental Public Body,Department for Communities & Local Government,3,2.8,5,5,18,17.43,6,6,3,3,0,0,35,34.23,0,0,0,0,0,0,0,0,0,0,35,34.23,114544.13,0,0,0,19496.04,10472.29,144512.46,0,0,0,144512.46,
Tenants Services Authority,Executive Non-Departmental Public Body,Department for Communities & Local Government,5,4.97,42,41.26,110,106.71,26,25.8,9,9,9,1.31,201,189.05,0,0,0,0,0,0,0,0,0,0,201,189.05,764826.19,449.8,0,524.06,71261.48,68425.28,905486.81,0,0,0,905486.81,
Thurrock Development Corporation,Executive Non-Departmental Public Body,Department for Communities & Local Government,0,0,0,0,0,0,0,0,0,0,35,34.14,35,34.14,0,0,0,0,0,0,0,0,0,0,35,34.14,146214.31,2760.93,0,0,16386.11,15004.39,180365.74,0,0,0,180365.74,
Valuation Tribunal Service,Executive Non-Departmental Public Body,Department for Communities & Local Government,17,16.37,9,8.28,33,32.61,16,16,1,1,0,0,76,74.26,1,1,0,0,0,0,0,0,1,1,77,75.26,213154.88,4296.58,0,0,44572.64,18383.64,280407.74,2762.76,0,2762.76,283170.5,
West Northamptonshire Development Corporation,Executive Non-Departmental Public Body,Department for Communities & Local Government,8,7.41,13,12.94,10,9.7,2,2,4,4,0,0,37,36.05,1,1,0,0,1,0.4,3,1,5,2.4,42,38.45,135556,4000,0,0,35873,13094,188523,6577,11684,18261,206784,
