Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type,Contract Number,Project Code,Expenditure Type
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",9/19/2012,Payments to Barclays for Carlson Wagonlit Travel Contract,Finance & Commercial Group - Finance Group,INITIAL CATERING SERVICES LTD T/A AUTOGRAPH,1047431,421.44, - Payments to Barclays for Carlson Wagonlit Travel Contract,DY1 9JD,,,,Programme
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",9/13/2012,Fixtures and fittings,Finance & Commercial Group - Commercial Directorate,KNIGHT FRANK LLP,1055203,-1417.36, - Fixtures and fittings,W1U 8AN,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",9/5/2012,Research & Development Expenditure (Programme),Government Office for Science - Government Office for Science,DR PAUL BREWER,1059063,1000, - Research & Development Expenditure (Programme),TN37363,SME,,,Programme
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",9/6/2012,ICT Business Specific Application Services,Finance & Commercial Group - Commercial Directorate,BRITISH TELECOMMUNICATIONS plc (BT),1061585,1861.68, - ICT Business Specific Application Services,DH98 1BT,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",9/3/2012,Capital Grants - Other,Knowledge & Innovation Group - Research Base,SCOTTISH HIGHER EDUCATION FUNDING COUNCIL,1062193,2607689, - Capital Grants - Other,EH12 5HD,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",9/4/2012,Publications,Legal Services - Legal Services,SWETS INFORMATION SERVICES,1062349,16.13, - Publications,OX14 1UQ,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",9/4/2012,Refuse Disposals,Finance & Commercial Group - Commercial Directorate,EC HARRIS SOLUTIONS LTD,1062719,3808.4, - Refuse Disposals,M60 3NT,EXT,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",9/4/2012,Refuse Disposals,Finance & Commercial Group - Commercial Directorate,EC HARRIS SOLUTIONS LTD,1062719,6870.09, - Refuse Disposals,M60 3NT,EXT,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",9/4/2012,Refuse Disposals,Finance & Commercial Group - Commercial Directorate,EC HARRIS SOLUTIONS LTD,1062719,7972.55, - Refuse Disposals,M60 3NT,EXT,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",9/4/2012,Refuse Disposals,Finance & Commercial Group - Commercial Directorate,EC HARRIS SOLUTIONS LTD,1062719,328.05, - Refuse Disposals,M60 3NT,EXT,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",9/4/2012,Stationery,"People, Communications and Effectiveness Group - Communications Directorate",BANNER BUSINESS SERVICES LTD,1062785,11.72, - Stationery,NR3 1QU,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",9/6/2012,Standard Desktop Plus Services,Finance & Commercial Group - Commercial Directorate,VODAFONE LTD,1062824,55.01, - Standard Desktop Plus Services,NG24 2EG,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",9/6/2012,Publications,Legal Services - Legal Services,LEXISNEXIS (A DIVISION OF REED ELSEVIER (UK) lTD),1062888,363.3, - Publications,SM2 5AS,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",9/13/2012,Grants - Current - Other,Knowledge & Innovation Group - Research Base,THE UNIVERSITY OF MANCHESTER,1062894,208333.33, - Grants - Current - Other,M13 9PL,EXT,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",9/14/2012,Grants - Current - Other,Knowledge & Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1063155,3349.57, - Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",9/10/2012,Refuse Disposals,Finance & Commercial Group - Commercial Directorate,EC HARRIS SOLUTIONS LTD,1063163,11710.07, - Refuse Disposals,M60 3NT,EXT,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",9/10/2012,Refuse Disposals,Finance & Commercial Group - Commercial Directorate,EC HARRIS SOLUTIONS LTD,1063164,14779.72, - Refuse Disposals,M60 3NT,EXT,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",9/11/2012,Grants - Current - Other,Knowledge & Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1063165,-629.41, - Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",9/11/2012,Grants - Current - Other,Knowledge & Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1063168,258.37, - Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",9/11/2012,Grants - Current - Other,Knowledge & Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1063169,102.04, - Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",9/11/2012,Grants - Current - Other,Knowledge & Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1063170,661.97, - Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",9/11/2012,Grants - Current - Other,Knowledge & Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1063171,216.62, - Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",9/11/2012,Grants - Current - Other,Knowledge & Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1063172,1629.85, - Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",9/11/2012,Grants - Current - Other,Knowledge & Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1063174,63.59, - Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",9/11/2012,Grants - Current - Other,Knowledge & Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1063175,1711.33, - Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",9/13/2012,Service Charges,Finance & Commercial Group - Commercial Directorate,C INSTON T/A MCET SERVICE,1063243,95, - Service Charges,WS9 9RB,SME,,,Administration
