,2010/11
Periodic Training Hours logged,"2,830,834"
Periodic training completed successfully and DQC triggered,"10,215"
Initial Qualifacation completed and DQC triggered ,"12,104"
Total DQC's issued (excludes replacements corrections etc),"22,319"
Non UK EU/EEA DQCs triggered,5
Total centres approved,233
Total courses approved,"2,419"
Total courses completed,"63,582"
Total attendees,"315,824"
Total individual drivers active,"281,629"
JAUPT Routine audits (combined centre and course audits),271
DSA Audits (combined centre and course audits),7
