Minister,Date of Hospitality,Name of Organisation,Type of hospitality received
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",19-Oct-10,"Sancroft International, The Chartered Institute of Plumbing and Heating Engineering",Lunch
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",21-Nov-10,British Curry Awards,Dinner
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",22-Nov-10,County Councils Network Dinner,Dinner
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",30-Nov-10,Industry Forum Dinner,Dinner
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",16-Dec-10,CBI,Breakfast
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",16-Dec-10,Archbishop of Canterbury,Lunch
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",10-Oct-10,Bangladeshi Caterers  Association ,Reception and Dinner
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",11-Oct-10,British Retail Consortium ,Lunch 
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",18-Oct-10,The Really Useful Theatre Company,Dinner 
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",15-Nov-10,The Times ,Lunch 
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",18-Nov-10,The Spectator,Lunch
"Rt Hon Grant Shapps MP, Minister of State (Housing and Local Government)",16-Nov-10,House Builders Federation,Dinner
"Andrew Stunell MP, Parliamentary Under-Secretary of State",24-Nov-10,Civil Service Islamic Society,Dinner
"Andrew Stunell MP, Parliamentary Under-Secretary of State",01-Dec-10,Muslim Youth Helpline-,Dinner
"Bob Neill MP, Parliamentary Under-Secretary of State",Nil Return,Nil Return,
"Baroness Hanham CBE, Parliamentary Under-Secretary of State",Nil Return,Nil Return


"* Does not normally include attendance at functions hosted by HM Government or the Royal Household; attendance at ‘diplomatic’ functions in the UK or abroad, hosted by overseas governments; minor refreshments at meetings, receptions conferences and seminars; working meals; light refreshments; attendance at lunches, dinners and receptions by professional bodies and their equivalents in local government and in the non-governmental public sector; meals provided at a conference; and offers of hospitality which were declined.",,
