Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Department for Communities & Local Government ,Ministerial Department,Department for Communities & Local Government,225,215.33,329,317.02,889,868.92,620,601.2,100,96.76,0,0,2163,2099.23,12,12,6,6,11,11,11,11,40,40,2203,2139.23,6845740.57,58036.86,20290,31163.89,1393582.05,609095.97,8957909.34,171639.43,310338.79,481978.22,9439887.56,
Fire Service College,Executive Agency,Department for Communities & Local Government,61,59.9,35,33.6,75,73,17,17,1,1,0,0,189,184.5,1,1,3,2.8,0,0,0,0,4,3.8,193,188.3,474442.09,0,0,1464.65,92460.62,36465.41,604832.77,27946,0,27946,632778.77,
Planning Inspectorate,Executive Agency,Department for Communities & Local Government,223,199.63,132,121.55,70,67.45,258,217.18,4,3.5,0,0,687,609.31,0,0,0,0,0,0,0,0,0,0,687,609.31,1784667,31055,0,1841,365290,155077,2337930,0,0,0,2337930,
Queen Elizabeth II Conference Centre,Executive Agency,Department for Communities & Local Government,5,5,13,13,21,21,3,3,1,1,0,0,43,43,0,0,0,0,0,0,0,0,0,0,43,43,121773.92,578,86126,3409.06,23268.71,21539.11,256694.8,0,0,0,256694.8,
Homes & Communities Agency,Executive Non-Departmental Public Body,Department for Communities & Local Government,206,195.8,266,262.69,78,75.57,86,84.84,56,55.88,0,0,692,674.78,1,1,0,0,4,4,1,1,6,6,698,680.78,2401203.23,3143641.05,0,4519.1,557991.06,240179.21,6347533.65,10204.17,8898,19102.17,6366635.82,
Independent Housing Ombudsman Ltd,Executive Non-Departmental Public Body,Department for Communities & Local Government,0,0,0,0,0,0,0,0,0,0,36,36,36,36,2,2,0,0,0,0,0,0,2,2,38,38,141862.92,64.28,0,0,25657.4,13940.61,181525.21,6180.73,0,6180.73,187705.94,
Infrastructure Planining Commission,Executive Non-Departmental Public Body,Department for Communities & Local Government,12,12,5,5,14,13.8,14,13.8,12,10.3,0,0,57,54.9,1,1,0,0,0,0,0,0,1,1,58,55.9,205967.84,3304.16,0,0,15666.68,24674.32,249613,2711.65,0,2711.65,252324.65,
Leasehold Advisory Service,Executive Non-Departmental Public Body,Department for Communities & Local Government,0,0,4,3.4,15,14,0,0,1,1,0,0,20,18.4,0,0,0,0,0,0,0,0,0,0,20,18.4,57954.58,0,0,0,5795,6354.43,70104.01,0,0,0,70104.01,
London Thames Gateway Development Corporation,Executive Non-Departmental Public Body,Department for Communities & Local Government,0,0,2,2,11,10.3,8,7.8,14,14,0,0,35,34.1,0,0,1,0.35,5,0.27,0,0,6,0.62,41,34.72,157727.2,0,0,0,20949.26,15921.1,194597.56,5133.99,0,5133.99,199731.55,
Standards Board for England,Executive Non-Departmental Public Body,Department for Communities & Local Government,3,2.8,5,5,18,17.43,6,6,3,3,0,0,35,34.23,0,0,0,0,0,0,0,0,0,0,35,34.23,114544.3,0,0,0,18028.59,10521.27,143094.16,0,0,0,143094.16,
Tenants Services Authority,Executive Non-Departmental Public Body,Department for Communities & Local Government,5,4.97,38,37.06,102,98.71,24,23.8,8,8,9,1.31,186,173.85,0,0,0,0,0,0,0,0,0,0,186,173.85,697906.75,694.2,0,671.4,66468.38,62408.28,828149.01,0,0,0,828149.01,
Thurrock Development Corporation,Executive Non-Departmental Public Body,Department for Communities & Local Government,0,0,0,0,0,0,0,0,0,0,33,32.93,33,32.93,0,0,0,0,0,0,0,0,0,0,33,32.93,143349.2,2744.26,0,0,16260.11,14967.07,177320.64,0,0,0,177320.64,
Valuation Tribunal Service,Executive Non-Departmental Public Body,Department for Communities & Local Government,21,20.17,39,38.25,12,11.83,2,2,1,1,0,0,75,73.25,3,3,0,0,0,0,0,0,3,3,78,76.25,214159.42,5018.34,0,0,44058.05,18983.87,282219.68,3616.8,0,3616.8,285836.48,
