Department,Entity,Date,Expense Type,Expense Area,Supplier,Post Code,Transaction Number,Payment Description,Total
Ministry of Defence,Ministry of Defence,19/04/2012,Property leases,Defence Infrastructure Organisation ,ASPIRE DEFENCE LIMITED,SP9 7QD,926887,Property dwellings private finance initiative - service concession arrangement service charge,"23,367,876.23"
Ministry of Defence,Ministry of Defence,16/04/2012,"Purchase of munitions, other inventory or fuel",Defence Equipment & Support,SHELL EASTERN TRADING (PTE) LIMITED,,2000015433,Raw materials and consumable oil and lubricants inventory purchased,"21,472,279.14"
Ministry of Defence,Ministry of Defence,26/04/2012,"Purchase of munitions, other inventory or fuel",Defence Equipment & Support,BP OIL INTERNATIONAL LIMITED,E14 5NJ,2000015563,Raw materials and consumable aviation fuel inventory purchased,"16,071,223.40"
Ministry of Defence,Ministry of Defence,18/04/2012,Rent and rates,Defence Infrastructure Organisation ,CITY OF WESTMINSTER,SW1E 6QY,926174,Rent buildings - non civil estate property and married quarter property,"13,242,275.15"
Ministry of Defence,Ministry of Defence,19/04/2012,Government Procurement Card,Ministry of Defence,BARCLAYS BANK PLC,TS17 6YG,10960,Monthly GPC payment,"11,818,146.60"
Ministry of Defence,Ministry of Defence,04/04/2012,Fees for professional services,Land Forces,CAPITA BUSINESS SERVICES LTD,DL1 9HN,921885,Fees for professional services excluding legal fees,"11,110,000.00"
Ministry of Defence,Ministry of Defence,18/04/2012,Rent and rates,Defence Infrastructure Organisation ,WILTSHIRE COUNCIL,BA14 4DS,926819,Rent buildings - non civil estate property and married quarter property,"9,910,954.91"
Ministry of Defence,Ministry of Defence,24/04/2012,Estate management,Defence Infrastructure Organisation ,CARILLIONENTERPRISE LIMITED,B75 7RL,928818,Estate core services charge,"9,486,450.14"
Ministry of Defence,Ministry of Defence,16/04/2012,Estate management,Defence Infrastructure Organisation ,DEBUT SERVICES (SOUTH WEST)LIMITED,BA1 5AB,925114,Estate core services charge,"8,832,694.47"
Ministry of Defence,Ministry of Defence,17/04/2012,Government Procurement Card,Ministry of Defence,BARCLAYS BANK PLC,TS17 6YG,10958,Monthly GPC payment,"7,877,922.27"
Ministry of Defence,Ministry of Defence,11/04/2012,Estate management,Defence Infrastructure Organisation ,MODUS SERVICES LIMITED,SW1A 2HB,923641,Works - estate management,"6,766,540.63"
Ministry of Defence,Ministry of Defence,24/04/2012,Estate management,Defence Infrastructure Organisation ,MODERN HOUSING SOLUTIONS (PRIME)LIMITED,PE28 4QG,929017,Estate core services charge,"6,209,880.22"
