Assize: 10-14 December 2012,,

Bulford Military Court ,Tel: 01980 673271,
DATE/TIME,PROCEEDINGS,RANK
10 December 2012 1000hrs,PCMH,5 x Private
11 December 2012 1000hrs,CM,Sergeant
13 December 2012 1000hrs,PCMH,Private
13 December 2012 1030hrs,PCMH,Sergeant
13 December 2012 1100hrs,PCMH,Ex-Lance Corporal
13 December 2012 1130hrs,CM,Major
13 December 2012 1400hrs,SAC,Gunner

Catterick Military Court Centre,Tel: 01748 872374,
DATE/TIME,PROCEEDINGS,RANK
10 December 2012 1100hrs,LFM,Lance Corporal
10 December 2012 1130hrs,PCMH,Corporal
10 December 2012 1200hrs,PCMH,Private
10 December 2012 1200hrs,CM,Senior Aircraftsman
11 December 2012 1000hrs,PCMH,Colour Sergeant
11 December 2012 1400hrs,CM,Private
12 December 2012 1300hrs,SAC,Lance Corporal
12 December 2012 1315hrs,CM,Kingsman
12 December 2012 1415hrs,CM,Rifleman

Colchester Military Court Centre,Tel: 01206 815295,
DATE/TIME,PROCEEDINGS,RANK
10 December 2012 1200hrs,LFM,Sapper
10 December 2012 1300hrs,CM,Lance Corporal
11 December 2012 1000hrs,PCMH,Trooper
11 December 2012 1000hrs,CM,Trooper
11 December 2012 1300hrs,CM,Sapper
11 December 2012 1300hrs,CM,Private
12 December 2012 0930hrs,CM,Sapper
12 December 2012 0930hrs,CM,Rifleman
13 December 2012 0930hrs,PCMH,Corporal
13 December 2012 1000hrs,CM,Trooper
13 December 2012 1300hrs,CM,Private
14 December 2012 1000hrs,PCMH,Fusilier
14 December 2012 1000hrs,PCMH,Private
14 December 2012 1000hrs,PCMH,Trooper
14 December 2012 1000hrs,PCMH,Corporal
14 December 2012 1000hrs,PCMH,Guardsman
14 December 2012 1200hrs,PCMH,Private

Portsmouth Military Court,Tel: 023 9272 0080,
DATE/TIME,PROCEEDINGS,RANK
10 December 2012 1200hrs,CM,Lieutenant
14 December 2012 1000hrs,CM,Ex-Able Seaman (Warfare Specialist)

"British Forces Germany, Sennelager",Tel: 0049 5254982 4360,
DATE/TIME,PROCEEDINGS,RANK
10 December 2012 0900hrs,CM,Lance Corporal
10 December 2012 0930hrs,CM,2 xLance Bombadier
10 December 2012 1330hrs,LFM,Trooper
12 December 2012 0930hrs,LFM,Corporal
13 December 2012 0930hrs,SCC,Mr
13 December 2012 0930hrs,PCMH,Private
13 December 2012 0930hrs,CM,Lance Corporal
14 December 2012 0930hrs,PCMH,Private
14 December 2012 0930hrs,PCMH,Private
14 December 2012 0930hrs,PCMH,Trooper

CM = Court Martial,,
SAC = Summary Appeal Court,,
SCC = Service Civilian Court
LFM = Listing For Mention
PCMH = Plea & Case Management Hearing
PH = Preliminary Hearing
