ALB,Supplier,Net Amount £
London Thames Gateway DC,UBM INFORMATION LTD," £1,020.00 "
London Thames Gateway DC,ROCKPOOLS PEOPLE & PERFORMANCE LTD," £27,832.00 "
London Thames Gateway DC,NORTHDOOR PLC, £844.84 
London Thames Gateway DC,STEPHEN TAYLOR ARCHITECTS LTD," £3,000.00 "
London Thames Gateway DC,RICK MATHER ARCHITECTS LLP," £50,973.93 "
London Thames Gateway DC,KNOWLEDGE DOCK (UEL) LTD," £5,616.00 "
London Thames Gateway DC,KNOWLEDGE DOCK (UEL) LTD," £11,220.00 "
London Thames Gateway DC,ATKINS LTD," £12,884.51 "
London Thames Gateway DC,CAPITA SYMONDS LTD," £2,950.00 "
London Thames Gateway DC,REDSTONE COMMUNICATIONS LIMITED, £769.22 
London Thames Gateway DC,OVE ARUP & PARTNERS," £3,562.50 "
London Thames Gateway DC,LONDON BOROUGH OF NEWHAM," £1,661.35 "
London Thames Gateway DC,HAYS SPECIALIST RECRUTMENT, £560.00 
London Thames Gateway DC,HAYS SPECIALIST RECRUTMENT, £560.00 
London Thames Gateway DC,NORTHGATE HR LIMITED," £1,017.00 "
London Thames Gateway DC,MORGAN HUNT PUBLIC SECTOR LTD, £673.20 
London Thames Gateway DC,ALBANY SOFTWARE," £2,285.00 "
London Thames Gateway DC,NORTHDOOR PLC, £844.84 
London Thames Gateway DC,EDAW LTD," £28,992.75 "
London Thames Gateway DC,URBAN PRACTITIONERS," £9,950.00 "
London Thames Gateway DC,LOCUM CONSULTING," £15,350.00 "
London Thames Gateway DC,EURO RSCG BISS LANCASTER," £4,000.00 "
London Thames Gateway DC,DRIVERS JONAS," £3,009.00 "
London Thames Gateway DC,NEOPOST LTD, £600.00 
London Thames Gateway DC,WAVEX TECHNOLOGY LTD," £2,060.33 "
London Thames Gateway DC,WAVEX TECHNOLOGY LTD," £2,060.33 "
London Thames Gateway DC,CAPITA SYMONDS LTD," £3,875.00 "
London Thames Gateway DC,CAPITA SYMONDS LTD," £4,021.85 "
London Thames Gateway DC,LONDON BOROUGH OF NEWHAM," £27,169.90 "
London Thames Gateway DC,BUREAU VERITAS B&I LTD," £4,372.13 "
London Thames Gateway DC,SAFE ESTATES SERVICES LTD, £724.00 
London Thames Gateway DC,DCLG," £1,460.00 "
London Thames Gateway DC,EURO RSCG BISS LANCASTER," £4,000.00 "
London Thames Gateway DC,BERWIN LEIGHTON LLP," £25,362.47 "
London Thames Gateway DC,BERWIN LEIGHTON LLP," £4,577.76 "
London Thames Gateway DC,BERWIN LEIGHTON LLP, £535.80 
London Thames Gateway DC,ATKINS LTD, £771.38 
London Thames Gateway DC,Shared Intelligence Ltd," £1,000.00 "
London Thames Gateway DC,NEOPOST LTD, £600.00 
London Thames Gateway DC,KING STURGE LLP," £38,196.00 "
London Thames Gateway DC,LOCUM CONSULTING," £5,000.00 "
London Thames Gateway DC,ERICK VAN EGERAAT ASSOC ARCHITECTS," £7,219.00 "
London Thames Gateway DC,STRATFORD RENAISSANCE PARTNERSHIP," £15,000.00 "
London Thames Gateway DC,CARPETRIGHT," £7,502.00 "
London Thames Gateway DC,PETER BRETT ASSOCIATES LLP," £7,638.38 "
London Thames Gateway DC,SURREY NEWS SERVICE," £2,000.00 "
London Thames Gateway DC,THE NEWSPAPER LICENSING AGELNCY LIMITED, £818.00 
London Thames Gateway DC,THE NEWSPAPER LICENSING AGELNCY LIMITED," £2,454.00 "
London Thames Gateway DC,Ordnance survey, £500.00 
London Thames Gateway DC,SCHMIDT HAMMER LASSEN K/S," £106,790.00 "
London Thames Gateway DC,EURO RSCG BISS LANCASTER," £4,800.00 "
London Thames Gateway DC,REDSTONE COMMUNICATIONS LIMITED, £632.83 
London Thames Gateway DC,MR M J WATSON," £5,700.00 "
London Thames Gateway DC,DLA PIPER RUDNICK GRAY CARY UK LLP," £5,013.00 "
London Thames Gateway DC,HAYS SPECIALIST RECRUTMENT, £637.50 
London Thames Gateway DC,ROOFF LTD," £3,563.00 "
London Thames Gateway DC,BERWIN LEIGHTON LLP," £9,200.00 "
London Thames Gateway DC,DLA PIPER RUDNICK GRAY CARY UK LLP," £14,076.45 "
London Thames Gateway DC,DLA PIPER RUDNICK GRAY CARY UK LLP," £2,041.63 "
London Thames Gateway DC,BERWIN LEIGHTON LLP," £9,000.00 "
London Thames Gateway DC,PMP CONSULTANCY," £9,532.00 "
London Thames Gateway DC,CAPITA SYMONDS LTD," £1,256.35 "
London Thames Gateway DC,CAPITA SYMONDS LTD," £12,000.00 "
London Thames Gateway DC,CAPITA SYMONDS LTD," £1,500.00 "
London Thames Gateway DC,HALCROW  LTD," £38,996.04 "
London Thames Gateway DC,ERICK VAN EGERAAT ASSOC ARCHITECTS," £8,220.00 "
London Thames Gateway DC,MACE LTD," £13,900.00 "
London Thames Gateway DC,TOTAL OFFICE," £1,067.96 "
London Thames Gateway DC,TOTAL OFFICE, £556.58 
London Thames Gateway DC,TOTAL OFFICE, £679.13 
London Thames Gateway DC,TOTAL OFFICE, £508.14 
London Thames Gateway DC,ENVIRONMENTAL RESOURCES MGMT LTD," £8,472.94 "
London Thames Gateway DC,SUPPORTA PROFESSIONAL SERVICES," £4,875.00 "
London Thames Gateway DC,CAPITA SYMONDS LTD," £1,978.88 "
London Thames Gateway DC,TOTAL OFFICE, £846.75 
London Thames Gateway DC,NORTHDOOR PLC, £880.32 
London Thames Gateway DC,PAGE PERSONNEL SECRETARIAL," £2,000.00 "
London Thames Gateway DC,WAVEX TECHNOLOGY LTD," £2,060.33 "
London Thames Gateway DC,VODAFONE LTD," £1,238.45 "
London Thames Gateway DC,MAPINFO LTD, £600.00 
London Thames Gateway DC,HAYS SPECIALIST RECRUTMENT, £510.00 
London Thames Gateway DC,ROCKPOOLS PEOPLE & PERFORMANCE LTD," £3,450.00 "
London Thames Gateway DC,DLA PIPER RUDNICK GRAY CARY UK LLP," £8,337.27 "
London Thames Gateway DC,DLA PIPER RUDNICK GRAY CARY UK LLP," £4,500.00 "
London Thames Gateway DC,DLA PIPER RUDNICK GRAY CARY UK LLP," £5,182.20 "
London Thames Gateway DC,DLA PIPER RUDNICK GRAY CARY UK LLP," £1,296.00 "
London Thames Gateway DC,DLA PIPER RUDNICK GRAY CARY UK LLP," £1,464.00 "
London Thames Gateway DC,DENTON WILDE SAPTE," £4,336.06 "
London Thames Gateway DC,DENTON WILDE SAPTE," £12,614.15 "
London Thames Gateway DC,DLA PIPER RUDNICK GRAY CARY UK LLP," £23,750.00 "
London Thames Gateway DC,DLA PIPER RUDNICK GRAY CARY UK LLP," £11,834.15 "
London Thames Gateway DC,LONDON BOROUGH OF NEWHAM," £26,250.00 "
London Thames Gateway DC,CAPITA RESOURCING LIMITED," £2,500.00 "
London Thames Gateway DC,DLA PIPER RUDNICK GRAY CARY UK LLP," £2,744.00 "
London Thames Gateway DC,DLA PIPER RUDNICK GRAY CARY UK LLP," £2,596.00 "
London Thames Gateway DC,KNOWLEDGE DOCK (UEL) LTD," £7,376.96 "
London Thames Gateway DC,LONDON BOROUGH OF NEWHAM," £1,059.70 "
London Thames Gateway DC,WESTCO POWER LTD," £2,510.00 "
London Thames Gateway DC,URS CORPORATION LTD," £29,200.00 "
London Thames Gateway DC,STEPHEN TAYLOR ARCHITECTS LTD," £3,872.00 "
London Thames Gateway DC,DRIVERS JONAS," £13,026.00 "
London Thames Gateway DC,BUREAU VERITAS HS & E LTD," £3,944.67 "
London Thames Gateway DC,BERWIN LEIGHTON LLP," £2,607.80 "
London Thames Gateway DC,DTZ DEBENHAM TIE LEUNG," £43,048.70 "
London Thames Gateway DC,WASH DESIGN," £8,000.00 "
London Thames Gateway DC,ENTEC UK LIMITED," £3,730.00 "
London Thames Gateway DC,ENTEC UK LIMITED," £18,650.00 "
London Thames Gateway DC,SAFE ESTATES SERVICES LTD, £724.00 
London Thames Gateway DC,SAVILLS (L & P) LIMITED," £24,929.10 "
London Thames Gateway DC,20TWELVE LTD + PS2-DIGITAL," £1,753.00 "
London Thames Gateway DC,PMP CONSULTANCY," £9,532.00 "
London Thames Gateway DC,REDHOUSE LANE COMMUNICATIONS LTD," £12,095.00 "
London Thames Gateway DC,REDHOUSE LANE COMMUNICATIONS LTD," £1,375.00 "
