ALB,Supplier,Net Amount £
Department for Communities and Local Government ,LAND SECURITIES PROPERTIES LTD,"25,226,758.90"
Department for Communities and Local Government ,AIRWAVE SOLUTIONS LTD,"16,758,803.82"
Department for Communities and Local Government ,EADS DEFENCE & SECURITY SYSTEMS LTD,"16,164,076.61"
Department for Communities and Local Government ,STERIA SERVICES LIMITED,"11,184,104.62"
Department for Communities and Local Government ,MOTT MACDONALD,"10,223,783.32"
Department for Communities and Local Government ,PA CONSULTING SERVICES LIMITED,"9,820,144.93"
Department for Communities and Local Government ,MITIE MANAGED SERVICES LTD,"6,803,052.38"
Department for Communities and Local Government ,INFORMED SOLUTIONS LTD,"5,599,913.04"
Department for Communities and Local Government ,CFOA (NATIONAL RESILIANCE) LTD,"5,271,141.00"
Department for Communities and Local Government ,SOUTHWAY HOUSING TRUST,"5,060,592.00"
Department for Communities and Local Government ,I B M UK LTD,"4,157,712.48"
Department for Communities and Local Government ,VT CRITICAL SERVICES LTD,"3,770,629.29"
Department for Communities and Local Government ,FABERMAUNSELL LTD,"3,479,388.83"
Department for Communities and Local Government ,BUILDING RESEARCH ESTABLISHMENT,"3,255,003.44"
Department for Communities and Local Government ,METASKIL GROUP LTD,"3,186,703.04"
Department for Communities and Local Government ,SERCO LTD,"2,969,676.33"
Department for Communities and Local Government ,PRICEWATERHOUSECOOPERS,"2,864,257.68"
Department for Communities and Local Government ,FIRE SERVICE COLLEGE,"2,777,461.95"
Department for Communities and Local Government ,FRAIKIN LTD,"2,615,955.82"
Department for Communities and Local Government ,REED EMPLOYMENT PLC,"2,579,987.02"
Department for Communities and Local Government ,MILLER MITCHELL BURLEY LANE,"2,471,233.03"
Department for Communities and Local Government ,NATIONAL CENTRE FOR SOCIAL RESEARCH,"2,293,367.91"
Department for Communities and Local Government ,TURNER & TOWNSEND,"2,036,333.00"
Department for Communities and Local Government ,ACIS GROUP LTD,"1,859,000.00"
Department for Communities and Local Government ,LEAFRANGE LIMITED,"1,848,012.80"
Department for Communities and Local Government ,FLAGSHIP TRAINING LIMITED,"1,833,031.73"
Department for Communities and Local Government ,VERIZON UK LTD,"1,754,803.21"
Department for Communities and Local Government ,INFOTERRA LTD,"1,691,783.17"
Department for Communities and Local Government ,COLLECTIVE ENTERPRISES LTD,"1,519,484.65"
Department for Communities and Local Government ,CB RICHARD ELLIS LTD,"1,516,566.59"
Department for Communities and Local Government ,MARKET & OPINION RESEARCH INT LTD,"1,411,123.03"
Department for Communities and Local Government ,COMPUTACENTER,"1,309,698.22"
Department for Communities and Local Government ,ACTICA CONSULTING LTD,"1,174,849.32"
Department for Communities and Local Government ,FIREBUY LTD,"1,138,191.49"
Department for Communities and Local Government ,BLUE RUBICON,"1,117,256.77"
