"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Department for Communities and Local Government","Department for Communities and Local Government","Finance & Corporate Services","CLG131","Executive Officer (EO)","22279","31225","Private Secretary","1.00","Policy"
"Department for Communities and Local Government","Department for Communities and Local Government","Finance & Corporate Services","CLG131","Fast Stream (HEOD)","27000","35000","Private Secretary","1.00","Policy"
"Department for Communities and Local Government","Department for Communities and Local Government","Finance & Corporate Services","CLG131","Grade 6 (G6)","50203","70375","Principal Private Secretary","1.00","Policy"
"Department for Communities and Local Government","Department for Communities and Local Government","Finance & Corporate Services","CLG131","Higher Executive Officer (HEO)","26058","39513","Private Secretary","1.00","Policy"
"Department for Communities and Local Government","Department for Communities and Local Government","Finance & Corporate Services","CLG134","Executive Officer (EO)","22279","31225","Policy support officer","1.00","Policy"
"Department for Communities and Local Government","Department for Communities and Local Government","Finance & Corporate Services","CLG134","Higher Executive Officer (HEO)","26058","39513","Policy adviser","1.00","Policy"
"Department for Communities and Local Government","Department for Communities and Local Government","Finance & Corporate Services","CLG144","Grade 6 (G6)","50203","70375","Senior Finance manager","1.00","Finance"
"Department for Communities and Local Government","Department for Communities and Local Government","Finance & Corporate Services","CLG144","Senior Executive Officer (SEO)","32311","45985","Finance officer","1.00","Finance"
"Department for Communities and Local Government","Department for Communities and Local Government","Finance & Corporate Services","CLG146","Administrative Officer (AO)","19335","25847","HR Support Officer","4.86","Human Resources"
"Department for Communities and Local Government","Department for Communities and Local Government","Finance & Corporate Services","CLG146","Administrative Officer (AO)","19335","25847","Not in Post","1.00","Human Resources"
"Department for Communities and Local Government","Department for Communities and Local Government","Finance & Corporate Services","CLG146","Executive Officer (EO)","22279","31225","HR Support Officer","3.16","Human Resources"
"Department for Communities and Local Government","Department for Communities and Local Government","Finance & Corporate Services","CLG146","Executive Officer (EO)","22279","31225","Not in Post","0.69","Finance"
"Department for Communities and Local Government","Department for Communities and Local Government","Finance & Corporate Services","CLG146","Executive Officer (EO)","22279","31225","Not in Post","1.25","Policy"
"Department for Communities and Local Government","Department for Communities and Local Government","Finance & Corporate Services","CLG146","Fast Stream (HEOD)","27000","35000","HR Officer","1.00","Human Resources"
