Department Family,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Voluntary & Community Sector,SME Class,Sole Trader,Transaction number,Narrative,Amount in Sterling,Grant?
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,ARUN DC,,,,5000172159,Grant Payable by Exchequer,"24,614.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,ASHFORD BC,,,,5000172161,Grant Payable by Exchequer,"15,946.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,AYLESBURY VALE DC(HSG),,,,5000172163,Grant Payable by Exchequer,"24,420.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,BABERGH DC,,,,5000172165,Grant Payable by Exchequer,"11,598.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,BARKING & DAGENHAM LB (HSG),,,,5000172167,Grant Payable by Exchequer,"133,970.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,BASSETLAW DC (HSG),,,,5000172170,Grant Payable by Exchequer,"13,837.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,BATH & NE SOMERSET DC (HSG),,,,5000172172,Grant Payable by Exchequer,"193,567.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,BEXLEY LB (HSG),,,,5000172174,Grant Payable by Exchequer,"237,458.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,BLABY DC (HSG),,,,5000172176,Grant Payable by Exchequer,"10,844.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,BOSTON BC,,,,5000172178,Grant Payable by Exchequer,"8,230.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,BRAINTREE DC,,,,5000172180,Grant Payable by Exchequer,"21,812.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,BRECKLAND DC,,,,5000172182,Grant Payable by Exchequer,"7,345.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,BRENT LB (HSG),,,,5000172184,Grant Payable by Exchequer,"257,460.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,BRISTOL CITY CNCL (HSG),,,,5000172186,Grant Payable by Exchequer,"449,841.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,BROADLAND DC,,Large,,5000172188,Grant Payable by Exchequer,"12,895.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,BROMSGROVE DC,,,,5000172190,Grant Payable by Exchequer,"17,620.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,CANTERBURY CITY CNCL,,,,5000172192,Grant Payable by Exchequer,"23,304.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,CARLISLE CITY CNCL,,,,5000172194,Grant Payable by Exchequer,"16,773.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,CHERWELL DC,,,,5000172196,Grant Payable by Exchequer,"15,542.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,CHICHESTER DC,,,,5000172198,Grant Payable by Exchequer,"17,653.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,CHILTERN DC (HSG),,,,5000172200,Grant Payable by Exchequer,"17,689.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,CHRISTCHURCH BC (HSG),,,,5000172202,Grant Payable by Exchequer,"9,124.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,CITY OF LONDON (HSG),,,,5000172204,Grant Payable by Exchequer,"12,191.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,CITY OF SUNDERLAND (HSG),,,,5000172206,Grant Payable by Exchequer,"237,686.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,COPELAND BC,,,,5000172208,Grant Payable by Exchequer,"10,029.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,CORBY BC,,,,5000172210,Grant Payable by Exchequer,"8,189.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,COTSWOLD DC,,,,5000172212,Grant Payable by Exchequer,"13,668.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,CRAVEN DC (HSG),,,,5000172214,Grant Payable by Exchequer,"8,502.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,CRAWLEY BC,,,,5000172216,Grant Payable by Exchequer,"17,140.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,DARTFORD BC,,,,5000172218,Grant Payable by Exchequer,"14,097.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,DAVENTRY DC,,,,5000172220,Grant Payable by Exchequer,"9,954.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,DERBYSHIRE DALES DC,,,,5000172222,Grant Payable by Exchequer,"14,166.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,DOVER DC,,,,5000172224,Grant Payable by Exchequer,"15,989.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,EAST CAMBRIDGESHIRE DC,,,,5000172226,Grant Payable by Exchequer,"10,017.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,EAST DEVON DC,,,,5000172228,Grant Payable by Exchequer,"17,377.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,EAST HAMPSHIRE DC,,,,5000172230,Grant Payable by Exchequer,"15,869.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,EAST HERTFORDSHIRE DC,,,,5000172232,Grant Payable by Exchequer,"23,123.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,EAST LINDSEY DC,,,,5000172234,Grant Payable by Exchequer,"13,450.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,EAST NORTHAMPTONSHIRE COUNCIL,,,,5000172236,Grant Payable by Exchequer,"9,110.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,EAST RIDING OF YORKS (HSG),,,,5000172238,Grant Payable by Exchequer,"360,650.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,EAST STAFFORDSHIRE BC,,,,5000172240,Grant Payable by Exchequer,"17,445.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,EDEN DC (HSG),,,,5000172241,Grant Payable by Exchequer,"8,984.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,ELMBRIDGE BC (HSG),,,,5000172242,Grant Payable by Exchequer,"31,281.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,FAREHAM BC,,,,5000172243,Grant Payable by Exchequer,"15,002.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,FENLAND DC,,,,5000172244,Grant Payable by Exchequer,"18,583.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,FOREST HEATH DISTRICT COUNCIL,,,,5000172245,Grant Payable by Exchequer,"6,122.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,FOREST OF DEAN DC,,,,5000172246,Grant Payable by Exchequer,"11,881.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,GUILDFORD BC,,,,5000172247,Grant Payable by Exchequer,"20,589.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,HALTON BC (HSG),,,,5000172248,Grant Payable by Exchequer,"108,670.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,HAMBLETON DC (HSG),,,,5000172249,Grant Payable by Exchequer,"8,080.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,HARBOROUGH DC (HSG),,,,5000172250,Grant Payable by Exchequer,"13,960.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,HARROGATE BC,,,,5000172251,Grant Payable by Exchequer,"34,153.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,HEREFORDSHIRE COUNCIL,,,,5000172252,Grant Payable by Exchequer,"215,307.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,HIGH PEAK BC,,,,5000172253,Grant Payable by Exchequer,"13,953.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,HINCKLEY & BOSWORTH BC,,,,5000172254,Grant Payable by Exchequer,"10,491.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,HORSHAM DC,,,,5000172255,Grant Payable by Exchequer,"20,318.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,HUNTINGDONSHIRE DC,,,,5000172256,Grant Payable by Exchequer,"18,458.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,KINGS LYNN & WEST NORFOLK BC,,,,5000172257,Grant Payable by Exchequer,"15,744.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,KINGSTON UPON THAMES  (HSG),,,,5000172258,Grant Payable by Exchequer,"212,559.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,KIRKLEES COUNCIL (HSG),,,,5000172259,Grant Payable by Exchequer,"388,721.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,LANCASTER CITY CNCL,,,,5000172260,Grant Payable by Exchequer,"20,883.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,LEICESTER CITY CNCL (HSG),,,,5000172261,Grant Payable by Exchequer,"234,226.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,LEWES DC,,,,5000172262,Grant Payable by Exchequer,"18,528.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,LEWISHAM LB (HSG),,,,5000172263,Grant Payable by Exchequer,"230,533.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,MAIDSTONE BC,,,,5000172264,Grant Payable by Exchequer,"33,527.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,MALDON DC,,,,5000172265,Grant Payable by Exchequer,"10,564.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,MANCHESTER CITY CNCL (HSG),,,,5000172266,Grant Payable by Exchequer,"350,219.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,MEDWAY TOWNS D C (HSG),,,,5000172267,Grant Payable by Exchequer,"246,307.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,MELTON BC,,,,5000172268,Grant Payable by Exchequer,"8,417.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,MENDIP DISTRICT COUNCIL,,,,5000172269,Grant Payable by Exchequer,"15,020.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,MID DEVON DC,,,,5000172270,Grant Payable by Exchequer,"12,878.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,MID SUFFOLK DC,,,,5000172271,Grant Payable by Exchequer,"13,527.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,MID SUSSEX DC,,,,5000172272,Grant Payable by Exchequer,"21,456.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,MOLE VALLEY DC,,,,5000172273,Grant Payable by Exchequer,"15,408.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,NEW FOREST DC,,,,5000172274,Grant Payable by Exchequer,"28,445.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,NEWARK & SHERWOOD DC (HSG),,,,5000172275,Grant Payable by Exchequer,"16,194.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,NORTH DEVON DC,,,,5000172276,Grant Payable by Exchequer,"14,322.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,NORTH DORSET DC,,,,5000172277,Grant Payable by Exchequer,"7,126.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,NORTH EAST LINCOLN DC (HSG),,,,5000172278,Grant Payable by Exchequer,"148,531.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,NORTH HERTS DC (HOUSING) (HSG),,,,5000172279,Grant Payable by Exchequer,"24,712.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,NORTH LINCOLNSHIRE DC (HSG),,,,5000172280,Grant Payable by Exchequer,"165,721.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,NORTH NORFOLK DC,,,,5000172281,Grant Payable by Exchequer,"14,313.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,NORTH WARWICKSHIRE BC,,Large,,5000172282,Grant Payable by Exchequer,"11,175.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,NORTH WEST LEICESTER DC,,,,5000172283,Grant Payable by Exchequer,"14,160.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,OADBY & WIGSTON BC (HSG),,,,5000172284,Grant Payable by Exchequer,"9,088.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,POOLE BC (HSG),,,,5000172285,Grant Payable by Exchequer,"177,887.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,PURBECK DC,,,,5000172286,Grant Payable by Exchequer,"8,089.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,RIBBLE VALLEY BC,,,,5000172287,Grant Payable by Exchequer,"7,866.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,RICHMONDSHIRE DC,,,,5000172288,Grant Payable by Exchequer,"9,143.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,ROTHER DC (HSG),,,,5000172289,Grant Payable by Exchequer,"17,894.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,RUSHCLIFFE BOROUGH COUNCIL,,,,5000172290,Grant Payable by Exchequer,"13,558.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,RYEDALE DC,,,,5000172291,Grant Payable by Exchequer,"9,418.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,SCARBOROUGH BC,,Large,,5000172292,Grant Payable by Exchequer,"21,946.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,SEDGEMOOR DC,,,,5000172293,Grant Payable by Exchequer,"13,109.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,SELBY DC,,,,5000172294,Grant Payable by Exchequer,"11,907.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,SEVENOAKS DC,,,,5000172295,Grant Payable by Exchequer,"22,998.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,SHEPWAY DISTRICT COUNCIL,,,,5000172296,Grant Payable by Exchequer,"24,394.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,SOUTH BUCKS DC (HSG),,,,5000172297,Grant Payable by Exchequer,"11,733.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,SOUTH CAMBRIDGESHIRE DC,,,,5000172298,Grant Payable by Exchequer,"17,336.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,SOUTH DERBYSHIRE D C,,,,5000172299,Grant Payable by Exchequer,"11,966.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,SOUTH GLOUCESTERSHIRE DC (HSG),,,,5000172300,Grant Payable by Exchequer,"282,564.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,SOUTH HAMS DC,,,,5000172301,Grant Payable by Exchequer,"12,813.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,SOUTH HOLLAND,,,,5000172302,Grant Payable by Exchequer,"11,648.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,SOUTH KESTEVEN DC (HSG),,,,5000172303,Grant Payable by Exchequer,"15,730.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,SOUTH LAKELAND DC,,,,5000172304,Grant Payable by Exchequer,"20,381.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,SOUTH NORFOLK DC,,,,5000172305,Grant Payable by Exchequer,"15,189.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,SOUTH NORTHAMPTONSHIRE DC,,,,5000172306,Grant Payable by Exchequer,"14,288.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,SOUTH OXFORDSHIRE DC,,,,5000172307,Grant Payable by Exchequer,"17,124.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,SOUTH SOMERSET DC,,,,5000172308,Grant Payable by Exchequer,"22,788.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,SOUTH STAFFORDSHIRE DC,,,,5000172309,Grant Payable by Exchequer,"9,461.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,SPELTHORNE DC,,,,5000172310,Grant Payable by Exchequer,"16,934.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,ST EDMUNDSBURY (HSG),,,,5000172311,Grant Payable by Exchequer,"16,729.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,STAFFORDSHIRE MOORLANDS DC,,,,5000172312,Grant Payable by Exchequer,"13,012.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,STOCKTON-ON-TEES BC (HSG),,,,5000172313,Grant Payable by Exchequer,"180,052.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,STROUD DC (HSG),,,,5000172314,Grant Payable by Exchequer,"20,198.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,SUFFOLK CC (SOCIAL CARE SERV) (H,,,,5000172315,Grant Payable by Exchequer,"722,074.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,SUFFOLK COASTAL DC (HSG),,,,5000172316,Grant Payable by Exchequer,"18,590.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,TANDRIDGE DC,,,,5000172317,Grant Payable by Exchequer,"18,308.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,TAUNTON DEANE BC,,,,5000172318,Grant Payable by Exchequer,"13,768.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,TEIGNBRIDGE DC,,,,5000172319,Grant Payable by Exchequer,"18,522.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,TENDRING DC,,,,5000172320,Grant Payable by Exchequer,"19,220.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,TEST VALLEY BC,,,,5000172321,Grant Payable by Exchequer,"14,763.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,TEWKESBURY BC,,,,5000172322,Grant Payable by Exchequer,"7,922.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,THANET DC,,,,5000172323,Grant Payable by Exchequer,"24,674.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,TONBRIDGE & MALLING BC,,,,5000172324,Grant Payable by Exchequer,"21,063.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,TORRIDGE DC,,,,5000172325,Grant Payable by Exchequer,"8,551.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,TOWER HAMLETS LB (HSG),,,,5000172326,Grant Payable by Exchequer,"196,844.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,TUNBRIDGE WELLS BC,,,,5000172327,Grant Payable by Exchequer,"16,410.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,UTTLESFORD DC,,,,5000172328,Grant Payable by Exchequer,"12,303.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,VALE OF WHITE HORSE DC,,,,5000172329,Grant Payable by Exchequer,"14,128.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,WAVENEY DISTRICT COUNCIL,,Large,,5000172330,Grant Payable by Exchequer,"14,804.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,WAVERLEY BC V177,,,,5000172331,Grant Payable by Exchequer,"22,122.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,WEALDEN DC,,,,5000172332,Grant Payable by Exchequer,"27,319.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,WELWYN HATFIELD COUNCIL,,,,5000172333,Grant Payable by Exchequer,"20,612.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,WEST DEVON BC,,,,5000172334,Grant Payable by Exchequer,"10,016.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,WEST DORSET DC,,,,5000172335,Grant Payable by Exchequer,"13,488.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,WEST LINDSEY DC,,,,5000172336,Grant Payable by Exchequer,"14,404.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,WEST OXFORDSHIRE DC,,,,5000172337,Grant Payable by Exchequer,"8,616.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,WEST SOMERSET DC,,,,5000172338,Grant Payable by Exchequer,"4,901.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,WINCHESTER CITY CNCL,,,,5000172339,Grant Payable by Exchequer,"17,318.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,WINDSOR & MAIDENHEAD (HSG),,,,5000172340,Grant Payable by Exchequer,"162,787.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,WYCHAVON DISTRICT COUNCIL,,,,5000172341,Grant Payable by Exchequer,"13,088.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,WYCOMBE DC,,Medium,,5000172342,Grant Payable by Exchequer,"22,977.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,WYRE BC,,,,5000172343,Grant Payable by Exchequer,"17,668.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,ADUR DC,,,,5000172344,Grant Payable by Exchequer,"15,430.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,ALLERDALE BC,,,,5000172345,Grant Payable by Exchequer,"11,416.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,AMBER VALLEY BC,,,,5000172346,Grant Payable by Exchequer,"15,620.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,ASHFIELD DC,,,,5000172347,Grant Payable by Exchequer,"14,778.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,BARNET LBC,,,,5000172348,Grant Payable by Exchequer,"388,665.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,BARNSLEY MBC,,,,5000172349,Grant Payable by Exchequer,"208,426.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,BARROW BC,,,,5000172350,Grant Payable by Exchequer,"10,880.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,BASILDON DISTRICT COUNCIL,,,,5000172351,Grant Payable by Exchequer,"40,550.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,BASINGSTOKE & DEANE BC,,,,5000172352,Grant Payable by Exchequer,"16,881.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,BIRMINGHAM CITY CNCL,,,,5000172353,Grant Payable by Exchequer,"830,498.00",Yes
