Minister,Date of Hospitality,Name of Organisation,Type of hospitality received
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",08-Feb-11,Crimestoppers,Dinner
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",09-Feb-11,Portland Group,Dinner
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",07-Mar-11,Ricoh Arena,Lunch
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",08-Mar-11,Lord Sterling,Lunch
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",21-Mar-11,CBI,Dinner
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",24-Mar-11,Quiller,Breakfast
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",30-Mar-11,DTZ,Dinner
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",15-Mar-11,Sunday Times,Lunch
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",29-Mar-11,Daily Telegraph,Dinner
"Rt Hon Grant Shapps MP, Minister of State (Housing and Local Government)",29-Mar-11,Home Builders Federation,Dinner
"Andrew Stunell MP, Parliamentary Under-Secretary of State",02-Mar-11,Community Security Trust,Dinner
"Bob Neill MP, Parliamentary Under-Secretary of State",Nil Return,Nil Return,
"Baroness Hanham CBE, Parliamentary Under-Secretary of State",Nil Return,Nil Return,


"* Does not normally include attendance at functions hosted by HM Government or the Royal Household; attendance at ‘diplomatic’ functions in the UK or abroad, hosted by overseas governments; minor refreshments at meetings, receptions conferences and seminars; working meals; light refreshments; attendance at lunches, dinners and receptions by professional bodies and their equivalents in local government and in the non-governmental public sector; meals provided at a conference; and offers of hospitality which were declined."
