Minister,Date,Name of External Organisation*,Purpose of meeting
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",May-10, Local Government Association,Regular Catch-up
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",May-10, Local Government Association,Regular catch-up
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",May-10,Mayor and Deputy Mayor of London,Introductory Lunch
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",May-10, Local Government Association,Budgeting for Place
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Jun-10,Business Partners Network Event,Introductions with CLG’s key business partners
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Jun-10,Trades Union Congress,Introductory Meeting
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Jun-10,National Council of Voluntary Organisations,Introductory Meeting
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Jun-10, Local Government Association,Regular catch-up
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Jun-10,Newspaper society,Introductory Meeting
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Jun-10,Association of Chief Executives of Voluntary Organisations,Introductory Meeting
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Jun-10,Martha Lane Fox,Digital Inclusion
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Jun-10,"Mumtaz Foods, Vibraglaze, Web Anywhere, Web Translations, Energy Saving International, Birkby’s Plastics, David Brown Engineering, Morrisons, Osbourne Metals, Bradford Management School, Bradford Chamber of Commerce, Wellhouse Leisure, Sound Leisure, A.W. Hainsworth. Leeds Building Society and Shulmans.",To discuss the Regional Growth Fund Announcement
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Jun-10,Interfaith Relations Adviser For Archbishops' Council of the Church of England ,Introductory Meeting
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Jul-10,County Councils Network Management Board,Introductory meeting
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Jul-10,Representatives from London Councils to discuss issues pertaining to London,London Settlement
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Jul-10,District Councils Network Management Board,Introductory meeting 
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Jul-10,Representatives from Babergh and Mid Suffolk Councils,Introductory meeting 
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Jul-10,Barratts ,Introductory meeting
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Jul-10,Sir Stuart Lipton and Major Developers Group,Introductory meeting
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Jul-10,"Archbishop of Canterbury, Archbishop of Westminster, and Chief Rabbi",Multi Religious Leadership
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Jul-10,Federation of Small Businesses ,Introductory Meeting
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Jul-10,Local Government Ombudsman,Introductory Meeting
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Jul-10,Dubai Ports World ,Introductory Meeting to discuss port in Thames Gateway. 
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Jul-10,Community Security Trust,Introductory meeting
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Jul-10,Wildlife Trust ,Introductory meeting
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Jul-10,Quilliam Foundation ,Introductory meeting
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",Jul-10, Local Government Association,Regular catch-up
