Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Department for Communities & Local Government ,Ministerial Department,Department for Communities & Local Government,147,140.74,279,268.8,816,797.16,593,573.37,92,89.06,0,0,1927,1869.13,9,9,7,7,22,22,9,9,47,47,1974,1916.13,6254372.73,19398.5,-4480,41265.83,1267502.81,569616.62,8147676.49,235644,174742,410386,8558062.49,
Fire Service College,Executive Agency,Department for Communities & Local Government,63,61.8,35,33,79,77,17,17,1,1,0,0,195,190,0,0,4,3.8,0,0,0,0,4,3.8,199,194,474266,0,0,5174,93141,40043,612623,31968,0,31968,644591,
Planning Inspectorate,Executive Agency,Department for Communities & Local Government,221,198.21,132,120.63,73,70.45,254,213.43,4,3.5,0,0,684,606,0,0,0,0,0,0,0,0,0,0,684,606,1784703,34561,0,1899,365940,154440,2341543,0,0,0,2341543,
Queen Elizabeth II Conference Centre,Executive Agency,Department for Communities & Local Government,5,5,7,7,27,27,3,3,1,1,0,0,43,43,0,0,0,0,0,0,0,0,0,0,43,43,123018,993,0,16053,23975,12153,176192,4279,0,4279,180471,
Homes & Communities Agency,Executive Non-Departmental Public Body,Department for Communities & Local Government,131,125.69,190,185.67,262,257.18,34,33.8,50,50,91,89.56,758,742,2,2,1,1,3,3,0,0,6,6,764,748,2697426,508447,0,9606,658868,269019,4143366,29125,0,29125,4172491,
Independent Housing Ombudsman Ltd,Executive Non-Departmental Public Body,Department for Communities & Local Government,0,0,0,0,0,0,0,0,0,0,38,38,38,38,1,1,0,0,0,0,0,0,1,1,39,39,149693,64,0,0,26215,14836,190809,2423,0,2423,193232,
Infrastructure Planining Commission,Executive Non-Departmental Public Body,Department for Communities & Local Government,4,4,7,7,16,15.8,16,15,12,10.3,0,0,55,52,1,1,0,0,0,0,0,0,1,1,56,53,196733,0,0,231,17874,26614,241452,2622,0,2622,244074,
Leasehold Advisory Service,Executive Non-Departmental Public Body,Department for Communities & Local Government,0,0,4,3.4,17,16,0,0,1,1,0,0,22,20,0,0,0,0,0,0,0,0,0,0,22,20,61500,0,0,0,5805,6763,74068,0,0,0,74068,
London Thames Gateway Development Corporation,Executive Non-Departmental Public Body,Department for Communities & Local Government,0,0,2,2,11,10.3,8,7.8,14,13.6,0,0,35,34,0,0,0,0,5,0.5,0,0,5,0.5,40,34,159826,0,7403,0,20886,17171,205285,2750,0,2750,208035,
Standards Board for England,Executive Non-Departmental Public Body,Department for Communities & Local Government,3,2.8,5,4.4,17,16.43,5,5,3,3,0,0,33,32,0,0,0,0,1,1,0,0,1,1,34,33,109496,0,0,0,16944,10080,136520,9677,0,9677,146197,
Tenants Services Authority,Executive Non-Departmental Public Body,Department for Communities & Local Government,4,3.97,36,35.66,100,96.81,24,24,8,8,8,1.22,180,170,0,0,0,0,0,0,0,0,0,0,180,170,706006,455,0,798,66662,63023,836944,0,0,0,836944,
Thurrock Development Corporation,Executive Non-Departmental Public Body,Department for Communities & Local Government,0,0,0,0,0,0,0,0,0,0,33,32.93,33,33,0,0,0,0,0,0,0,0,0,0,33,33,144493,2744,0,0,16260,14965,178463,0,0,0,178463,
Valuation Tribunal Service,Executive Non-Departmental Public Body,Department for Communities & Local Government,22,21.17,34,33.25,12,11.83,2,2,1,1,0,0,71,69,2,2,0,0,0,0,0,0,2,2,73,71,209637,4890,0,0,42191,18277,274995,11374,0,11374,286369,
West Northamptonshire Development Corporation,Executive Non-Departmental Public Body,Department for Communities & Local Government,8,7.41,12,11.94,10,9.7,2,2,4,4,0,0,36,35,1,1,0,0,0,0,1,0.8,2,1.8,38,37,139932,4600,0,0,24443,13640,182615,3871,6334,10205,192820,
