Department family,Entity,Entered On,Expense Type,Expense Area,Supplier Name,Voucher,SumOfAmount
Communities And Local Government,Queen Elizabeth II Conference Centre,02/06/2010,IT Equipment Maintenance,ITC Department,RS COMPONENTS LTD,11444,981.5
Communities And Local Government,Queen Elizabeth II Conference Centre,02/06/2010,Cost of Sales - Freelance Technicians,Interface,TOM MORRIS,11448,1200
Communities And Local Government,Queen Elizabeth II Conference Centre,02/06/2010,Payroll Costs,Administration,LOGICA IT SERVICES UK LTD,11452,574.29
Communities And Local Government,Queen Elizabeth II Conference Centre,02/06/2010,Cost of Sales - Sets,Interface,THE KEW WORKSHOP COMPANY LTD,11453,-1000
Communities And Local Government,Queen Elizabeth II Conference Centre,04/06/2010,Marketing,Commercial,VOHM,11455,500
Communities And Local Government,Queen Elizabeth II Conference Centre,04/06/2010,Cost of Sales - Time & Labour,Event Management,MOORE PEOPLE KENNER LTD,11456,684
Communities And Local Government,Queen Elizabeth II Conference Centre,04/06/2010,Consultants,Commercial,Lychee3 Solutions Ltd,11457,3000
Communities And Local Government,Queen Elizabeth II Conference Centre,04/06/2010,Marketing,Commercial,CONFERENCE & TRAVEL PUBLICATIO,11458,1950
Communities And Local Government,Queen Elizabeth II Conference Centre,04/06/2010,Electricity,Operations,EDF ENERGY,11460,27742.82
Communities And Local Government,Queen Elizabeth II Conference Centre,04/06/2010,Cost of Sales - Sets,Interface,BLACKOUT LTD,11462,784
Communities And Local Government,Queen Elizabeth II Conference Centre,04/06/2010,Consultants,Commercial,Jude Cosway Consultancy Services,11463,1605
Communities And Local Government,Queen Elizabeth II Conference Centre,07/06/2010,Security,Operations,"ISS Facility Services Ltd
T/A ISS Pegasus Security",11469,2746.26
Communities And Local Government,Queen Elizabeth II Conference Centre,07/06/2010,Cost of Sales - Time & Labour,Event Management,"ISS Facility Services Ltd
T/A ISS Pegasus Security",11469,558.45
Communities And Local Government,Queen Elizabeth II Conference Centre,07/06/2010,Cost of Sales - Contract Labour,Operations,"ISS Facility Services Ltd
T/A ISS Pegasus Security",11469,7778.88
Communities And Local Government,Queen Elizabeth II Conference Centre,07/06/2010,Cost of Sales - Commission,Commercial,GovNet Communications,11471,1169
Communities And Local Government,Queen Elizabeth II Conference Centre,08/06/2010,Entertaining,Administration,Leith's at the Centre,11474,95.88
Communities And Local Government,Queen Elizabeth II Conference Centre,08/06/2010,Entertaining,Administration,Leith's at the Centre,11474,30.98
Communities And Local Government,Queen Elizabeth II Conference Centre,08/06/2010,Entertaining,ITC Department,Leith's at the Centre,11474,7.37
Communities And Local Government,Queen Elizabeth II Conference Centre,08/06/2010,Entertaining,Operations,Leith's at the Centre,11474,5.9
Communities And Local Government,Queen Elizabeth II Conference Centre,08/06/2010,Entertaining,Commercial,Leith's at the Centre,11474,73.75
Communities And Local Government,Queen Elizabeth II Conference Centre,08/06/2010,Entertaining,Event Management,Leith's at the Centre,11474,30.2
Communities And Local Government,Queen Elizabeth II Conference Centre,08/06/2010,Entertaining,Commercial,Leith's at the Centre,11474,272.75
Communities And Local Government,Queen Elizabeth II Conference Centre,08/06/2010,Entertaining,Event Management,Leith's at the Centre,11474,241.15
Communities And Local Government,Queen Elizabeth II Conference Centre,08/06/2010,Entertaining,Interface,Leith's at the Centre,11474,7.85
Communities And Local Government,Queen Elizabeth II Conference Centre,08/06/2010,Entertaining,Interface,Leith's at the Centre,11474,188.87
Communities And Local Government,Queen Elizabeth II Conference Centre,08/06/2010,Maintenance,Operations,GROSVENOR CONTRACTS (LONDON) L,11475,1913.95
Communities And Local Government,Queen Elizabeth II Conference Centre,08/06/2010,IT Equipment Maintenance,ITC Department,FELTECH ELECTRONICS LTD,11479,500
Communities And Local Government,Queen Elizabeth II Conference Centre,08/06/2010,Cost of Sales - Rechargeable Expenses,Interface,Leith's at the Centre,11474,1075.1
Communities And Local Government,Queen Elizabeth II Conference Centre,08/06/2010,Cost of Sales - Time & Labour,Event Management,GALLOWGLASS LIMITED,11486,450
Communities And Local Government,Queen Elizabeth II Conference Centre,08/06/2010,Travel,Event Management,GREATER LONDON HIRE LTD,11488,872.53
Communities And Local Government,Queen Elizabeth II Conference Centre,08/06/2010,Travel,Interface,GREATER LONDON HIRE LTD,11488,206.51
Communities And Local Government,Queen Elizabeth II Conference Centre,08/06/2010,Travel,Operations,GREATER LONDON HIRE LTD,11488,230.91
