Department Family,Entity,Date of Payment,Expense Type,Expense area,Supplier,Voluntary & Community Sector,SME Class,Sole Trader,Transaction number,Purchasing Item Text,Postal Code,Amount in Sterling,Grant?
Communities & Local Government,PINS,01/06/2012,Agency Staff,Energy,GALLOIS GEOLOGICAL CONSULTANCY,,Micro,,5106179677,Geological advice for planning app.,EX4 5ER,"3,399.20",
Communities & Local Government,PINS,01/06/2012,NSI Fees & Expenses,NSI Fees Planning,CATALYS CONSULTING,,Micro,,2100000945,#,CM7 1BH,"3,427.20",
Communities & Local Government,PINS,01/06/2012,NSI Fees & Expenses,NSI Expenses Planning,CATALYS CONSULTING,,Micro,,2100000945,#,CM7 1BH,39.12,
Communities & Local Government,PINS,01/06/2012,NSI Fees & Expenses,NSI Fees Planning,IMCH PLANNING & DEVELOPMENT CONS,,Micro,,2100000943,#,DE72 3QP,"1,142.40",
Communities & Local Government,PINS,01/06/2012,NSI Fees & Expenses,NSI Expenses Planning,IMCH PLANNING & DEVELOPMENT CONS,,Micro,,2100000943,#,DE72 3QP,161.64,
Communities & Local Government,PINS,01/06/2012,NSI Fees & Expenses,NSI Fees Arborculturalists,MR JIM QUAIFE,,Micro,,2100000946,#,TN16 1SL,"1,256.64",
Communities & Local Government,PINS,01/06/2012,NSI Fees & Expenses,NSI Expenses Arborculturalists,MR JIM QUAIFE,,Micro,,2100000946,#,TN16 1SL,167.40,
Communities & Local Government,PINS,01/06/2012,NSI Fees & Expenses,NSI Fees Arborculturalists,MR P G BIDDLE,,Micro,,2100000947,#,OX12 9JA,770.00,
Communities & Local Government,PINS,01/06/2012,NSI Fees & Expenses,NSI Expenses Arborculturalists,MR P G BIDDLE,,Micro,,2100000947,#,OX12 9JA,33.75,
Communities & Local Government,PINS,01/06/2012,NSI Fees & Expenses,NSI Fees Planning,WRIGHT PLANNING,,Micro,,2100000944,#,RH1 6DB,"1,904.00",
Communities & Local Government,PINS,01/06/2012,NSI Fees & Expenses,NSI Expenses Planning,WRIGHT PLANNING,,Micro,,2100000944,#,RH1 6DB,105.75,
Communities & Local Government,PINS,06/06/2012,NSI Fees & Expenses,NSI Fees Planning,MR C J CHECKLEY,,Micro,,2100000976,#,NE3 4JR,"1,764.00",
Communities & Local Government,PINS,06/06/2012,NSI Fees & Expenses,NSI Expenses Planning,MR C J CHECKLEY,,mm,,2100000976,#,NE3 4JR,317.85,
