Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Department for Communities & Local Government ,Ministerial Department,Department for Communities & Local Government,140,134.5,268,259,798,778.9,587,566.9,90,86.9,0,0,1883,1826.2,17,17,8,8,30,30,7,7,62,62,1945,1888.2,6005126.44,67691.93,99600,29535.95,1272618.29,556332.22,8030904.83,293056,488019,781075,8811979.83,
Fire Service College,Executive Agency,Department for Communities & Local Government,64,59.6,33,31.4,66,64.4,15,15,1,1,0,0,179,171.4,0,0,4,3.8,0,0,0,0,4,3.8,183,175.2,315527,0,0,0,56114,22117,393758,18185,0,18185,411943,
Planning Inspectorate,Executive Agency,Department for Communities & Local Government,224,200.83,126,113.72,75,72.05,253,214.08,4,3.5,0,0,682,604.18,0,0,0,0,0,0,0,0,0,0,682,604.18,1760575,23764,0,7324,361413,152613,2305689,0,0,0,2305689,
Queen Elizabeth II Conference Centre,Executive Agency,Department for Communities & Local Government,5,5,7,7,27,27,3,3,1,1,0,0,43,43,0,0,0,0,0,0,0,0,0,0,43,43,125446.06,596.44,0,4194.78,23188.52,10974.26,164400.06,1645,0,1645,166045.06,
Homes & Communities Agency,Executive Non-Departmental Public Body,Department for Communities & Local Government,128,122.98,214,209.93,236,230.7,40,39.8,49,48.7,87,85.56,754,737.67,2,2,1,1,5,5,0,0,8,8,762,745.67,2640630.41,196120.48,0,9204.43,643023.96,260615.19,3749594.47,29844,0,29844,3779438.47,
Independent Housing Ombudsman Ltd,Executive Non-Departmental Public Body,Department for Communities & Local Government,0,0,0,0,0,0,0,0,0,0,38,38,38,38,1,1,0,0,0,0,0,0,1,1,39,39,150595.25,64.28,0,0,26891.93,14830.62,192382.08,3997,0,3997,196379.08,
Infrastructure Planining Commission,Executive Non-Departmental Public Body,Department for Communities & Local Government,4,4,7,7,15,14.8,14,13,12,10.3,0,0,52,49.1,1,1,1,0.6,0,0,0,0,2,1.6,54,50.7,199878,0,0,536,16654,25435,242503,12762,0,12762,255265,
Leasehold Advisory Service,Executive Non-Departmental Public Body,Department for Communities & Local Government,3,2.4,1,1,17,16,0,0,1,1,0,0,22,20.4,0,0,0,0,0,0,0,0,0,0,22,20.4,66651,0,0,0,5913,7154,79718,0,0,0,79718,
London Thames Gateway Development Corporation,Executive Non-Departmental Public Body,Department for Communities & Local Government,0,0,2,2,10,9.3,7,6.8,13,12.4,0,0,32,30.5,0,0,0,0,5,0.63,0,0,5,0.63,37,31.13,145336.1,0,0,0,19387.69,14670.34,179394.13,4040.31,0,4040.31,183434.44,
Standards Board for England,Executive Non-Departmental Public Body,Department for Communities & Local Government,3,2.8,4,4,17,16.43,5,5,3,3,0,0,32,31.23,0,0,0,0,1,1,0,0,1,1,33,32.23,100986.02,0,0,0,15598.39,7392.18,123976.59,15120,0,15120,139096.59,
Tenants Services Authority,Executive Non-Departmental Public Body,Department for Communities & Local Government,4,3.97,32,31.8,96,92.91,26,26,8,8,8,1.22,174,163.9,0,0,0,0,0,0,0,0,0,0,174,163.9,638309.5,436.65,0,1021.2,63374.74,59143.13,762285.22,0,0,0,762285.22,
Thurrock Development Corporation,Executive Non-Departmental Public Body,Department for Communities & Local Government,0,0,0,0,0,0,0,0,0,0,32,31.93,32,31.93,0,0,0,0,0,0,0,0,0,0,32,31.93,140407.75,2660.93,0,0,15822.29,14155.75,173046.72,0,0,0,173046.72,
Valuation Tribunal Service,Executive Non-Departmental Public Body,Department for Communities & Local Government,23,22.17,35,34.25,12,11.83,2,2,1,1,0,0,73,71.25,3,3,0,0,0,0,0,0,3,3,76,74.25,204286,3932,0,0,42189,17998,268405,537,0,537,268942,
West Northamptonshire Development Corporation,Executive Non-Departmental Public Body,Department for Communities & Local Government,8,7.41,12,11.54,10,9.7,2,2,4,4,0,0,36,34.65,0,0,0,0,0,0,1,0.8,1,0.8,37,35.45,133446.45,5000,0,0,23875.1,12984.43,175305.98,0,6334,6334,181639.98,
