Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type,Contract Number,Project Code,Expenditure Type
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/06/2012,ICT Maintenance & Upkeep,Finance & Commercial Group - Commercial Directorate,"KCOM GROUP PLC T/A KCOM, ECLIPSE INTERNET",1043982,-24485.00,  - ICT Maintenance & Upkeep,HU1 3RN,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",18/06/2012,ICT Maintenance & Upkeep,Finance & Commercial Group - Commercial Directorate,"KCOM GROUP PLC T/A KCOM, ECLIPSE INTERNET",1043982,-24485.00,  - ICT Maintenance & Upkeep,HU1 3RN,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/06/2012,ICT Infrastructure Specific Service,Finance & Commercial Group - Commercial Directorate,CABLE & WIRELESS UK,1044150,-35609.86,  - ICT Infrastructure Specific Service,MK3 5JP,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/06/2012,ICT Maintenance & Upkeep (PFI),Finance & Commercial Group - Commercial Directorate,FUJITSU SERVICES LTD,1049843,209522.60,  - ICT Maintenance & Upkeep (PFI),WA3 9BD,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/06/2012,ICT Maintenance & Upkeep (PFI),Finance & Commercial Group - Commercial Directorate,FUJITSU SERVICES LTD,1049845,98844.26,  - ICT Maintenance & Upkeep (PFI),WA3 9BD,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/06/2012,Grants - Current - Other,Market Frameworks - Consumer and Competition Policy,NOTTINGHAMSHIRE COUNTY COUNCIL,1055305,14484.59,  - Grants - Current - Other,NG2 7QP,LOC,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/06/2012,Grants - Current - Other,Market Frameworks - Consumer and Competition Policy,NOTTINGHAMSHIRE COUNTY COUNCIL,1055305,20719.00,  - Grants - Current - Other,NG2 7QP,LOC,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/06/2012,Grants - Current - Other,Market Frameworks - Consumer and Competition Policy,NOTTINGHAMSHIRE COUNTY COUNCIL,1055305,14772.32,  - Grants - Current - Other,NG2 7QP,LOC,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/06/2012,Grants - Current - Other,Market Frameworks - Consumer and Competition Policy,NOTTINGHAMSHIRE COUNTY COUNCIL,1055305,13104.21,  - Grants - Current - Other,NG2 7QP,LOC,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/06/2012,Grants - Current - Other,Market Frameworks - Consumer and Competition Policy,NOTTINGHAMSHIRE COUNTY COUNCIL,1055305,20719.00,  - Grants - Current - Other,NG2 7QP,LOC,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/06/2012,Grants - Current - Other,Market Frameworks - Consumer and Competition Policy,NOTTINGHAMSHIRE COUNTY COUNCIL,1055305,3352.61,  - Grants - Current - Other,NG2 7QP,LOC,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/06/2012,Research & Development Expenditure (Programme),Government Office for Science - Government Office for Science,SETH BULLOCK,1055422,450.00,  - Research & Development Expenditure (Programme),SO15 5JL,EXT,,,Programme
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",18/06/2012,Catering Services,Finance & Commercial Group - Commercial Directorate,BAXTERSTOREY LTD,1055428,43210.66,  - Catering Services,RG6 1PT,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",27/06/2012,Hire of Agency Staff (Clerical/Secretariat/Other),Business & Skills Group - Enterprise Directorate,ADECCO UK LTD,1055443,999.46,  - Hire of Agency Staff (Clerical/Secretariat/Other),B37 7YE,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/06/2012,Taxis,Government Office for Science - Government Office for Science,GROSVENOR CARS,1055458,8.80,  - Taxis,NE6 5DE,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/06/2012,Taxis,Government Office for Science - Government Office for Science,GROSVENOR CARS,1055458,1.32,  - Taxis,NE6 5DE,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/06/2012,Other Overseas Travel & Subsistence,"People, Comminications and Effectiveness Group - Human Resources",FOREIGN AND COMMONWEALTH OFFICE (FCO),1055497,445.18,  - Other Overseas Travel & Subsistence,MK10 1PX,GOV,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/06/2012,Taxis Overseas,Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,FOREIGN AND COMMONWEALTH OFFICE (FCO),1055499,344.48,  - Taxis Overseas,MK10 1PX,GOV,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/06/2012,Hospitality - Overseas (Programme),Business & Skills Group - Advanced Manufacturing Services,FOREIGN AND COMMONWEALTH OFFICE (FCO),1055500,83.00,  - Hospitality - Overseas (Programme),MK10 1PX,GOV,,,Programme
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/06/2012,Hospitality - Overseas (Programme),Business & Skills Group - Advanced Manufacturing Services,FOREIGN AND COMMONWEALTH OFFICE (FCO),1055500,0.14,  - Hospitality - Overseas (Programme),MK10 1PX,GOV,,,Programme
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/06/2012,Grants - Current - Other,Knowledge & Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1055692,5488.13,  - Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/06/2012,Grants - Current - Other,Knowledge & Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1055693,8.16,  - Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/06/2012,Grants - Current - Other,Knowledge & Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1055694,855.85,  - Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/06/2012,Grants - Current - Other,Knowledge & Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1055696,9.84,  - Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/06/2012,Grants - Current - Other,Knowledge & Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1055698,14.78,  - Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/06/2012,Grants - Current - Other,Knowledge & Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1055699,106.14,  - Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/06/2012,Grants - Current - Other,Knowledge & Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1055700,409.40,  - Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/06/2012,Grants - Current - Other,Knowledge & Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1055701,9.09,  - Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/06/2012,Grants - Current - Other,Knowledge & Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1055702,9.09,  - Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/06/2012,Grants - Current - Other,Knowledge & Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1055703,9.09,  - Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/06/2012,Grants - Current - Other,Knowledge & Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1055704,9.09,  - Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/06/2012,Grants - Current - Other,Knowledge & Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1055705,9.09,  - Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/06/2012,Grants - Current - Other,Knowledge & Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1055706,8.16,  - Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/06/2012,Grants - Current - Other,Knowledge & Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1055708,1166.40,  - Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/06/2012,Grants - Current - Other,Knowledge & Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1055709,1763.63,  - Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/06/2012,Grants - Current - Other,Knowledge & Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1055710,627.14,  - Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/06/2012,Grants - Current - Other,Knowledge & Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1055711,2000.00,  - Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/06/2012,Accommodation Rentals (Programme),Finance & Commercial Group - Commercial Directorate,JONES LANG LASALLE LTD,1055817,79950.00,  - Accommodation Rentals (Programme),E14 5WQ,,,,Programme
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/06/2012,ICT Infrastructure Specific Service,Finance & Commercial Group - Commercial Directorate,PARITY RESOURCES LTD,1055829,98000.00,  - ICT Infrastructure Specific Service,SW19 3RU,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/06/2012,Accommodation Rentals,Finance & Commercial Group - Commercial Directorate,CB RICHARD ELLIS,1055850,44000.00,  - Accommodation Rentals,G2 6UA,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/06/2012,Service Charges,Finance & Commercial Group - Commercial Directorate,CB RICHARD ELLIS,1055850,4262.50,  - Service Charges,G2 6UA,,,,Administration
