Department,Entity,Date,Expense Type,Expense Area,Supplier,Post Code,Transaction Number,Payment Description,Total £
Ministry of Defence,Ministry of Defence,03/02/2012,Purchase of inventory and services ,Air Command,XMA LTD,NG11 7EP,897768,Cost of other material consumed,"8,473.52"
Ministry of Defence,Ministry of Defence,10/02/2012,Spend on Inventory - General,Defence Equipment & Support,C F ANDERSON & SON LIMITED,C06 1HD,900181,Spend on Inventory - General,"8,422.77"
Ministry of Defence,Ministry of Defence,27/02/2012,Purchase of inventory and services ,Command Joint Operations,UNIVERSITY HOSPITAL BIRMINGHAM NHS FOUNDATION TRUST,B29 6JS,906557,Cost of other material consumed,"8,415.53"
Ministry of Defence,Ministry of Defence,15/02/2012,Spend on Inventory - General,Defence Equipment & Support,RUBB BUILDINGS LTD,NE11 0QE,902109,Spend on Inventory - General,"8,375.64"
Ministry of Defence,Ministry of Defence,02/02/2012,Purchase of inventory and services ,Defence Equipment & Support,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,896738,Cost of other material consumed,"8,374.67"
Ministry of Defence,Ministry of Defence,17/02/2012,Transport hire charges,Command Joint Operations,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,BH23 6BS,902836,Transport other operating lease,"8,346.62"
Ministry of Defence,Ministry of Defence,27/02/2012,IT and communication services,Land Forces,XEROX (UK) LIMITED,BN13 1QG,906590,Computer equipment costing below the capitalisation threshold,"8,311.85"
Ministry of Defence,Ministry of Defence,20/02/2012,Design services and minor equipment purchases,Defence Equipment & Support,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,BH23 6BS,903356,Equipment support non-project costs,"8,303.79"
Ministry of Defence,Ministry of Defence,08/02/2012,Purchase of inventory and services ,Command Joint Operations,AAH PHARMACEUTICALS LTD,CV2 2TX,898768,Consumption of medical dental and veterinary inventory,"8,258.75"
Ministry of Defence,Ministry of Defence,09/02/2012,Spend on Inventory - General,Command Joint Operations,BUNZL UK LIMITED,KT19 8TY,899536,Spend on Inventory - General,"8,255.28"
Ministry of Defence,Ministry of Defence,02/02/2012,Purchase of inventory and services ,Air Command,XMA LTD,NG11 7EP,897149,Cost of other material consumed,"8,195.45"
Ministry of Defence,Ministry of Defence,03/02/2012,Payment of utilities,Navy Command,PACE FUELCARE LIMITED,TW20 9AB,897578,Utilities consumed - heating oil,"8,189.11"
Ministry of Defence,Ministry of Defence,27/02/2012,Purchase of inventory and services ,Air Command,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,906028,Cost of other material consumed,"8,173.02"
Ministry of Defence,Ministry of Defence,20/02/2012,Design services and minor equipment purchases,Defence Equipment & Support,S.COM GROUP LTD,LU1 3BA,903755,Equipment support project costs,"8,161.40"
Ministry of Defence,Ministry of Defence,15/02/2012,Food and clothing,Defence Infrastructure Organisation ,AVENANCE PLC,SK11 6ET,901691,Cost of clothing and textile services received,"8,159.59"
Ministry of Defence,Ministry of Defence,02/02/2012,Purchase of inventory and services ,Defence Equipment & Support,XMA LTD,NG11 7EP,897149,Cost of other material consumed,"8,130.60"
Ministry of Defence,Ministry of Defence,08/02/2012,"Transportation of personnel, freight and travel expenses",Central TLB,RAIL SETTLEMENT PLAN LIMITED,SG1 2YN,899248,Military short term detached duty,"8,115.80"
Ministry of Defence,Ministry of Defence,15/02/2012,Food and clothing,Land Forces,ISS MEDICLEAN LIMITED,GU21 5RW,901920,Cost of food services,"8,113.95"
Ministry of Defence,Ministry of Defence,24/02/2012,Purchase of inventory and services ,Land Forces,BOC LIMITED,M28 2UT,905481,Consumption of engineering and technical inventory,"8,058.52"
Ministry of Defence,Ministry of Defence,03/02/2012,Purchase of inventory and services ,Land Forces,GOODYEAR DUNLOP TYRES UK LTD,B24 9HY,897415,Cost of other material consumed,"8,052.23"
Ministry of Defence,Ministry of Defence,02/02/2012,Medical treatment & stores and welfare services,Defence Equipment & Support,DEFENCE SCIENCE & TECHNOLOGY LABORATORY,PO14 9HL,896813,Medical health services,"8,045.86"
Ministry of Defence,Ministry of Defence,14/02/2012,Spend on Inventory - General,Command Joint Operations,BUNZL UK LIMITED,KT19 8TY,901358,Spend on Inventory - General,"8,042.64"
Ministry of Defence,Ministry of Defence,23/02/2012,Research and development,Central TLB,L.A. INTERNATIONAL COMPUTER  CONSULTANTS LIMITED,ST1 5UB,905075,Research and development excluding defence science and technology laboratory,"7,936.58"
Ministry of Defence,Ministry of Defence,10/02/2012,Transport hire charges,Defence Infrastructure Organisation ,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,BH23 6BS,900146,Transport other operating lease,"7,926.17"
Ministry of Defence,Ministry of Defence,23/02/2012,Payment of utilities,Land Forces,WATSON PETROLEUM LTD,SN15 5DN,905372,Utilities consumed - heating oil,"7,918.63"
Ministry of Defence,Ministry of Defence,27/02/2012,Payment of utilities,Air Command,WATSON PETROLEUM LTD,SN15 5DN,906578,Utilities consumed - heating oil,"7,886.40"
Ministry of Defence,Ministry of Defence,22/02/2012,Payment of utilities,Air Command,WATSON PETROLEUM LTD,SN15 5DN,904744,Utilities consumed - heating oil,"7,886.40"
Ministry of Defence,Ministry of Defence,16/02/2012,Design services and minor equipment purchases,Defence Equipment & Support,TELINDUS LTD,GU15 3YL,902728,Equipment support project costs,"7,883.28"
Ministry of Defence,Ministry of Defence,15/02/2012,IT and communication services,Central TLB,RACKSPACE LIMITED,UB11 1ET,902093,Information technology services,"7,868.00"
Ministry of Defence,Ministry of Defence,07/02/2012,"Transportation of personnel, freight and travel expenses",Central TLB,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,'200000013363,Civilian short term detached duty,"7,820.31"
Ministry of Defence,Ministry of Defence,20/02/2012,Administration,Command Joint Operations,SERCO LIMITED,RG27 9UY,903762,General administration,"7,804.64"
Ministry of Defence,Ministry of Defence,10/02/2012,Preparation of land & buildings for disposal,Defence Equipment & Support,AMEC ENVIRONMENT & INFRASTRUCTURE UK LIMITED,NE3 3PX,900119,Works - prepare property/land for disposal ,"7,770.60"
Ministry of Defence,Ministry of Defence,28/02/2012,Design services and minor equipment purchases,Defence Equipment & Support,ATKINS LIMITED,WR5 1TX,906621,Equipment support non-project costs,"7,770.00"
Ministry of Defence,Ministry of Defence,06/02/2012,Purchase of inventory and services ,Defence Infrastructure Organisation ,CANON (UK) LIMITED,RH2 8BF,897857,Cost of other material consumed,"7,727.39"
Ministry of Defence,Ministry of Defence,08/02/2012,Fees for professional services,Land Forces,QINETIQ LIMITED,PO12 2AG,899241,Fees for professional services excluding legal fees,"7,706.40"
Ministry of Defence,Ministry of Defence,23/02/2012,Purchase of inventory and services ,Air Command,AAH PHARMACEUTICALS LTD,CV2 2TX,904771,Consumption of medical dental and veterinary inventory,"7,684.61"
Ministry of Defence,Ministry of Defence,10/02/2012,Design services and minor equipment purchases,Defence Equipment & Support,QINETIQ LIMITED,PO12 2AG,900515,Equipment support non-project costs,"7,654.90"
Ministry of Defence,Ministry of Defence,24/02/2012,Purchase of inventory and services ,Air Command,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,905466,Cost of other material consumed,"7,647.49"
Ministry of Defence,Ministry of Defence,22/02/2012,Design services and minor equipment purchases,Defence Equipment & Support,ATLAS ELEKTRONIK UK LIMITED,NP19 4SS,904286,Equipment support non-project costs,"7,610.00"
Ministry of Defence,Ministry of Defence,24/02/2012,Payment of utilities,Land Forces,PACE FUELCARE LIMITED,TW20 9AB,905783,Utilities consumed - heating oil,"7,541.03"
Ministry of Defence,Ministry of Defence,23/02/2012,Transport hire charges,Defence Infrastructure Organisation ,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,BH23 6BS,904839,Transport other operating lease,"7,530.06"
Ministry of Defence,British Defence Staff -United States,24/02/2012,Insurance,Central TLB,"WEAVER BROS. INSURANCE ASSOCIATES, INC",,300169,Insurance paid,"7,519.15"
Ministry of Defence,Ministry of Defence,22/02/2012,Purchase of inventory and services ,Air Command,AAH PHARMACEUTICALS LTD,CV2 2TX,904251,Consumption of medical dental and veterinary inventory,"7,513.13"
Ministry of Defence,Ministry of Defence,21/02/2012,Purchase of inventory and services ,Air Command,AAH PHARMACEUTICALS LTD,CV2 2TX,903867,Consumption of medical dental and veterinary inventory,"7,505.66"
Ministry of Defence,Ministry of Defence,09/02/2012,Purchase of inventory and services ,Air Command,AAH PHARMACEUTICALS LTD,CV2 2TX,899422,Consumption of medical dental and veterinary inventory,"7,474.95"
Ministry of Defence,Ministry of Defence,09/02/2012,Spend on Inventory - General,Defence Equipment & Support,BABCOCK MARINE (ROSYTH) LTD,KY11 2YD,899489,Spend on Inventory - General,"7,454.95"
Ministry of Defence,Ministry of Defence,01/02/2012,Payment of utilities,Defence Infrastructure Organisation ,SSE ENERGY SUPPLY LIMITED,PH1 3AQ,896599,Utilities consumed - electricity,"7,444.84"
Ministry of Defence,Ministry of Defence,13/02/2012,Spend on Inventory - General,Defence Equipment & Support,HELMET INTEGRATED SYSTEMS LTD,SG6 2TU,900885,Spend on Inventory - General,"7,442.77"
Ministry of Defence,Ministry of Defence,29/02/2012,Design services and minor equipment purchases,Defence Equipment & Support,JEPPESEN U.K. LIMITED,RH10 9AD,907297,Equipment support non-project costs,"7,405.97"
Ministry of Defence,Ministry of Defence,01/02/2012,IT and communication services,Defence Equipment & Support,HP ENTERPRISE SERVICES DEFENCE & SECURITY UK LIMITED,RG27 9XA,896416,Information technology services,"7,354.35"
Ministry of Defence,Ministry of Defence,20/02/2012,Estate management,Defence Equipment & Support,DEBUT SERVICES (SOUTH WEST)LIMITED,BA1 5AB,903446,Works services - excluding United States forces/NATO + married quarters,"7,338.20"
Ministry of Defence,Defence Science and Technology Laboratory,17/02/2012,Other Services & Office costs,Operations,BARCLAYCARD,,G - 9000140259 - 00129922,,"7,293.28"
Ministry of Defence,Ministry of Defence,15/02/2012,"Transportation of personnel, freight and travel expenses",Defence Equipment & Support,DHL GLOBAL FORWARDING (UK)  LIMITED,TW18 4BP,901794,Freight movement costs,"7,254.85"
Ministry of Defence,Ministry of Defence,03/02/2012,Purchase of inventory and services ,Air Command,GOODYEAR DUNLOP TYRES UK LTD,B24 9HY,897415,Cost of other material consumed,"7,244.90"
Ministry of Defence,Ministry of Defence,08/02/2012,"Transportation of personnel, freight and travel expenses",Air Command,RAIL SETTLEMENT PLAN LIMITED,SG1 2YN,899248,Military short term detached duty,"7,210.50"
Ministry of Defence,Ministry of Defence,08/02/2012,Purchase of inventory and services ,Land Forces,BOC LIMITED,M28 2UT,898843,Consumption of engineering and technical inventory,"7,204.18"
Ministry of Defence,Ministry of Defence,29/02/2012,Purchase of inventory and services ,Air Command,AAH PHARMACEUTICALS LTD,CV2 2TX,906992,Consumption of medical dental and veterinary inventory,"7,195.74"
Ministry of Defence,Ministry of Defence,09/02/2012,Design services and minor equipment purchases,Defence Equipment & Support,TMD TECHNOLOGIES LTD,UB3 1DQ,900033,Equipment support project costs,"7,182.00"
Ministry of Defence,Ministry of Defence,22/02/2012,Estate management,Land Forces,SODEXO LTD,M50 0AL,904680,Estate + facilities management services - accommodation inventory + service,"7,114.75"
Ministry of Defence,Ministry of Defence,27/02/2012,Fuel for military use,Air Command,WATSON PETROLEUM LTD,SN15 5DN,906578,Oil and lubricants consumed excluding those from the inventory system,"7,110.60"
Ministry of Defence,Ministry of Defence,03/02/2012,Design services and minor equipment purchases,Defence Equipment & Support,EGLINTON (TIMBER PRODUCTS)  LIMITED,BT47 3PY,34508,Equipment support non-project costs,"7,108.20"
Ministry of Defence,Ministry of Defence,27/02/2012,Purchase of inventory and services ,Land Forces,BOC LIMITED,M28 2UT,906037,Consumption of engineering and technical inventory,"7,093.15"
Ministry of Defence,Defence Science and Technology Laboratory,17/02/2012,Other Services & Office costs,Operations,BARCLAYCARD,,G - 9000140259 - 00129921,,"7,067.75"
Ministry of Defence,Ministry of Defence,10/02/2012,Payment of utilities,Defence Equipment & Support,TOTAL GAS & POWER LIMITED,RH1 1RX,900615,Utilities consumed - gas,"7,057.05"
Ministry of Defence,Ministry of Defence,10/02/2012,Payment of utilities,Central TLB,WATSON PETROLEUM LTD,SN15 5DN,900645,Utilities consumed - heating oil,"7,051.96"
Ministry of Defence,Ministry of Defence,07/02/2012,Food and clothing,Air Command,AVENANCE PLC,SK11 6ET,898317,Cost of food services,"7,025.50"
Ministry of Defence,Ministry of Defence,03/02/2012,Food and clothing,Navy Command,COTSWOLD OUTDOOR LTD,SN16 9SH,897322,Cost of purchasing and repairing clothing,"7,019.20"
Ministry of Defence,Ministry of Defence,20/02/2012,"Transportation of personnel, freight and travel expenses",Land Forces,DHL GLOBAL FORWARDING (UK)  LIMITED,TW18 4BP,903457,Freight movement costs,"6,961.80"
Ministry of Defence,Ministry of Defence,21/02/2012,Estate management,Defence Infrastructure Organisation ,ISS FACILITY SERVICES LIMITED,SN10 2EU,904055,Estate core services charge,"6,958.36"
Ministry of Defence,Ministry of Defence,07/02/2012,Estate management,Navy Command,SODEXO LTD,M50 0AL,898706,Estate + facilities management services - accommodation inventory + service,"6,939.11"
Ministry of Defence,Ministry of Defence,02/02/2012,Design services and minor equipment purchases,Central TLB,DEFENCE SCIENCE & TECHNOLOGY LABORATORY,PO14 9HL,896813,Equipment support non-project costs,"6,927.85"
Ministry of Defence,Ministry of Defence,24/02/2012,Payment of utilities,Defence Equipment & Support,BRITISH GAS TRADING LIMITED,OX4 2JY,905491,Utilities consumed - electricity,"6,907.11"
Ministry of Defence,Ministry of Defence,10/02/2012,Purchase of inventory and services ,Air Command,BOC LIMITED,M28 2UT,900168,Consumption of engineering and technical inventory,"6,844.70"
Ministry of Defence,Ministry of Defence,20/02/2012,Design services and minor equipment purchases,Land Forces,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,BH23 6BS,903356,Equipment support non-project costs,"6,842.21"
Ministry of Defence,Ministry of Defence,13/02/2012,Fees for professional services,Land Forces,CASTLEROCK RECRUITMENT GROUP LIMITED,WA9 1UA,900760,Fees for professional services excluding legal fees,"6,828.31"
Ministry of Defence,Ministry of Defence,28/02/2012,Administration,Navy Command,CENTRAL OFFICE OF INFORMATION,SE1 7DU,906661,General administration,"6,819.53"
Ministry of Defence,Ministry of Defence,06/02/2012,Research and development,Central TLB,DEFENCE SCIENCE & TECHNOLOGY LABORATORY,PO14 9HL,897904,Research and development incurred on projects with defence science and technology laboratory,"6,773.97"
Ministry of Defence,Ministry of Defence,14/02/2012,Fees for professional services,Land Forces,CASTLEROCK RECRUITMENT GROUP LIMITED,WA9 1UA,901369,Fees for professional services excluding legal fees,"6,767.81"
Ministry of Defence,Ministry of Defence,15/02/2012,Medical treatment & stores and welfare services,Command Joint Operations,HAYS SPECIALIST RECRUITMENT LIMITED,SW1W 0NT,901894,Medical health services,"6,762.98"
Ministry of Defence,Ministry of Defence,02/02/2012,Fees for professional services,Land Forces,HONEYBEERECRUITMENT.COM LTD,TW12 1PD,896878,Fees for professional services excluding legal fees,"6,753.42"
Ministry of Defence,Ministry of Defence,07/02/2012,Spend on Inventory - General,Navy Command,TURNER VIRR & CO. LTD,LS25 2DY,898748,Spend on Inventory - General,"6,731.13"
Ministry of Defence,Ministry of Defence,28/02/2012,Medical treatment & stores and welfare services,Land Forces,HONEYBEERECRUITMENT.COM LTD,TW12 1PD,906760,Medical health services,"6,718.63"
Ministry of Defence,Ministry of Defence,21/02/2012,Purchase of inventory and services ,Defence Equipment & Support,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,903919,Cost of other material consumed,"6,704.83"
Ministry of Defence,Ministry of Defence,14/02/2012,Spend on Inventory - General,Air Command,BUNZL UK LIMITED,KT19 8TY,901358,Spend on Inventory - General,"6,700.38"
Ministry of Defence,Ministry of Defence,15/02/2012,Payment of utilities,Defence Infrastructure Organisation ,E.ON UK PLC,NG1 9AH,901836,Utilities consumed - gas,"6,675.92"
Ministry of Defence,Ministry of Defence,13/02/2012,Estate management,Land Forces,OBERFINANZDIREKTION NIEDERSACHSEN,D 30169,5000072173,Works - estate management,"6,669.18"
Ministry of Defence,Ministry of Defence,03/02/2012,Purchase of inventory and services ,Air Command,AAH PHARMACEUTICALS LTD,CV2 2TX,897159,Consumption of medical dental and veterinary inventory,"6,651.71"
Ministry of Defence,Ministry of Defence,09/02/2012,Medical treatment & stores and welfare services,Land Forces,CASTLEROCK RECRUITMENT GROUP LIMITED,WA9 1UA,899558,Medical health services,"6,594.68"
Ministry of Defence,Ministry of Defence,06/02/2012,Payment of utilities,Land Forces,PACE FUELCARE LIMITED,TW20 9AB,898109,Utilities consumed - heating oil,"6,582.59"
Ministry of Defence,Ministry of Defence,21/02/2012,Design services and minor equipment purchases,Air Command,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,BH23 6BS,903905,Equipment support non-project costs,"6,514.21"
Ministry of Defence,Ministry of Defence,08/02/2012,IT and communication services,Command Joint Operations,SERCO LIMITED,RG27 9UY,899288,Information technology services,"6,491.07"
Ministry of Defence,Ministry of Defence,16/02/2012,Estate management,Land Forces,ASPIRE DEFENCE LIMITED,SP9 7QD,902245,Estate + facilities management services - accommodation inventory + service,"6,485.07"
Ministry of Defence,Ministry of Defence,07/02/2012,Fees for professional services,Land Forces,QINETIQ LIMITED,PO12 2AG,898657,Fees for professional services excluding legal fees,"6,481.86"
Ministry of Defence,Ministry of Defence,07/02/2012,Transport hire charges,Defence Infrastructure Organisation ,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,BH23 6BS,898325,Transport other operating lease,"6,472.54"
Ministry of Defence,Ministry of Defence,27/02/2012,Purchase of inventory and services ,Defence Equipment & Support,XMA LTD,NG11 7EP,906591,Cost of other material consumed,"6,436.33"
Ministry of Defence,Ministry of Defence,22/02/2012,"Transportation of personnel, freight and travel expenses",Central TLB,DHL GLOBAL FORWARDING (UK)  LIMITED,TW18 4BP,904398,Freight movement costs,"6,414.85"
Ministry of Defence,Ministry of Defence,13/02/2012,"Transportation of personnel, freight and travel expenses",Land Forces,RAIL SETTLEMENT PLAN LIMITED,SG1 2YN,901123,Civilian short term detached duty,"6,374.25"
Ministry of Defence,Ministry of Defence,03/02/2012,Fees for professional services,Defence Infrastructure Organisation ,DEFENCE SCIENCE & TECHNOLOGY LABORATORY,PO14 9HL,897339,Fees for professional services excluding legal fees,"6,361.53"
Ministry of Defence,Ministry of Defence,03/02/2012,Research and development,Central TLB,DEFENCE SCIENCE & TECHNOLOGY LABORATORY,PO14 9HL,897339,Research and development incurred on projects with defence science and technology laboratory,"6,317.77"
Ministry of Defence,Ministry of Defence,27/02/2012,Food and clothing,Land Forces,TURNER VIRR & CO. LTD,LS25 2DY,906551,Cost of purchasing and repairing clothing,"6,317.28"
Ministry of Defence,Ministry of Defence,14/02/2012,Purchase of inventory and services ,Defence Equipment & Support,AAH PHARMACEUTICALS LTD,CV2 2TX,901293,Consumption of medical dental and veterinary inventory,"6,300.15"
Ministry of Defence,Ministry of Defence,21/02/2012,IT and communication services,Defence Equipment & Support,ACTICA CONSULTING LIMITED,GU2 7YF,903869,Information technology services,"6,298.50"
Ministry of Defence,Ministry of Defence,22/02/2012,Purchase of inventory and services ,Navy Command,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,904316,Cost of other material consumed,"6,298.28"
Ministry of Defence,Ministry of Defence,07/02/2012,Purchase of inventory and services ,Defence Equipment & Support,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,898337,Cost of other material consumed,"6,249.38"
Ministry of Defence,Ministry of Defence,21/02/2012,Food and clothing,Defence Infrastructure Organisation ,COMPASS CONTRACT SERVICES (U K)LIMITED,B45 9PZ,903978,Cost of clothing and textile services received,"6,223.07"
Ministry of Defence,Ministry of Defence,10/02/2012,"Purchase of munitions, other inventory or fuel",Defence Equipment & Support,E.P.BARRUS LTD,OX26 4UR,900247,Raw materials and consumable engineering and technical fiscal inventory purchased,"6,210.98"
Ministry of Defence,Ministry of Defence,28/02/2012,Medical treatment & stores and welfare services,Land Forces,CASTLEROCK RECRUITMENT GROUP LIMITED,WA9 1UA,906658,Medical health services,"6,177.93"
Ministry of Defence,Ministry of Defence,20/02/2012,Purchase of inventory and services ,Air Command,AAH PHARMACEUTICALS LTD,CV2 2TX,903316,Consumption of medical dental and veterinary inventory,"6,120.88"
Ministry of Defence,Ministry of Defence,21/02/2012,Food and clothing,Defence Infrastructure Organisation ,ARAMARK LTD,LS16 6QY,903889,Cost of clothing and textile services received,"6,039.13"
Ministry of Defence,Ministry of Defence,15/02/2012,Design services and minor equipment purchases,Defence Equipment & Support,SCOTT HEALTH & SAFETY LTD,WN8 9RA,902118,Equipment support non-project costs,"6,034.00"
Ministry of Defence,Ministry of Defence,03/02/2012,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,RIDER LEVETT BUCKNALL UK LIMITED,B4 7XG,897618,Fiscal asset under construction - capital in year addition,"6,000.00"
Ministry of Defence,Ministry of Defence,14/02/2012,Purchase of inventory and services ,Defence Equipment & Support,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,901336,Cost of other material consumed,"5,981.04"
Ministry of Defence,Ministry of Defence,01/02/2012,Externally delivered education and training,Central TLB,CAA INTERNATIONAL LIMITED,RH6 0YR,896324,External military training ,"5,950.00"
Ministry of Defence,Ministry of Defence,23/02/2012,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,TURNER FACILITIES MANAGEMENT LTD,G51 3EQ,905343,Fiscal asset under construction - capital in year addition,"5,940.00"
Ministry of Defence,British Defence Staff -United States,24/02/2012,Insurance,Air Command,"WEAVER BROS. INSURANCE ASSOCIATES, INC",,300169,Insurance paid,"5,932.28"
Ministry of Defence,Ministry of Defence,24/02/2012,Purchase of inventory and services ,Defence Equipment & Support,ALLIANCE HEALTHCARE (DISTRIBUTION) LTD,KT9 1SN,167020,Consumption of medical dental and veterinary inventory,"5,924.99"
Ministry of Defence,Ministry of Defence,03/02/2012,Design services and minor equipment purchases,Defence Equipment & Support,IBM UNITED KINGDOM LIMITED,PO6 3AE,897444,Equipment support project costs,"5,910.38"
Ministry of Defence,Ministry of Defence,24/02/2012,Purchase of inventory and services ,Navy Command,XMA LTD,NG11 7EP,905954,Cost of other material consumed,"5,907.16"
Ministry of Defence,Ministry of Defence,14/02/2012,Food and clothing,Air Command,ARAMARK LTD,LS16 6QY,901310,Cost of clothing and textile services received,"5,904.70"
Ministry of Defence,Ministry of Defence,17/02/2012,Design services and minor equipment purchases,Defence Equipment & Support,ATKINS LIMITED,WR5 1TX,902826,Equipment support non-project costs,"5,880.00"
Ministry of Defence,Ministry of Defence,10/02/2012,Food and clothing,Command Joint Operations,TECHNOGYM U K LIMITED,RG12 8PE,900595,Cost of purchasing and repairing clothing,"5,872.96"
Ministry of Defence,Ministry of Defence,01/02/2012,Purchase of inventory and services ,Defence Equipment & Support,XMA LTD,NG11 7EP,896676,Cost of other material consumed,"5,831.36"
Ministry of Defence,Ministry of Defence,07/02/2012,Design services and minor equipment purchases,Defence Equipment & Support,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,BH23 6BS,898325,Equipment support non-project costs,"5,818.04"
Ministry of Defence,Ministry of Defence,03/02/2012,Payment of utilities,Land Forces,TOTAL GAS & POWER LIMITED,RH1 1RX,897716,Utilities consumed - gas,"5,799.09"
Ministry of Defence,Ministry of Defence,08/02/2012,Research and development,Central TLB,DEFENCE SCIENCE & TECHNOLOGY LABORATORY,PO14 9HL,898904,Research and development incurred on projects with defence science and technology laboratory,"5,796.56"
Ministry of Defence,Ministry of Defence,10/02/2012,Purchase of inventory and services ,Navy Command,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,900160,Cost of other material consumed,"5,781.72"
Ministry of Defence,Ministry of Defence,09/02/2012,Payment of utilities,Land Forces,WATSON PETROLEUM LTD,SN15 5DN,900071,Utilities consumed - heating oil,"5,747.28"
Ministry of Defence,Ministry of Defence,27/02/2012,Design services and minor equipment purchases,Defence Equipment & Support,PARK AIR SYSTEMS LTD,PE6 8UE,906406,Equipment support project costs,"5,718.60"
Ministry of Defence,Ministry of Defence,22/02/2012,Spend on Inventory - General,Land Forces,FORBO FLOORING UK LIMITED,DE5 3NT,904441,Spend on Inventory - General,"5,717.67"
Ministry of Defence,Ministry of Defence,08/02/2012,Design services and minor equipment purchases,Air Command,QINETIQ LIMITED,PO12 2AG,899241,Equipment support non-project costs,"5,708.00"
Ministry of Defence,Ministry of Defence,24/02/2012,Spend on Inventory - General,Defence Equipment & Support,BAE SYSTEMS SURFACE SHIPS LIMITED,PO1 3LS,905464,Spend on Inventory - General,"5,698.80"
Ministry of Defence,Defence Science and Technology Laboratory,17/02/2012,Staff Training,Infrastructure,BARCLAYCARD,,G - 9000140259 - 00129922,,"5,697.16"
Ministry of Defence,Ministry of Defence,07/02/2012,Estate management,Land Forces,SODEXO LTD,M50 0AL,898706,Estate + facilities management services - accommodation inventory + service,"5,691.80"
Ministry of Defence,Ministry of Defence,15/02/2012,Design services and minor equipment purchases,Land Forces,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,BH23 6BS,901702,Equipment support non-project costs,"5,674.02"
Ministry of Defence,Ministry of Defence,29/02/2012,Purchase of inventory and services ,Air Command,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,907055,Cost of other material consumed,"5,650.31"
Ministry of Defence,Ministry of Defence,15/02/2012,Purchase of buildings and military equipment ,Defence Equipment & Support,QINETIQ LIMITED,PO12 2AG,902090,Fiscal asset under construction - capital in year addition,"5,632.75"
Ministry of Defence,Ministry of Defence,20/02/2012,"Transportation of personnel, freight and travel expenses",Command Joint Operations,RAIL SETTLEMENT PLAN LIMITED,SG1 2YN,903733,Civilian short term detached duty,"5,604.40"
Ministry of Defence,Ministry of Defence,20/02/2012,Food and clothing,Land Forces,COTSWOLD OUTDOOR LTD,SN16 9SH,903434,Cost of purchasing and repairing clothing,"5,552.62"
Ministry of Defence,Defence Science and Technology Laboratory,17/02/2012,Travel & Subsistence,Programme Office,BARCLAYCARD,,G - 9000140259 - 00129922,,"5,546.04"
Ministry of Defence,Ministry of Defence,09/02/2012,Purchase of inventory and services ,Defence Equipment & Support,AAH PHARMACEUTICALS LTD,CV2 2TX,899422,Consumption of medical dental and veterinary inventory,"5,521.30"
Ministry of Defence,Ministry of Defence,06/02/2012,Externally delivered education and training,Land Forces,OPEN UNIVERSITY (THE),MK7 6BT,898101,External military training ,"5,516.00"
Ministry of Defence,Ministry of Defence,28/02/2012,"Transportation of personnel, freight and travel expenses",Land Forces,ROYAL BRUNEI AIRLINES SDN BHD,,906899,Civilian air travel costs for short term detached duty,"5,509.90"
Ministry of Defence,Ministry of Defence,13/02/2012,Spend on Inventory - General,Land Forces,JOSEPH GLEAVE & SON LTD,M32 0NB,900917,Spend on Inventory - General,"5,507.92"
Ministry of Defence,Ministry of Defence,15/02/2012,Fees for professional services,Defence Infrastructure Organisation ,JACOBS U.K. LTD,G2 7HX,901927,Fees for professional services excluding legal fees,"5,469.00"
Ministry of Defence,Ministry of Defence,08/02/2012,Estate management,Defence Infrastructure Organisation ,AVENANCE PLC,SK11 6ET,898808,Estate + facilities management services - accommodation inventory + service,"5,459.17"
Ministry of Defence,Ministry of Defence,09/02/2012,Fees for professional services,Land Forces,CASTLEROCK RECRUITMENT GROUP LIMITED,WA9 1UA,899558,Fees for professional services excluding legal fees,"5,452.20"
Ministry of Defence,Ministry of Defence,07/02/2012,Payment of utilities,Command Joint Operations,TOTAL GAS & POWER LIMITED,RH1 1RX,898741,Utilities consumed - gas,"5,416.07"
Ministry of Defence,British Defence Staff -United States,07/02/2012,Medical treatment & stores and welfare services,Central TLB,MERITAIN HEALTH,,298271,Medical-non hospital treatment,"5,400.77"
