Department Family,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction number,Amount in Sterling
Communities & Local Government,DCLG,01/06/2010,Agency Staff,Housing and Planning,REED SPECIALIST RECRUITMENT LTD,5106136079,697.07
Communities & Local Government,DCLG,01/06/2010,Agency Staff,Housing and Planning,REED SPECIALIST RECRUITMENT LTD,5106135961,571.05
Communities & Local Government,DCLG,01/06/2010,Agency Staff,Finance and Corporate Services,VENN GROUP,5106135431,"-1,414.70"
Communities & Local Government,DCLG,01/06/2010,Agency Staff,Finance and Corporate Services,VENN GROUP,5106135875,"1,098.53"
Communities & Local Government,DCLG,01/06/2010,Agency Staff,Finance and Corporate Services,VENN GROUP,5106135876,"1,426.45"
Communities & Local Government,DCLG,01/06/2010,Agency Staff,Finance and Corporate Services,VENN GROUP,5106135890,"1,968.13"
Communities & Local Government,DCLG,01/06/2010,Agency Staff,Finance and Corporate Services,ALLEN LANE FINANCIAL RECRUITMENT,5106135880,"3,807.00"
Communities & Local Government,DCLG,01/06/2010,Agency Staff,Communities Group,BROOK STREET BUREAU,5106135897,"1,547.51"
Communities & Local Government,DCLG,01/06/2010,Agency Staff,Communities Group,MORGAN HUNT PUBLIC SECTOR LTD,5106136042,"1,755.95"
Communities & Local Government,DCLG,01/06/2010,Agency Staff,Communities Group,MORGAN HUNT PUBLIC SECTOR LTD,5106136044,"1,715.35"
Communities & Local Government,DCLG,01/06/2010,Conferences,Housing and Planning,REGUS GROUP,5106136030,658.53
Communities & Local Government,DCLG,01/06/2010,"Furniture, Fittings and carpets",Finance and Corporate Services,HERMAN MILLER LTD,5106135965,"6,943.08"
Communities & Local Government,DCLG,01/06/2010,Travel and Subsistence Account,Finance and Corporate Services,VENN GROUP,5106135886,"1,888.40"
Communities & Local Government,DCLG,01/06/2010,Travel and Subsistence Account,Communities Group,BEDS & LUTON FIRE & RESCUE SERVICE,5106135963,529.08
Communities & Local Government,DCLG,01/06/2010,IT Consumables,Communities Group,BANNER BUSINESS SUPPLIES LTD,5106135504,852.16
Communities & Local Government,DCLG,01/06/2010,IT Consumables,Communities Group,BANNER BUSINESS SUPPLIES LTD,5106136172,734.15
Communities & Local Government,DCLG,01/06/2010,Post,Housing and Planning,PITNEY BOWES FINANCE PLC,5106136067,"2,054.99"
Communities & Local Government,DCLG,01/06/2010,Printing,Housing and Planning,SMITH & WATTS LIMITED,5106136137,"3,149.00"
Communities & Local Government,DCLG,01/06/2010,Publicity,Housing and Planning,TAURUS PRINT & DESIGN LTD,5106136048,"1,896.00"
Communities & Local Government,DCLG,01/06/2010,Publicity,Communities Group,MEDIA MOGULS,2100191113,"-4,621.50"
Communities & Local Government,DCLG,01/06/2010,Publicity,Communities Group,MEDIA MOGULS,5106136075,"4,621.50"
Communities & Local Government,DCLG,01/06/2010,Rent,Communities Group,CB RICHARD ELLIS,5106136149,"354,372.47"
Communities & Local Government,DCLG,01/06/2010,Research,Housing and Planning,JONES LANG LASALLE LTD,5106136100,"2,102.35"
Communities & Local Government,DCLG,01/06/2010,Research,Housing and Planning,OXFORD UNIVERSITY,2100191114,"-5,366.00"
Communities & Local Government,DCLG,01/06/2010,Research,Housing and Planning,OXFORD UNIVERSITY,5106134546,"5,366.00"
Communities & Local Government,DCLG,01/06/2010,Research,Housing and Planning,QUALITY BUSINESS MANAGEMENT LTD,5106134114,"8,248.50"
Communities & Local Government,DCLG,01/06/2010,Research,Finance and Corporate Services,MILLER MITCHELL BURLEY LANE LTD,5106136050,"83,352.74"
Communities & Local Government,DCLG,01/06/2010,Training,Finance and Corporate Services,BPP PROFESSIONAL EDUCATION,5106124984,"1,701.31"
Communities & Local Government,DCLG,01/06/2010,Training,Communities Group,WEST SUSSEX CC,5106136131,"4,034.24"
Communities & Local Government,DCLG,01/06/2010,Training,Communities Group,PARITY TRAINING LTD(INSOLVENT),5106136060,"3,750.00"
Communities & Local Government,DCLG,01/06/2010,Training,Human Resources,NATIONAL SCHOOL OF GOVERNMENT,5106136073,825.00
Communities & Local Government,DCLG,01/06/2010,Training,Human Resources,NATIONAL SCHOOL OF GOVERNMENT,5106136118,"7,500.00"
Communities & Local Government,DCLG,01/06/2010,Vehicle Maintenance,Human Resources,CYCLESCHEME LTD,5106136088,991.95
Communities & Local Government,DCLG,01/06/2010,Waste Disposal and pest control,Finance and Corporate Services,EAST LONDON COM RECYCLING PSHIP,5106135920,"1,116.25"
Communities & Local Government,DCLG,01/06/2010,Vehicle hire,Communities Group,GOVERNMENT CAR & DESPATCH AGENCY,5106135937,"2,493.13"
Communities & Local Government,DCLG,01/06/2010,Medals,Communities Group,ROYAL MINT,5106135755,"3,867.81"
Communities & Local Government,DCLG,01/06/2010,Medals,Communities Group,ROYAL MINT,5106135800,523.46
Communities & Local Government,DCLG,01/06/2010,Medals,Communities Group,ROYAL MINT,5106135910,"1,221.41"
Communities & Local Government,DCLG,01/06/2010,Telephone call costs,Communities Group,BABCOCK CRITICAL SERVICES LTD,5106136135,"1,562.50"
Communities & Local Government,DCLG,01/06/2010,Grant in Aid to NDPBs (non budget),Housing and Planning,HOMES & COMMUNITIES AGENCY,2100190996,"6,471,607.00"
Communities & Local Government,DCLG,01/06/2010,Steady State Service Provision,Housing and Planning,AEA TECHNOLOGY ENVIRONMENT,5106136090,"29,765.69"
Communities & Local Government,DCLG,01/06/2010,Property/Estates Consultancy,Finance and Corporate Services,VEALE WASBROUGH SOLICITOR,5106135895,"1,474.08"
Communities & Local Government,DCLG,01/06/2010,Property/Estates Consultancy,Finance and Corporate Services,TURNER & TOWNSEND,5106136108,"59,297.55"
Communities & Local Government,DCLG,01/06/2010,Property/Estates Consultancy,Finance and Corporate Services,BNP PARIBAS REAL ESTATE,5106136046,"8,225.00"
Communities & Local Government,DCLG,02/06/2010,Investment Properties,Finance and Corporate Services,DRIVERS JONAS (DELOITTE LLP),5106136226,"4,500.00"
Communities & Local Government,DCLG,02/06/2010,Goods Received/Invoice Received,Finance and Corporate Services,PLANNING INSPECTORATE,5106133412,"-10,349.61"
Communities & Local Government,DCLG,02/06/2010,Conferences,Regions and Communities,GROSVENOR HOTEL VICTORIA,5106136206,662.84
Communities & Local Government,DCLG,02/06/2010,Domestic Services,Finance and Corporate Services,MITIE SECURITY LTD,5106136104,"1,388.87"
Communities & Local Government,DCLG,02/06/2010,IT Maintenance,Finance and Corporate Services,COMPUTACENTER (UK) LTD,5106135560,"1,592.78"
