Post unique reference,Name,Grade,Job Title,Job/Team Function,Parent Department,Organisation,Unit,Contact phone,Contact e-mail,Reports To,Notes
104016,Ursula Brennan,SCS4,2nd Permanent Undersecretary,2nd Permanent Undersecretary,Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,5654,
113908,,SCS1,Agency Secretary MDPGA,"The Agency Secretary MDPGA is responsible for providing Financial, Secretarial, Parliamentary and other Corporate service assistance and advice to the Chief Constable/Chief Executive of the MDPGA and other senior colleagues",Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,00100916 CCMDP,
1062831,,OF6,Air Attach?,"Performs the duties of both the Air Attach? and the Assistant Defence Attach? in Washington. Provides Her Majesty?s Ambassador and the Defence Attach? with specialist advice on all air, space and cyberspace power matters. Responsibilities include playing a key role in fostering close engagement with the air arms of each of the US Forces, in particular their air, space and cyberspace related elements. Ensuring maximum interoperability between the UK and US Armed Forces, so that when the UK undertakes any form of military operation with the US we can operate together efficiently, effectively and with trust.",Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,Head British Defence Staff - United States,
1057629,PAUL COLLEY,OF7,"ASSISTANCE CHIEF OF DEFENCE STAFF (DEVELOPMENT, CONCEPTS AND DOCTRINE)","RESPONSIBLE FOR SDSR, COMPREHENSIVE SPENDING REVIEW AND DEFENCE REFORM PREPARATION AND IMPLEMENTATION. PLANNING ROUND, IN YEAR MANAGEMENT, PERFORMANCE MANAGEMENT, ANNUAL REPORT & ACCOUNTS, CHANGE PORTFOLIO, ",Ministry of Defence,Ministry of Defence,Central Top Level Budget,020 7218 1396,DGStrat-BusMan@mod.uk,00179598 DIRECTOR GENERAL STRATEGY,
1055224,,OF7,ASSISTANCE CHIEF OF DEFENCE STAFF (STRATEGY AND PLANS),"RESPONSIBLE FOR SDSR, COMPREHENSIVE SPENDING REVIEW AND DEFENCE REFORM PREPARATION AND IMPLEMENTATION. PLANNING ROUND, IN YEAR MANAGEMENT, PERFORMANCE MANAGEMENT, ANNUAL REPORT & ACCOUNTS, CHANGE PORTFOLIO, ",Ministry of Defence,Ministry of Defence,Central Top Level Budget,020 7218 1396,DGStrat-BusMan@mod.uk,00179598 DIRECTOR GENERAL STRATEGY,
1056170,David Murray,OF7,Assistant Chief Defence Staff (Personnel) / Defence Services Secretary ,"One of two Service Personnel Operating Officers (SPOO). ACDS(Pers) also has the role of Defence Services Secretary (DS Sec). The Honours and Ceremonial Division supports ACDS(Pers) in both roles. The Division has a wide portfolio focused on policy for medals and commemorations; and Royal Household business. DS Sec is a member of the Royal Household. DS Sec also manages tri-Service appointments and Senior Officer remuneration in support of CDS. The DS Sec and the Royal Household Team, support the Queen as Head of the Armed Forces and ensures effective liaison between the Royal Household and the MOD. The team has responsibility for: military manpower support; submissions; petitions; Royal patronage; and the co-ordination of Royal Visits to the Armed Forces. The Ceremonial Events and Commemorations Team, develops and implements policies and events for national recognition of Armed Forces personnel, including being responsible for tri-Service policy for the national commemoration of anniversaries of significance to the Armed Forces and the MOD, and the delivery of these events. ",Ministry of Defence,Ministry of Defence,Central Top Level Budget,0207 218 1561 ,DCDS PERS-DCDS-SHARED MAILBOX,1056166 - Deputy Chief Defence Staff (Personnel & Training),
1107045,Greg Smith ,OF7,Assistant Chief Defence Staff Reserves & Cadets,"ACDS(R&C) the senior Reservist in defence, reports to DCDS(PERS and TRG) and is responsible for ensuring the development of coherent Reserve Force capability and policy for Youth and Cadets across the three services.  The role shapes the use of Reserve Forces in the near term as well as developing the strategic direction for reserves through interaction with a wide variety of stakeholders including the Secretary of State, Ministers and single Service Chiefs.  As one of the six 2* officers within DCDS(PERS and TRNG) ACDS (R&C) fulfils a key role in the wider management of Service personnel both regular and reserve.

",Ministry of Defence,Ministry of Defence,Central Top Level Budget,0207 218 5740,DRFC-Office (MULTIUSER),1056166 - Deputy Chief Defence Staff (Personnel & Training),
1055716,Jonathan Shaw,OF7,Assistant Chief of Defence Staff International Security Policy ,"Security co-operation activity-  the Levant, Sub-Saharan Africa, South and South East Asia; UK and NATO nuclear deterrence policy; Defence Attach? champion; Armed Forces Parliamentary Scheme; ",Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,Director General Security Policy & Operations:Deputy Chief of Defence Staff Operations: ,
1055692,David Capewell,OF7,Assistant Chief of Defence Staff Operations,"Operational strategy and planning; direction and conduct of operations at the strategic level; maintenance of policy context for planning and conduct of operations; Defence Crisis Management Organisation process;Joint Capability; Middle East/Central America/South America (inc Peru, Colombia, Ecuador, Venezuela)           ",Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,Deputy Chief of Defence Staff Operations: Director General Security Policy & Operations,
1058719,Maj-Gen J Thomas,OF7,Assistant Chief of the Defence Staff (Intelligence Capability),ACDS(IC) is responsible for joint intelligence collection in support of Defence and wider Government requirements; joint and single service intelligence language and photography training; future intelligence collection capability strategy and plans.,Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,1058711,
139151,,SCS1,Attorney General & Legal Advisor Cyprus,MOD Legal Advisor,Ministry of Defence,Ministry of Defence,Permanent Joint HQ,,,139073,
100916,"Love, Stephen",SCS2,Chief Constable MoD Police & Guarding Agency,"The MDP Chief Constable is responsible (as Chief Executive of the Ministry of Defence, Policing and Guarding Agency) for the delivery of effective Policing and Guarding in support of the UK's Defence capability. The focus of all Agency activity is to counter the following main crime and security risks faced by the MOD: Terrorist attack and the threat of attack: disruption and disorder caused by protestors; theft of key assets; major financial fraud; and unauthorised intrusion onto the Defence Estate",Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,00104017 DGHRCS,
104025,,SCS1,Chief Executive Defence Vetting Agency,"CE-DVA is responsible for the delivery of vetting services to the Defence community (the three Armed Services, MOD civil service, and Defence contractors).   DVA also deliver a range of NSV services on a repayment basis to a growing community of customers across the public sector, with more repayment customers than any other UK NSV organisation.  DVA is the UK's largest government organisation carrying out National Security Vetting (NSV) and the only government organisation whose core business is NSV",Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,00111789 DBR,
105236,"Hutchinson, Mark",SCS2,"Chief Executive People, Pay & Pensions Agency",CE-PPPA is responsible for the delivery of Civilian Shared Services to MOD and wider Government customers in line with agreed outputs and targets,Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,00104017 DGHRCS,
1448387,Kathy Barnes ,SCS2,Chief Executive Service Personnel & Veterans Agency,"SPVA provides harmonised personnel administration services and accurate payment of pay, allowances and pensions to the serving and Veterans communities.",Ministry of Defence,Ministry of Defence,Central Top Level Budget,02392 702088 ,CE@SPVA.MOD.UK,1056166 - Deputy Chief Defence Staff (Personnel & Training),
111797,John Taylor,SCS2,Chief Information Officer (CIO),"Working with the authority of 2nd PUS & VCDS the CIO seeks to drive forward the information agenda through engagement with all stakeholders via the reinforced Defence information governance network. The MOD Information Strategy (MODIS 2009) has been developed in consultation with all TLB CIOs and Information Champions in Defence, and sets out how MOD will achieve the Defence Information Vision.",Ministry of Defence,Ministry of Defence,Central Top Level Budget,0207 218 2636 ,CIO-SecPlans@mod.uk,2nd PUS
1058711,AM C M Nickols,OF8,Chief of Defence Intelligence,MoD principal adviser on defence intelligence issues. Process owner for defence intelligence and Senior Responsible Owner for the Defence Intelligence Modernisation Programme. ,Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,1056191
155792,Sir Jock Stirrup,OF9,Chief of the Defence Staff,Chief of the Defence Staff,Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,155805
105227,Mark Welland,SCS4,Chief Scientific Advisor,Chief Scientific Advisor,Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,155805
111801,,SCS1,CIO-Corporate Information-Head,"Corporate Information organisation is responsible for key areas of MOD?s corporate management of information, through setting policy and providing certain corporate services for capturing and managing records; making information available internally and externally via the web and information centres; releasing (and withholding) information in line with access legislation; and making use of historical information in support of business and operational needs. ",Ministry of Defence,Ministry of Defence,Central Top Level Budget,0207 218 2636 ,CIO-SecPlans@mod.uk,CIO
111803,,OF6,CIO-Information Strategy&Policy-Head,"Responsible for Delivering the Defence Information Vision through MODIS and the Implementation Plan, whilst encouraging Defence to fully exploit its information with robust policy, guidance and information innovation that will realise value for money",Ministry of Defence,Ministry of Defence,Central Top Level Budget,0207 218 2636 ,CIO-SecPlans@mod.uk,CIO
111804,,OF6,CIO-Joint 6 Information Strategy&Policy,D/CBM/J6?s mission is to enable robust command and control now and in the future in order to assure successful prosecution of MOD?s strategic objectives and commitments,Ministry of Defence,Ministry of Defence,Central Top Level Budget,0207 218 2636 ,CIO-SecPlans@mod.uk,CIO
1596254,,OF6,Commandant - Defence Dental Service,Senior dental officer.  Policy and planning of dental services,Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,1364692 - Comd JMC - AVM P Evans
1143483,,OF6,Commandant of the Defence Intelligence and Security Centre ,"Commandant DISC is dual-hatted as Director of the Intelligence Corps.˜ As Comdt, he is responsible for delivering training to tri-Service personnel and Civil Servants through the Defence Schools of Intelligence (Chicksands), Languages (Beaconsfield) and Photography (Cosford) as well as the Royal School of Military Survey (Hermitage).˜ As Director he is responsible to CGS for setting and monitoring the standards of the Army?s Intelligence Corps and for the provision of intelligence and security advice to the General Staff.",Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,1058719
1364692,AVM P EVANS,OF7,Commander - Joint Medical Command,commands JMC in order to deliver med op cap and healthcare  ,Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,1597768 - SG - Surg V Adm P RAFFAELLI
1058158,,OF6,Commander Intelligence Collection Group,"Commander Intelligence Collection Group is responsible for the ICG and through its constituent Units (JAGO, JARIC, DGC, JSSO and DHO), delivers global intelligence, information, services and force elements to Defence, including deployed forces and to OGD and international partners, underpinning strategic to tactical level decision-making and action in order to support the achievements of Defence objectives.˜",Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,1058719
144814,,SCS1,Counsellor Defence Acquisition and Technology,"Responsible for the management and direction of a team of civilian and military staff organized as a Defence Equipment team, a Science and Technology team and a Command, Control, Communications, Computers, Intelligence, Surveillance and Reconnaissance (C4ISR) team. Together their responsibilities include: support to operations; delivery of a step change in the US-UK science and technology relationship; development of the US-UK Bilateral Defence Acquisition Committee; support to UK capability procurement and development; and support to UKTI objectives for the US.",Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,Minister (Defence Materiel)
144816,,SCS1,Counsellor Defence Policy and Nuclear,"Responsible for management and direction of a civilian and military staff organized as a Defence Policy Team and a Nuclear Strategic Deterrent and Chemical Biological and Radiological Defence (NSD & CBRD) Team. The Defence Policy Team promotes cooperation and dialogue with the
US defence community on strategic defence and national security issues and supports policy work on current military operations issues. The NSD & CBRD Team supports US/UK collaboration on nuclear deterrence; weapon stockpile reduction, testing and compliance and threat reduction; as well as, collaboration on chemical, biological, radiological,nuclear defence; and dialogue on ballistic missile defence.",Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,Minister (Defence Materiel)
106029,"Stephens,David James Edwin",SCS2,CTLB Director,Corporate Services,Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,00104016 - 2nd PUS
106032,,SCS1,CTLB Fin-Hd,Finance,Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,00106029 - CTLB Director
110351,,SCS1,CTLB SSBC-Hd,"Security, Safety & Business Continuity",Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,00106029 - CTLB Director
111800,,SCS1,DBR-Head of Common Law Claims & Policy,"Head of DBR-Common Law Claims & Policy (DBR-CLC&P) is primarily responsible for processing common law, non-contractual, compensation claims against and on behalf of the MOD at home and overseas emanating from Employers Liability (Service and Civilian), Public Liability, Low Flying military aircraft, Maritime and Clinical Negligence. DBR-CLC&P also has responsibility for providing claims policy advice to Ministers and senior officials; handling claims against foreign forces based in the UK in accordance with NATO SOFA; providing advice on insurance and indemnities, and as Role Owner for Area Claims Officers in operational theatres.  The annual claims budget is approx ?100M.",Ministry of Defence,Ministry of Defence,Central Top Level Budget,,,00111789 DBR,,,
