Post Unique Ref,JPA Post Number ,Forename,Surname ,Grade / Rank,Job Title,Job Team Function,Parent Department,Organisation,Unit,Contact phone,Contact e-mail,Reports to Post Unique Ref,Reports to Job Title,Notes,Staff Costs
9000,1498046,Sir Kevin,O'Donoghue,General,Chief of Defence Materiel,To equip and support our Armed Forces for operations now and in the future.,Ministry of Defence,Ministry of Defence,Defence Equipment & Support,0117 9130003,DESCDM-OuterOffice@mod.uk,,Chief of Defence Staff (CDS),,"?214,467"
190185,,Chris,Mace,SCS PB2,Director Defence Support Review,"The Defence Support Review team is responsible for leading a study into Defence Support for the Strategic Defence and Security Review (SDSR), focusing particularly on where savings could be made within; Training, Equipment, People, Information, Doctrine and Concepts, Organisation, Infrastructure and Logistics.  This study will investigate further radical options (including industry and international) for significantly reducing total end-to-end support and logistics costs through transformed support arrangements, changes to wider planning assumptions and capability assumptions, and efficiencies. This study is responsible for ensuring that realistic support savings identified in previous studies are implemented, and that support savings in other SDSR work streams and the current financial Planning Round are captured and clearly articulated.  ",Ministry of Defence,Ministry of Defence,Defence Equipment & Support,0117 9130003,DESCDM-OuterOffice@mod.uk,9000,Chief of Defence Materiel,"Lifed  Post, no permanent staff",?0
9102,1050709,Jeff,Mason,Major General Royal Marines,Assistant Chief of Defence Staff (Logistic Operations),"ACDS (Log Ops) is responsible to DCDS(Ops) for the provision of strategic logistics advice in support of current and contingent operations. As the Logistics Process Architect, ACDS (Log Ops) is accountable to CDM (in his role of Logistics Process Owner) for the coherent and consistent delivery of Logistics across Defence. The team is based in Main Building and in Ensleigh, funded by DE&S.  ",Ministry of Defence,Ministry of Defence,Defence Equipment & Support,0207 218 2330,acdslogops-MA@mod.uk,9000,Chief of Defence Materiel,"Based in London, Line Managed by DCDS(Ops)","?78,265"
9155,1580294,,,Air Commodore,Head Defence Logistics Policy,"Def Log Pol leads the development of policy and strategy in support of ACDS (Log Ops) in his role as Logistics Process Architect, working to bring coherence and consistency to the development of logistics capabilities and delivery of the logistics process.  The team is based in Ensleigh. ",Ministry of Defence,Ministry of Defence,Defence Equipment & Support,208 218 2330,acdslogops-MA@mod.uk,9102,Assistant Chief Defence Staff (Logistic  Operations),,"?3,107,211"
9105,1498097,,,Brigadier,Head Defence Logistic Operations,"As part of the Defence Crisis Management Organisation, Def Log Ops provides strategic logistics input to current and contingent operations.  In addition, Def Log Ops is the Defence Joint User for Logistics and is the focus for the UK's multinational logistics engagement with NATO, the EU and partner nations. The team is based in Main Building.   ",Ministry of Defence,Ministry of Defence,Defence Equipment & Support,209 218 2330,acdslogops-MA@mod.uk,9102,Assistant Chief Defence Staff (Logistic  Operations),,"?1,034,961"
9005,,Trevor,Woolley,SCS PB3,Chief Corporate Services,"The Chief of Corporate Services (CCS) is responsible for the coherent management of the cross-cutting business within DE&S ? notably HR, commercial, safety, infrastructure, security, and information, along with a number of stand alone activities.  ",Ministry of Defence,Ministry of Defence,Defence Equipment & Support,0117 9132601,DESCCS-PS@mod.uk,9000,Chief of Defence Materiel,,"?63,291"
178,,,,SCS PB1,Head of International Relations ,"IRG is the focal point within DE&S for initiatives and policies in multi-national organisations such as NATO, the European Commission, the European Defence Agency (EDA) and the Organisation for Joint Armaments Co-operation (OCCAR), is responsible for effective government-to-government relationships with key national partners such as the USA and France, and leads for DE&S on  restructuring of European Defence Industry.  IRG also leads on the negotiation of procurement-related Memoranda of Understanding (MOU) with partner nations.  ",Ministry of Defence,Ministry of Defence,Defence Equipment & Support,0117 9132601,DESCCS-PS@mod.uk,9005,Chief Corporate Services,,"?498,504"
9190,,,,SCS PB1,Head of Infrastructure,"The DE&S Infrastructure team is responsible for the most complex and difficult infrastructure in the MoD estate, ranging from the three major Naval bases to very large explosive stores.  The DE&S Infrastructure itself poses significant operational, safety, security and environmental risks to maintaining outputs and the groups within the Infrastructure team provide expert knowledge and skills to manage those risks. ",Ministry of Defence,Ministry of Defence,Defence Equipment & Support,0117 9132601,DESCCS-PS@mod.uk,9005,Chief Corporate Services,,"?3,434,817"
180876,,,,SCS PB1,Head of Sustainable Procurement,"MOD is heavily reliant on fossil fuels and other scarce resources and produces an estimated 6m tonnes of CO2 each year.  We therefore have a key role to play in tackling the implications of climate change and resource depletion and ensuring that Defence Capability can be delivered effectively in the long-term.  This team is responsible for integrating Sustainable Development principles throughout MOD acquisition processes, taking a through-life approach to procurement to deliver solutions which consider all aspects of Sustainable Development, and working to maintain and improve operational sustainability.  ",Ministry of Defence,Ministry of Defence,Defence Equipment & Support,0117 9132601,DESCCS-PS@mod.uk,9005,Chief Corporate Services,,"?297,391"
9474,,,,SCS PB1,Head of Equipment Support Continuous Improvement Team,"ESCIT provides an enduring in-house support solution advice capability in order to deliver effectiveness, efficiency and flexibility benefits to the Armed Forces. 
ESCIT works with project teams to help them realise the benefits of optimising the support chains of the equipment and systems operated by the Armed Forces. The team has a proven track record of delivering efficiencies over the past five years. The return on investment generated by the team is currently 27:1 near cash. ",Ministry of Defence,Ministry of Defence,Defence Equipment & Support,0117 9132601,DESCCS-PS@mod.uk,9005,Chief Corporate Services,,"?2,227,548"
172101,,Kevin,Leeson,Air Marshal,Chief of Materiel (Air),"COM(Air) is accountable to CDM for ensuring the operational focus of DE&S and its outputs to meet DCDS(Cap) and Front Line Command requirements.˜ This includes assuring the supply and support of Air systems and logistics to current and future operations. ˜A member of the DE&S Main Board, Air Force Board, Air Command Operating Board, Joint Command Board and Extended Joint Capability Board, COM(Air) negotiates the Air Command agreed 4-year support programme and the associated Joint Business Agreement.˜ COM(Air) is also responsible for oversight of technical airworthiness within DE&S, and is Chief Engineer (RAF).  ",Ministry of Defence,Ministry of Defence,Defence Equipment & Support,0117 9130101,DESCofMAir-MA1@mod.uk,9000,Chief of Defence Materiel,,"?149,997"
153366,,,,Air Commodore,Head Customer Support Team (Air),The primary role of Customer Support Team (Air) is to provide situational awareness and business intelligence to enable Chief of Materiel (Air) to assure DE&S performance across the Air Domain.  ,Ministry of Defence,Ministry of Defence,Defence Equipment & Support,0117 9130101,DESCofMAir-MA1@mod.uk,172101,Chief of Materiel (Air),,"?1,886,710"
170311,,Andy,Mathews,Vice Admiral,Chief of Materiel (Fleet),"Accountable to CDM for ensuring the operational focus of DE&S and its outputs to meet DCDS(Cap) and˜the Navy's requirements.  The˜Navy's whole equipment and˜logistic support structure reside within DE&S and is budgeted˜by Navy Command Headquarters; COMF manages the Business Agreement that governs this process.˜ Additionally, he has a governance role through the DE&S Investment Board, ensuring all projects are delivered to cost, performance and time.˜ Finally,˜he manages the Naval Bases Operating Centre, which includes three Naval Bases and a number of critical˜maritime enabling Integrated Project Teams. ",Ministry of Defence,Ministry of Defence,Defence Equipment & Support,0117 9130045,DESCofMFleet-OuterOffice@mod.uk,9000,Chief of Defence Materiel,,"?138,394"
9285,,,,SCS PB1,Head Maritime Change Programme,"The Maritime Change Programme provides an overarching framework encompassing a federation of change programmes in the DE&S Maritime domain. Accountable to CoM(F) and COO, the team was established to maximise the early benefits from these programmes, manage the coherency between programmes, and exploit the opportunities arising from the Defence Industrial Strategy. The vision is to achieve an optimised maritime sector, including the three Naval Bases, by realising four main outcomes: 
Centres of Specialisation in Upkeep, Fleet Time Engineering and Amphibious expertise; 
Industry incentivised to improve performance and reduce cost; 
optimum flexibility and capacity commensurate with the Navy Command agreed level of risk; 
sufficient skills base and Suitably Qualified and Experienced Personnel to satisfy an intelligent customer role. ",Ministry of Defence,Ministry of Defence,Defence Equipment & Support,0117 9130045,DESCofMFleet-OuterOffice@mod.uk,170311,Chief of Materiel (Fleet),,"?1,295,555"
62452,,,,Commodore,Naval Base Commander Portsmouth,"Portsmouth Naval Base is the home of almost two-thirds of the Royal Navy's surface ships, including the current carriers, Type 45, Type 42, Hunt-class mine hunters, and half of the Type 23 fleet; and will be the home of the Queen Elizabeth Class.  Commander Naval Base Portsmouth is responsible for the delivery of the Sea Mounting Centre at Marchwood, and is the Senior Reporting Officer for the Defence Marine Services.  The Naval Base is home to and supports many MOD and Lodger units.˜ The Naval Base Commander is accountable to Director Ships for the delivery and support of the Surface Ships based at Portsmouth.˜ In partnership with the BAES Surface Ships, he is responsible for providing the quality of service outputs required to support ships, support the base and support people at the Naval Base. ",Ministry of Defence,Ministry of Defence,Defence Equipment & Support,0117 9130045,DESCofMFleet-OuterOffice@mod.uk,170311,Chief of Materiel (Fleet),,"?22,296,590"
65000,1574887,,,Commodore,Naval Base Commander Devonport,"Devonport Naval Base is home to the Royal Navy?s large amphibious ships, the Hydrographic Surveying Squadron, Trafalgar Class submarines and approximately two thirds of the frigate force. It is also the principal base for Flag Officer Sea Training and his operational sea training staff.  The Naval Base Commander is accountable to Director Ships and Director Submarines for the upkeep of all ships and submarines based at Devonport.  Babcock Marine own approximately one half of the site, and the Babcock Terms of Business Agreement sets out a long term partnering agreement for surface ship and submarine support at Devonport. ",Ministry of Defence,Ministry of Defence,Defence Equipment & Support,0117 9130045,DESCofMFleet-OuterOffice@mod.uk,170311,Chief of Materiel (Fleet),,"?23,388,666"
