Department Family,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction number,Amount in Sterling
Communities & Local Government,GO,04/01/2011,Accommodation Service Charges,RCU - PAM - Property Asset Management,HSBC BANK PENSION TRUSTEES (UK) LTD,5106154189,"2,478.90"
Communities & Local Government,GO,04/01/2011,Rent,RCU - PAM - Property Asset Management,HSBC BANK PENSION TRUSTEES (UK) LTD,5106154189,"8,768.44"
Communities & Local Government,GO,04/01/2011,Training,GORCU Admin DEL Votd,PRICEWATERHOUSECOOPERS,5106154186,"2,881.00"
Communities & Local Government,GO,05/01/2011,Gas,RCU - PAM - Property Asset Management,BRITISH GAS BUSINESS,5106154246,"2,166.82"
Communities & Local Government,GO,05/01/2011,Rent,RCU - PAM - Property Asset Management,DERWENT VALLEY CENTRAL LTD,5106153980,"682,968.75"
Communities & Local Government,GO,05/01/2011,Stationery,GOSE,DCLG GOVERNMENT PROCUREMENT CARD,1000002901,764.55
Communities & Local Government,GO,05/01/2011,Subscriptions,GOSE,DCLG GOVERNMENT PROCUREMENT CARD,1000002907,554
Communities & Local Government,GO,05/01/2011,Training,GOEM,DCLG GOVERNMENT PROCUREMENT CARD,1000002905,853.06
Communities & Local Government,GO,05/01/2011,Training,GOEM,DCLG GOVERNMENT PROCUREMENT CARD,1000002905,510
Communities & Local Government,GO,05/01/2011,Training,GOEM,HESTIA MANAGED SERVICES LIMITED,2100188069,"1,721.38"
Communities & Local Government,GO,05/01/2011,Training,GONE,SAFETY NET ASSOCIATES LIMITED,5106154190,695
Communities & Local Government,GO,05/01/2011,Training,GORCU Admin DEL Votd,FARADAY PARTNERSHIP LTD,5106154237,"2,825.00"
Communities & Local Government,GO,05/01/2011,Training,GOSW,BREATHING SPACE PERSONAL GROWTH LTD,2100188063,899
Communities & Local Government,GO,05/01/2011,Variable Maintenance < £15k,RCU - PAM - Property Asset Management,TAYLOR WOODROW CONSTRUCTION,5106154121,695.03
Communities & Local Government,GO,06/01/2011,Agency Staff,GOYH,REED SPECIALIST RECRUITMENT LTD,5106154328,803.27
Communities & Local Government,GO,06/01/2011,Conferences and Meeting Facilities,GOE,RDA - EAST ENGLAND DEVELOPMENT AGEN,5106154257,"11,444.11"
Communities & Local Government,GO,06/01/2011,Fares UK,GOYH,REDFERN TRAVEL LIMITED,2100188094,"5,513.12"
Communities & Local Government,GO,06/01/2011,Gas,RCU - PAM - Property Asset Management,CORONA ENERGY LTD,5106154185,"2,369.16"
Communities & Local Government,GO,06/01/2011,Hospitalty,GOE,BAXTERSTOREY LTD,2100188086,765.9
Communities & Local Government,GO,06/01/2011,IT Maintenance,GORCU Admin DEL Votd,FUJITSU SERVICES LTD,5106154259,"29,534.84"
Communities & Local Government,GO,06/01/2011,Rent,RCU - PAM - Property Asset Management,CELTIC LAND (PLYMOUTH) LTD,5106154183,"80,781.25"
Communities & Local Government,GO,06/01/2011,Rent,RCU - PAM - Property Asset Management,JONES LANG LASALLE,5106154339,"167,437.50"
Communities & Local Government,GO,06/01/2011,Subscriptions,GOYH,DCLG GOVERNMENT PROCUREMENT CARD,1000002910,780
Communities & Local Government,GO,06/01/2011,Telephone call costs,GORCU Admin DEL Votd,CABLE & WIRELESS,5106154305,"1,005.41"
Communities & Local Government,GO,06/01/2011,Telephone call costs,GORCU Admin DEL Votd,CABLE & WIRELESS,5106154309,565.04
Communities & Local Government,GO,06/01/2011,Telephone call costs,GORCU Admin DEL Votd,CABLE & WIRELESS,5106154311,507.56
Communities & Local Government,GO,06/01/2011,Telephone call costs,GORCU Admin DEL Votd,MEETINGZONE LTD,5106154303,"1,615.15"
Communities & Local Government,GO,06/01/2011,Training,GONW,EUGEOS LIMITED,5106154326,"2,961.00"
Communities & Local Government,GO,06/01/2011,Training,GOSE,PPA,2100188091,798
Communities & Local Government,GO,06/01/2011,Training,GOWM,BATALAS LTD,2100188089,523.46
Communities & Local Government,GO,06/01/2011,Training,GOYH,DCLG GOVERNMENT PROCUREMENT CARD,1000002910,985
Communities & Local Government,GO,07/01/2011,Agency Staff,GOE,CAVILL ROBINSON FINANCIAL RCRTMT LT,5106154384,"1,017.17"
Communities & Local Government,GO,07/01/2011,Fares UK,GOEM,REDFERN TRAVEL LIMITED,2100188109,"1,722.10"
Communities & Local Government,GO,07/01/2011,Fares UK,GORCU Admin DEL Votd,REDFERN TRAVEL LIMITED,2100188109,742.85
Communities & Local Government,GO,07/01/2011,Storage,GONE,CROWN RECORDS MANAGEMENT LTD,5106154341,"1,239.64"
Communities & Local Government,GO,07/01/2011,Telephone call costs,GORCU Admin DEL Votd,FUJITSU SERVICES LTD,5106154359,"68,576.56"
Communities & Local Government,GO,07/01/2011,Training,GOEM,DRIVING DOCTOR,2100188112,500
Communities & Local Government,GO,07/01/2011,Training,GOEM,EXPONENTIAL TRAINING & ASSESSMENT L,2100188113,"1,521.63"
Communities & Local Government,GO,07/01/2011,Training,GOEM,HOMES & COMMUNITIES AGENCY,2100188111,235
Communities & Local Government,GO,07/01/2011,Training,GOEM,HOMES & COMMUNITIES AGENCY,2100188111,235
Communities & Local Government,GO,07/01/2011,Training,GOEM,HOMES & COMMUNITIES AGENCY,2100188111,235
Communities & Local Government,GO,07/01/2011,Training,GOEM,HOMES & COMMUNITIES AGENCY,2100188111,235
Communities & Local Government,GO,07/01/2011,Travel and Subsistence Account,GOE,REDFERN TRAVEL LIMITED,2100188107,"2,072.40"
Communities & Local Government,GO,07/01/2011,Travel and Subsistence Account,GONE,REDFERN TRAVEL LIMITED,2100188108,127.49
Communities & Local Government,GO,07/01/2011,Travel and Subsistence Account,GONE,REDFERN TRAVEL LIMITED,2100188108,-111.3
Communities & Local Government,GO,07/01/2011,Travel and Subsistence Account,GONE,REDFERN TRAVEL LIMITED,2100188108,157.59
Communities & Local Government,GO,07/01/2011,Travel and Subsistence Account,GONE,REDFERN TRAVEL LIMITED,2100188108,-173.63
Communities & Local Government,GO,07/01/2011,Travel and Subsistence Account,GONE,REDFERN TRAVEL LIMITED,2100188108,234.28
Communities & Local Government,GO,07/01/2011,Travel and Subsistence Account,GONE,REDFERN TRAVEL LIMITED,2100188108,261.96
Communities & Local Government,GO,07/01/2011,Travel and Subsistence Account,GONE,REDFERN TRAVEL LIMITED,2100188108,267.78
Communities & Local Government,GO,07/01/2011,Travel and Subsistence Account,GONE,REDFERN TRAVEL LIMITED,2100188108,-97.29
Communities & Local Government,GO,07/01/2011,Travel and Subsistence Account,GONE,REDFERN TRAVEL LIMITED,2100188108,-121.92
Communities & Local Government,GO,07/01/2011,Travel and Subsistence Account,GONE,REDFERN TRAVEL LIMITED,2100188108,261.96
Communities & Local Government,GO,07/01/2011,Travel and Subsistence Account,GONE,REDFERN TRAVEL LIMITED,2100188108,0
Communities & Local Government,GO,07/01/2011,Travel and Subsistence Account,GONE,REDFERN TRAVEL LIMITED,2100188108,159.32
Communities & Local Government,GO,07/01/2011,Travel and Subsistence Account,GONE,REDFERN TRAVEL LIMITED,2100188108,235.83
Communities & Local Government,GO,07/01/2011,Travel and Subsistence Account,GONE,REDFERN TRAVEL LIMITED,2100188108,-218.92
Communities & Local Government,GO,07/01/2011,Travel and Subsistence Account,GONE,REDFERN TRAVEL LIMITED,2100188108,-218.92
Communities & Local Government,GO,07/01/2011,Travel and Subsistence Account,GONE,REDFERN TRAVEL LIMITED,2100188108,261.96
Communities & Local Government,GO,07/01/2011,Travel and Subsistence Account,GONE,REDFERN TRAVEL LIMITED,2100188108,42.32
Communities & Local Government,GO,07/01/2011,Travel and Subsistence Account,GONE,REDFERN TRAVEL LIMITED,2100188108,193.15
Communities & Local Government,GO,07/01/2011,Travel and Subsistence Account,GONE,REDFERN TRAVEL LIMITED,2100188108,197.04
Communities & Local Government,GO,07/01/2011,Travel and Subsistence Account,GONE,REDFERN TRAVEL LIMITED,2100188108,54.87
Communities & Local Government,GO,07/01/2011,Travel and Subsistence Account,GONE,REDFERN TRAVEL LIMITED,2100188108,135.86
Communities & Local Government,GO,07/01/2011,Travel and Subsistence Account,GONE,REDFERN TRAVEL LIMITED,2100188108,0
Communities & Local Government,GO,07/01/2011,Travel and Subsistence Account,GONE,REDFERN TRAVEL LIMITED,2100188108,0
Communities & Local Government,GO,07/01/2011,Travel and Subsistence Account,GONE,REDFERN TRAVEL LIMITED,2100188108,128.8
Communities & Local Government,GO,07/01/2011,Travel and Subsistence Account,GONE,REDFERN TRAVEL LIMITED,2100188108,94.64
Communities & Local Government,GO,07/01/2011,Travel and Subsistence Account,GONE,REDFERN TRAVEL LIMITED,2100188108,115.01
Communities & Local Government,GO,07/01/2011,Travel and Subsistence Account,GONE,REDFERN TRAVEL LIMITED,2100188108,187.57
Communities & Local Government,GO,07/01/2011,Travel and Subsistence Account,GONE,REDFERN TRAVEL LIMITED,2100188108,234.28
Communities & Local Government,GO,07/01/2011,Travel and Subsistence Account,GONE,REDFERN TRAVEL LIMITED,2100188108,257.11
Communities & Local Government,GO,07/01/2011,Travel and Subsistence Account,GONE,REDFERN TRAVEL LIMITED,2100188108,-45.29
Communities & Local Government,GO,07/01/2011,Travel and Subsistence Account,GONE,REDFERN TRAVEL LIMITED,2100188108,113.55
Communities & Local Government,GO,07/01/2011,Travel and Subsistence Account,GONE,REDFERN TRAVEL LIMITED,2100188108,60.69
Communities & Local Government,GO,07/01/2011,Travel and Subsistence Account,GONE,REDFERN TRAVEL LIMITED,2100188108,57.29
Communities & Local Government,GO,07/01/2011,Travel and Subsistence Account,GONE,REDFERN TRAVEL LIMITED,2100188108,107.35
Communities & Local Government,GO,07/01/2011,Travel and Subsistence Account,GONE,REDFERN TRAVEL LIMITED,2100188108,267.78
Communities & Local Government,GO,07/01/2011,Travel and Subsistence Account,GORCU Admin DEL Votd,REDFERN TRAVEL LIMITED,2100188108,54.85
Communities & Local Government,GO,07/01/2011,Travel and Subsistence Account,GORCU Admin DEL Votd,REDFERN TRAVEL LIMITED,2100188108,152.9
Communities & Local Government,GO,07/01/2011,Travel and Subsistence Account,GORCU Admin DEL Votd,REDFERN TRAVEL LIMITED,2100188108,51.05
Communities & Local Government,GO,07/01/2011,Travel and Subsistence Account,GORCU Admin DEL Votd,REDFERN TRAVEL LIMITED,2100188108,127.91
