Department family,Entity,Entered On,Expense Type,Expense Area,Supplier Name,Voucher,SumOfAmount
Communities And Local Government,Queen Elizabeth II Conference Centre,12/07/2010,Cost of Sales - Freelance Technicians,Interface,MATTHEW WILDE,11678,447
Communities And Local Government,Queen Elizabeth II Conference Centre,12/07/2010,Maintenance,Operations,NATIONAL CRADLE MAINTENANCE LTD,11679,2085
Communities And Local Government,Queen Elizabeth II Conference Centre,12/07/2010,Cost of Sales - Telecommunications,ITC Department,BRITISH TELECOM,11682,446.17
Communities And Local Government,Queen Elizabeth II Conference Centre,12/07/2010,Cleaners & Porters,Event Management,GBM SERVICES LIMITED,11686,3361.7
Communities And Local Government,Queen Elizabeth II Conference Centre,12/07/2010,Cleaners & Porters,Event Management,GBM SERVICES LIMITED,11687,630.56
Communities And Local Government,Queen Elizabeth II Conference Centre,12/07/2010,Cleaners & Porters,Event Management,GBM SERVICES LIMITED,11688,3658.36
Communities And Local Government,Queen Elizabeth II Conference Centre,12/07/2010,Cost of Sales - Freelance Technicians,Interface,JASON BARTON,11689,431
Communities And Local Government,Queen Elizabeth II Conference Centre,12/07/2010,Consultants,Commercial,Jude Cosway Consultancy Services,11690,2065
Communities And Local Government,Queen Elizabeth II Conference Centre,12/07/2010,Cost of Sales - Freelance Technicians,Interface,DENE UNSWORTH,11696,608
Communities And Local Government,Queen Elizabeth II Conference Centre,12/07/2010,Cost of Sales - Freelance Technicians,Interface,DENE UNSWORTH,11697,631
Communities And Local Government,Queen Elizabeth II Conference Centre,12/07/2010,Marketing,Commercial,VOHM,11698,750
Communities And Local Government,Queen Elizabeth II Conference Centre,12/07/2010,Agency Labour,Commercial,Poolia UK Ltd,11700,504.74
Communities And Local Government,Queen Elizabeth II Conference Centre,13/07/2010,Cleaners & Porters,Event Management,GBM SERVICES LIMITED,11707,-2831.36
Communities And Local Government,Queen Elizabeth II Conference Centre,13/07/2010,Cost of Sales - Signage,Interface,A PERTON SIGNS LIMITED,11708,4940
Communities And Local Government,Queen Elizabeth II Conference Centre,13/07/2010,Cost of Sales - Sets,Interface,A PERTON SIGNS LIMITED,11708,6404
Communities And Local Government,Queen Elizabeth II Conference Centre,13/07/2010,Agency Labour,Commercial,Poolia UK Ltd,11713,487.8
Communities And Local Government,Queen Elizabeth II Conference Centre,13/07/2010,Video Equipment,Interface,WORKING WALL LIMITED,11714,1600
Communities And Local Government,Queen Elizabeth II Conference Centre,13/07/2010,Marketing,Commercial,ANISEED PR LTD,11715,2020
Communities And Local Government,Queen Elizabeth II Conference Centre,13/07/2010,Travel,ITC Department,GREATER LONDON HIRE LTD,11716,25.25
Communities And Local Government,Queen Elizabeth II Conference Centre,13/07/2010,Travel,Operations,GREATER LONDON HIRE LTD,11716,304.23
Communities And Local Government,Queen Elizabeth II Conference Centre,13/07/2010,Travel,Event Management,GREATER LONDON HIRE LTD,11716,1036.02
Communities And Local Government,Queen Elizabeth II Conference Centre,13/07/2010,Travel,Interface,GREATER LONDON HIRE LTD,11716,141.13
Communities And Local Government,Queen Elizabeth II Conference Centre,13/07/2010,Travel,Commercial,GREATER LONDON HIRE LTD,11716,30.76
