FREEDOM OF INFORMATION,,
MOD Requests to 30 April 2010,,
"CIO-CI-Access Team, Ministry of Defence, CIO-FOI@mod.uk",,
,,

Case Number,Date Due,Request Summary
06-04-2010-103325-001,29/04/2010,Trying to find contact details for specified individuals to invite them to a conference
06-04-2010-104147-001,29/04/2010,"How many serving members of the armed forces are currently signed up to the 1975 Armed Forces Pension Scheme?  Of this number, how many have been promoted to another rank less than 12 months ago?"
06-04-2010-110846-001,05/05/2010,In the Country and Regional Analysis (CRA) there are lines of spending for the Ministry of Defence with the Program Object Group Aliases (POGA). Could you please describe in more detail what these items of spending refer to?
06-04-2010-114213-002,05/05/2010,Request for summer interchange of students to learn English/Spanish within the MoD.
06-04-2010-114233-003,29/04/2010,Nine questions concerning The Northern Ireland Recruitment and Retention Allowance and The Northern Ireland Environmental Allowance.
06-04-2010-115711-001,29/04/2010,Has any member of the ministerial team met with Sir John Chilcot to discuss plans for the proposed Fallago Rig windfarm which is being proposed for a site in the Lammermuir Hills in Scotland.
06-04-2010-121508-002,29/04/2010,"A copy of all documents and records including minutes of meetings, discussion papers, notes, signed agreements and any other pertinent material relating to: the restructuring of the Youth and Community Service of the MOD in Northern Ireland"
06-04-2010-122203-004,05/05/2010,"Requesting information, correspondence and other details reference meetings between NSG and MoD."
06-04-2010-164221-001,05/05/2010,Request information on late relative.
07-04-2010-100925-001,05/05/2010,Follow on from previous request regarding Army only awards bursaries/cadetships for medical training
07-04-2010-101255-001,30/04/2010,"Details of any outside surveillance companies employed by the Ministry of Defence over the past 3 financial years, including the name of the company employed and the financial cost of each contract to the tax payer."
07-04-2010-103647-001,30/04/2010,"Please supply a list of any surviving MoD/former Air Ministry files, currently retained by the department, in the following categories: (a) any files provisionally allocated to TNA series AIR 40 and DEFE 44, created/closed between 1945 and 1965. (b) any files created by the office of the RAF Provost Marshal, between 1950 and 1965, currently retained by the department."
07-04-2010-105556-002,30/04/2010,"Cost and time frame for the destruction of all UK stockpiles of cluster munitions, broken down by type."
07-04-2010-110957-001,04/05/2010,"Any inquiry carried out by the MOD or any of its Executive Agencies or NDPBs into the actions of Stephen Byers, Patricia Hewitt, Geoff Hoon or Margaret Moran in relation to the claims made by them in the recent Dispatches programme on TV that they may have influenced government policy inappropriately."
07-04-2010-111924-002,04/05/2010,"Information on a second world war bunker/s in Waterlow Park, London"
07-04-2010-112415-003,13/04/2010,"Calculate the actual cost of resolving the issue, taking into account the time spent by all various internal & external staff invloved, and including on-costs/overheads etc. Issue = Blocked Drain"
07-04-2010-112940-003,29/04/2010,"Follow on request a)  Which cells were affected? (b)  What was the nature of the leak? (c) Was the defect the result of a faulty repair, over pressure during AAR, or defect in manfuacture? (d)  Was there any fleet wide follow-up action? Copy of investigation report."
07-04-2010-113232-004,29/04/2010,Could you please give me an establishment/manpower breakdown of the MAA by Rank and Branch/Trade. Locations for each would be useful but not essential.
07-04-2010-120124-002,04/05/2010,Do you use any procurement frameworks for the sourcing of Interim Consultants / Employees? Temporary workers? Do you have a Preferred Supplier List for either of the activities listed above?
07-04-2010-130937-001,04/05/2010,Request for contact with someone who has a gesture controlled artificial limb.
07-04-2010-142906-002,04/05/2010,Requestor is conducting an investigating into a named individual who claims have served in the Royal Navy and was injured on a ship during the Falklands War
07-04-2010-145842-001,21/04/2010,"Records pertaining to German Prisoners of War are to be transferred to the National Archives from Heywood File Store in the future.  In view of this, requestor wishes to be able to research the records now."
07-04-2010-150824-001,28/04/2010,Are there any plans to establish an MAA office in Leuchars or indeed Scotland as a whole?
07-04-2010-152032-002,04/05/2010,"I am presently looking for information on personel lost in the gulf war 1990-91, due to hostile action."
07-04-2010-155659-002,04/05/2010,"We would like to see the agreement of 17th May 2001 between the Secretary of State for Defence (Geoff Hoon) and Anglohouse Scotland Ltd, in which it was agreed that the MoD would supply water and sewage services to homes in the Sound of Kintyre development."
07-04-2010-161106-003,05/05/2010,Follow up to response to FOI 04-12-2009-115810-003
07-04-2010-161201-003,22/04/2010,Requesting a copy of the Board of Inquiry (BOI) into death of relative.
07-04-2010-161739-002,04/05/2010,Copy of document WO 309/638 (1945-1947) Extradition of Baltic nationals who served in German forces.
07-04-2010-162554-003,14/04/2010,Request for copies of papers concerning relatives. 
07-04-2010-164115-004,04/05/2010,"All information relating to the deployment/employment of veterans of the Estonian and Latvian Legions (Waffen-SS divisions), particularly their employment as guards of high-ranking Nazi war criminals during the Nuremberg Trials."
07-04-2010-165539-003,04/05/2010,"Any reports on the design, construction or use of a ballistic mortar for the small scale testing of explosives. Likely to have originated from ARDE, RARDE, ERDE or PERME."
07-04-2010-170205-004,04/05/2010,"Does the Ministry of Defence have an official whistleblowing policy?  If the Army, Royal Air Force or Royal Navy have their own whistleblowing policies, please provide electronic copies of those also."
08-04-2010-090901-001,29/04/2010,Establishment/manpower breakdown of the MAA by Rank and Branch/Trade.  Locations for each would be useful
08-04-2010-095226-001,04/05/2010,"An electronic copy of Defence Inflation Review: Sources and Measurement, DASA, December 2007"
08-04-2010-102942-002,04/05/2010,Asbestos water pipes have been identified on the former Machrihanish airbase in Kintyre. Have you carried out a survey of the use of asbestos water pipes on all Defence Estates properties?
08-04-2010-103953-003,04/05/2010,If a young Scottish Man or Woman was to join the ROYAL REGIMENT OF SCOTLAND and never sets foot out of Scotland got injured could they use the SCOTTISH courts to claim compensation.
08-04-2010-104824-001,04/05/2010,"How to send voice mails to a family member serving in Sangin, in the Royal Marines."
08-04-2010-110025-004,04/05/2010,"Information about an Israeli submarine called Dakar, built by H.M. Dockyard in Davenport, launched as H.M.S. Totem on 28th September 1943.  "
08-04-2010-111345-002,04/05/2010,How much was claimed in expenses by the 12 members of the Met Office Board in 2008 and 2009. Please provide a copy of these expenses.
08-04-2010-113834-005,04/05/2010,"Copy of the accident report plus photos and maps of the following RAF aircraft mishap RAF Buccaneer S.2 serialled XV345 crashed in Nevada, USA on 7 February 1980"
08-04-2010-115756-002,04/05/2010,Do you have any relevant information regarding New Zealand's involvement in The Battle of Britain?
08-04-2010-131643-003,27/04/2010,"For Britannia Royal Naval College, Defence College of Management and Technology, Joint Services Command and Staff College Royal College of Defence Studies. Royal Military Academy Sandhurst, Air Cadet Organization The names and job titles of any person who was paid over £100,000 (gross) in the financial years 2009/10 and 2008/9 and the details of how much they were paid. Any bonuses, pension contributions, over-time extras, golden handshakes, golden farewells and redundancy payments that the people you mention above received in the financial years 2008/9 and 2009/10?"
08-04-2010-141737-001,28/04/2010,Total cost of holding the Army Winter Sports Association and number of participants
08-04-2010-153306-001,07/05/2010,"Follow on request, deaths in Iraq and Afghanistan. What vehicles were people killed in?"
08-04-2010-154919-001,23/04/2010,I would like to request details of all post WWII domestic (UK) bomb attack locations and dates. If the existing information includes perpetrators and casualty information I would like that too.
08-04-2010-165058-001,29/04/2010,Request for a copy of the service records for a specified individual.
09-04-2010-100443-001,05/05/2010,Did the farmstead of Low Bleakhope (Breamish Valley) in Northumberland serve as a weather station?
09-04-2010-102217-002,05/05/2010,"The daily temperature (min and max) and rainfall recorded at your Shawbury station on each of these days;  April 28th, April 29th, April 30th, April 31st and May lst; for each year from 1957 to 2009"
09-04-2010-103615-003,05/05/2010,"The role/impact of military medicine and medical technology on civilian medicine and hospitals, technologies used for deal with blast traumas."
09-04-2010-113109-001,05/05/2010,I am writing to request details of how your Government Department stores and shares personal data.
09-04-2010-115838-004,05/05/2010,What international treaties prevent which technologies being deployed in space and for what purpose?
09-04-2010-123032-001,06/05/2010,How much it cost to install the 19 bollards at the end of the road by the Heaviside Labs at the Defence Academy in Shrivenham. I am also interested to know the reason for their installation.
09-04-2010-123748-002,06/05/2010,Copy of inquiry report into air20/12526 sneb rocket accident at coningsby in 1971.
