Minister,Date of Trip,Destination,Purpose,No.32 (The Royal Squadron)'  or 'other RAF' or 'Charter' or 'Scheduled' or 'Eurostar',Number of officials accompanying Ministers (where non-scheduled travel is used),Total Cost including travel and accommodation of Minister only
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP",13 September 2011 – 13 September 2011,"France, Paris",To attend and speak at the International Corporate Governance Network Annual Conference,Eurostar,,270
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP",25 September 2011 – 30 September 2011,"Turkey, Ankara and Romania, Bucharest","Ministerial meetings on Science, industry, technology, higher education and the EU economic growth agenda",Scheduled,,587
"Minister of State (Universities and Science), Rt Hon David Willetts MP",19 July 2011 – 21 July 2011,"Poland, Sopot",EU Informal Competitiveness Council,Scheduled,,188
"Minister of State (Universities and Science), Rt Hon David Willetts MP",11 September 2011 – 13 September 2011,"France, Paris",Organisation for Economic Co-operation and Development forum on wellbeing,Eurostar,,299
"Minister of State (Universities and Science), Rt Hon David Willetts MP",23 September 2011 – 25 September 2011,"Italy, Rome",Pontignano Conference and bilateral with Minister Gelmni,Scheduled,,413
"Minister of State (Business and Enterprise), Mark Prisk MP",07 September 2011 – 07 September 2011,"Belgium, Brussels",Airbus Meeting,Eurostar,,263
"Minister of State (Business and Enterprise), Mark Prisk MP",13 September 2011 – 15 September 2011,"Germany, Frankfurt",Visiting the Motor Show & Meetings with International Governments,Scheduled,,410
"Minister of State (Business and Enterprise), Mark Prisk MP",28 September 2011 – 30 September 2011,"Toulouse, France",Visiting Airbus & Advance Manufacturing Meetings with International Governments,Scheduled,,336
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP",11 July 2011 – 14 July 2011,"China, Beijing & Hong Kong",To sign an MoU and meet with Chinese Ministerial counterparts in Beijing and represent the UK at the Ministerial Roundtable for the International Conference ‘Learning Journey for the Globalised World’ in Hong Kong,Scheduled,,5509
"Minister of State (Trade and Investment), Lord Green",17 July 2011 – 19 July 2011,"Nigeria, Abuja and Lagos. South Africa, Johannesburg and Pretoria",Accompany the Prime Minister with a Business delegation to promote the UK as open for business and to meet key inward investors.,Chartered,0,Costs met by No10
"Minister of State (Trade and Investment), Lord Green",05 September 2011 – 05 September 2011,"France, Toulouse",To visit Airbus in Toulouse and visit a key UK investor.,Scheduled,,224
"Minister of State (Trade and Investment), Lord Green",11 September 2011 – 12 September 2011,"Russia, Moscow",Accompany the Prime Minister with a Business delegation to promote the UK as open for business and to meet key inward investors.,Charter,0,1448
"Minister of State (Trade and Investment), Lord Green",17 September 2011 – 22 September 2011,"United Arab Emirates, Abu Dhabi. Saudi Arabia, Jeddah and Riyadh. Qatar, Doha",To meet key inward investors and promote the UK as open for business.,Scheduled,,3011
"Minister of State (Trade and Investment), Lord Green",26 September 2011 – 26 September 2011,"Libya, Tripoli",To meet key inward investors and promote the UK as open for business.,Charter,0,27284
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP",04 July 2011 – 04 July 2011,"Germany, Berlin",To develop relations with Germany and help to drive forward the EU growth agenda,Scheduled,,483
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP",07 July 2011 – 08 July 2011,"Poland, Sopot","Employment, Social Policy, Health and Consumer Affairs EPSCO Council",Scheduled,,262
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP",13 July 2011 – 13 July 2011,"Belgium, Brussels",Joint visit with  the Secretary of State for Health to discuss employment issues,Scheduled,,286
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP",25 September 2011 – 26 September 2011,"Belgium, Brussels",Trade Foreign Affairs Council,Scheduled,,237
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP",28 September 2011 – 29 September 2011,Belgium/ Brussels,Competitiveness Council,Scheduled,,139
