,,
Organisations Paid Between £25 thousand and £5 million by the Ministry of Defence in 2009/10,,
,,
"This table shows a listing of the UK and foreign owned organisations, including defence suppliers and intermediate bodies paid through the Financial Management Shared Service Centre (FMSSC).  The term 'defence suppliers' includes defence contractors, Defence Agencies and other Government Departments.  The FMSSC is responsible for the majority of such payments (around 95% by value) made by MOD.  Other payments are made, for example, via British Defence Staff (United States), MOD Trading Funds and through local cash offices.  Not included in the Contractor totals are additional payments that may have been made to a Contractor by means of a GPC Card. The table is split into payment groups with the organisations shown in alphabetical order.  Company and organisation names have been reproduced (at the 1 April 2010 position) directly from the truncated entries recorded on the FMSSC database and may appear in a shortened format in places.  Where a contract is novated during the year, annual payments are shown against the new 'owner' (company or entity) of that contract.",,
,,
VAT exclusive at Current Prices,,
£1 million - £5 million (550 Organisations),,
3D Evolution Ltd,Fly BN Ltd,Phoenix Strategic Ltd
3M United Kingdom Public Ltd Company,Foremans Relocatable Building Systems Ltd,Pinnacle Health Care Ltd
A & P Falmouth Ltd,FRA Angelico Ltd,Pinsent Masons LLP
AB Precision (Poole) Ltd,Frazer-Nash Consultancy Ltd,Plant Speed Ltd
Actica Consulting Ltd,Frontier Medical Services Ltd,Plextek Ltd
ADS Gesellschaft Fur Active Schutzsysteme Mbh,Fuchs Lubricants (UK) PLC,Plymouth City Council
Advalus Ltd,Fujitsu (FTS) Ltd,Portland Harbour Authority Ltd
Advanced Expert Systems Ltd,G3 Systems Ltd,Powerfield Ltd
Aebi Schmidt UK Ltd,Gage-Tupper & Associates Ltd,PPG Industries (UK) Ltd
Aegis Engineering Ltd,Gama Support Services Ltd,Prax Petroleum Ltd
Aerazur SA,Gardner Denver Ltd,Pricewaterhousecoopers LLP
Aeronautical & General Instruments Ltd,Gaz De France Sales Ltd,Primetake Ltd
Aerospace & Airworthiness Consultancy Enterprises Ltd,Ge Seaco Services Ltd,Quadrant Chambers
Aggreko UK Ltd,Gesellschaft Fur Intelligente Wirksysteme Mbh,Quest Flight Training Ltd
Agustawestland International Ltd,GHC Ltd,Quest Software (UK) Ltd
Air And Ground Aviation Ltd,Gifford LLP,Quintec Associates Ltd
Air Charter Travel Ltd,Gill Research & Development Ltd,R & R Bassett (Engineering) Ltd
Aircraft Maintenance Support Services Ltd,Gkn Autostructures Ltd,RA International
Airtanker Ltd,Glasgow City Council,Rafael Advanced Defense Systems Ltd
Akhter Computers Public Ltd Company,Global Crossing (UK) Telecommunications Ltd,Railion Deutschland AG
Albin International Repatriation Ltd,Global Radiodata Communications Ltd,Rainbow Language In Business Ltd
ALC (FMC) Ltd,Golley Slater & Partners Ltd,Randstad Deutschland Gmbh
Allan Webb Ltd,Goodrich Corporation,Realm Services (Dac) Ltd - In Administration
Allbatteries UK Ltd,Goodyear Dunlop Tyres UK Ltd,Recon International Kandahar Ltd
Allocate Software PLC,Gosport Borough Council,Relay Engineering Ltd
Amadeus IT Group SA,Government Actuary's Department,Remondis Gmbh & Co KG
Amec Nuclear UK Ltd,Griffon Hoverwork Ltd,Revolve Technologies Ltd
Ametek Airtechnology Group Ltd,Ground Control Ltd,RG Carter Building Ltd
Amethyst Group Ltd,Guy's and St Thomas' NHS Trust,Rheinmetall Landsysteme Gmbh
Amherst Systems Inc,GVA Grimley Ltd,Richmondshire District Council
Amsafe Bridport Ltd,Haden Young Ltd,Ricoh UK Ltd
Aral AG,Hale Hamilton (Valves) Ltd,Ridgeway International Ltd
Aral Direkt Gmbh,Hall And Watts Defence Optics Ltd,Riflecraft Ltd
Arkonia Systems Ltd,Haro International LLC,Righton Ltd
Aspire Consulting Ltd,Harold L Smith (Transmissions) Ltd,Rizzani De Eccher SPA
AT Engine Controls Ltd,Harrington Generators International Ltd,Robert Half Ltd
Athena,Harsco Infrastructure Services Ltd,Rohde & Schwarz UK Ltd
Atlantic Inertial Systems Ltd,Haymarket Network Ltd,Rola-Trac Ltd
Atos Consulting Ltd,Hellenic Petroleum Cyprus Ltd,Rollalong Properties Ltd
