Department Family,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction number,Amount in Sterling
Communities & Local Government,GO,02/08/2010,Agency Staff,GORCU Admin DEL Votd,CENTRAL OFFICE OF INFORMATION,5106142526,"17,861.18"
Communities & Local Government,GO,02/08/2010,Agency Staff,GORCU Admin DEL Votd,REED SPECIALIST RECRUITMENT LTD,5106142521,703.64
Communities & Local Government,GO,02/08/2010,Agency Staff,GORCU Admin DEL Votd,REED SPECIALIST RECRUITMENT LTD,5106142522,879.55
Communities & Local Government,GO,02/08/2010,Conferences,GOSE,HMPS SHARED SERVICE CENTRE,5106142535,804.50
Communities & Local Government,GO,02/08/2010,"Furniture, Fittings and carpets",RCU - PAM - Property Asset Management,WAGSTAFF BROS LTD,2100183377,"1,099.80"
Communities & Local Government,GO,02/08/2010,Storage,GONE,CROWN RECORDS MANAGEMENT LTD,5106142525,828.28
Communities & Local Government,GO,02/08/2010,Post,GONE,PITNEY BOWES LTD (CM19 5DQ),5106142598,"4,009.40"
Communities & Local Government,GO,02/08/2010,Publications,GOYH,DARTINGTON HALL TRUST,2100183497,"1,666.00"
Communities & Local Government,GO,02/08/2010,Rates,RCU - PAM - Property Asset Management,MANCHESTER CITY COUNCIL,2100183416,"3,657.86"
Communities & Local Government,GO,02/08/2010,Training,GONW,GOVNET COMMUNICATIONS,5106142583,581.63
Communities & Local Government,GO,03/08/2010,Hospitalty,GOYH,DCLG GOVERNMENT PROCUREMENT CARD,1000002573,"2,461.35"
Communities & Local Government,GO,03/08/2010,Hospitalty,GOWM,DCLG GOVERNMENT PROCUREMENT CARD,1000002571,740.00
Communities & Local Government,GO,03/08/2010,Hospitalty,GOE,BAXTERSTOREY LTD,2100183538,663.15
Communities & Local Government,GO,03/08/2010,Fixed Maintenance,RCU - PAM - Property Asset Management,TAYLOR WOODROW CONSTRUCTION,2100183542,"51,334.50"
Communities & Local Government,GO,03/08/2010,Fixed Maintenance,RCU - PAM - Property Asset Management,TAYLOR WOODROW CONSTRUCTION,2300002020,"-51,334.50"
Communities & Local Government,GO,03/08/2010,Fares UK,GOSW,REDFERN TRAVEL LIMITED,2100183541,"11,502.95"
Communities & Local Government,GO,03/08/2010,Rent,RCU - PAM - Property Asset Management,NOTTINGHAM TRENT UNIVERSITY,2100183503,"172,578.13"
Communities & Local Government,GO,03/08/2010,Training,GOE,DCLG GOVERNMENT PROCUREMENT CARD,1000002568,900.00
Communities & Local Government,GO,03/08/2010,Training,GORCU Admin DEL Votd,NATIONAL SCHOOL OF GOVERNMENT,5106142626,"3,630.00"
Communities & Local Government,GO,03/08/2010,Training,GORCU Admin DEL Votd,DEVELOPMENT PARTNERSHIP,5106142609,"3,700.00"
Communities & Local Government,GO,03/08/2010,Variable Maintenance < £15k,RCU - PAM - Property Asset Management,TAYLOR WOODROW CONSTRUCTION,2100183542,"7,822.82"
Communities & Local Government,GO,03/08/2010,Variable Maintenance < £15k,RCU - PAM - Property Asset Management,TAYLOR WOODROW CONSTRUCTION,2300002020,"-7,822.82"
Communities & Local Government,GO,03/08/2010,Variable Maintenance < £15k,RCU - PAM - Property Asset Management,SIEMENS FINANCIAL SERVICES LTD,2100183500,820.59
Communities & Local Government,GO,03/08/2010,Accommodation Service Charges,RCU - PAM - Property Asset Management,NOTTINGHAM TRENT UNIVERSITY,2100183503,"19,777.52"
Communities & Local Government,GO,03/08/2010,Electricity,RCU - PAM - Property Asset Management,BRUNTWOOD EST ALPHA PORTFOLIO LTD,2100183505,"2,435.46"
Communities & Local Government,GO,03/08/2010,Electricity,RCU - PAM - Property Asset Management,GREEN ENERGY UK PLC,2100183533,"1,069.97"
Communities & Local Government,GO,03/08/2010,Stationery,GOYH,DCLG GOVERNMENT PROCUREMENT CARD,1000002573,"1,617.48"
Communities & Local Government,GO,04/08/2010,Conferences,GOSE,ASSOC FOR GEOGRAPHIC INFORMATION,5106142845,616.88
Communities & Local Government,GO,04/08/2010,Domestic Services,RCU - PAM - Property Asset Management,DCLG GOVERNMENT PROCUREMENT CARD,1000002574,"2,240.55"
Communities & Local Government,GO,04/08/2010,Fares UK,GOYH,REDFERN TRAVEL LIMITED,2100183569,"10,622.67"
Communities & Local Government,GO,04/08/2010,Fares UK,GOSE,REDFERN TRAVEL LIMITED,2100183567,"4,138.25"
Communities & Local Government,GO,04/08/2010,Subsistence UK,GOSE,REDFERN TRAVEL LIMITED,2100183567,418.21
