Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Post Code,Transaction Number,Payment Description,Total
Ministry of Defence,Ministry of Defence,20/09/2011,Purchase of buildings and military equipment ,Defence Equipment & Support,BAE SYSTEMS SURFACE SHIPS LIMITED,G14 0XN,845734,Single use military equipment asset under construction - capital in year addition,48055557.5
Ministry of Defence,Ministry of Defence,23/09/2011,Rent and rates,Defence Infrastructure Organisation ,ANNINGTON RECEIVABLES LTD,W1U 1DR,847379,Rent UK married quarters - operating lease payments,38739822.53
Ministry of Defence,Ministry of Defence,22/09/2011,Property leases,Defence Infrastructure Organisation ,ASPIRE DEFENCE LIMITED,SP9 7QD,846779,Property dwellings private finance initiative - service concession arrangement service charge,20142433.48
Ministry of Defence,Ministry of Defence,14/09/2011,Design services and minor equipment purchases,Defence Equipment & Support,QINETIQ LIMITED,PO12 2AG,843849,Equipment support project costs,15274689
Ministry of Defence,Ministry of Defence,15/09/2011,Development costs for military equipment,Defence Equipment & Support,LOCKHEED MARTIN AEROSPACE SYSTEMS INTEGRATION CORPORATION,PO9 1SA,844235,Intangible fiscal asset  - in year capital addition,15253564.45
Ministry of Defence,Ministry of Defence,28/09/2011,General services and support,Defence Equipment & Support,BAE SYSTEMS ELECTRONICS LIMITED,PO3 5PQ,849137,Defence equipment CLS/IOS service charge,15141300
Ministry of Defence,Ministry of Defence,27/09/2011,Design services and minor equipment purchases,Defence Equipment & Support,MBDA UK LIMITED,SG1 2DA,848791,Defence Equipment ,14753766.52
Ministry of Defence,Ministry of Defence,07/09/2011,Design services and minor equipment purchases,Defence Equipment & Support,MBDA UK LIMITED,SG1 2DA,841091,Defence Equipment ,11952984.33
Ministry of Defence,Ministry of Defence,23/09/2011,"Purchase of munitions, other inventory or fuel",Defence Equipment & Support,SHELL U.K.LIMITED,SE1 7NA,2000012897,Raw materials and consumable aviation fuel inventory purchased,11780177.21
Ministry of Defence,Ministry of Defence,27/09/2011,General services and support,Defence Equipment & Support,BAE SYSTEMS (OPERATIONS) LIMITED,PR4 1AX,848576,Defence equipment CLS/IOS service charge,11459453.01
Ministry of Defence,Ministry of Defence,14/09/2011,Design services and minor equipment purchases,Defence Equipment & Support,DEVONPORT ROYAL DOCKYARD LIMITED,PL1 4SG,843587,Equipment support non-project costs,11414335.68
Ministry of Defence,Ministry of Defence,16/09/2011,Purchase of buildings and military equipment ,Defence Equipment & Support,EUROCOPTER UK LIMITED,OX5 1QZ,5000062463,Fiscal asset under construction - capital in year addition,10286231.58
Ministry of Defence,Ministry of Defence,19/09/2011,Government Procurement Card,Ministry of Defence,BARCLAYS BANK PLC,TS17 6YG,10866,Monthly GPC payment,7923286.59
Ministry of Defence,Ministry of Defence,27/09/2011,Spend on inventory ,Defence Equipment & Support,HONEYWELL INTERNATIONAL INC,,2000012925,Spend on inventory ,7823159.24
Ministry of Defence,Ministry of Defence,19/09/2011,Estate management,Defence Infrastructure Organisation ,DEBUT SERVICES (SOUTH WEST)LIMITED,BA1 5AB,845262,Estate core services charge,7591053.07
Ministry of Defence,Ministry of Defence,05/09/2011,Design services and minor equipment purchases,Defence Equipment & Support,BAE SYSTEMS SURFACE SHIPS SUPPORT LIMITED,PO1 3LS,839239,Equipment support non-project costs,7279426.28
Ministry of Defence,Ministry of Defence,12/09/2011,Estate management,Defence Infrastructure Organisation ,MODUS SERVICES LIMITED,SW1A 2HB,842690,Works - estate management,6916552.96
Ministry of Defence,Ministry of Defence,19/09/2011,Design services and minor equipment purchases,Defence Equipment & Support,BABCOCK MARINE (CLYDE) LIMITED,G84 8HL,845174,Equipment support non-project costs,6911937.1
Ministry of Defence,Ministry of Defence,13/09/2011,Government Procurement Card,Ministry of Defence,BARCLAYS BANK PLC,TS17 6YG,10863,Monthly GPC payment,6214198.47
Ministry of Defence,Ministry of Defence,15/09/2011,Estate management,Defence Infrastructure Organisation ,MODERN HOUSING SOLUTIONS (PRIME)LIMITED,PE28 4QG,844267,Estate core services charge,5937980.55
