Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Department for Communities & Local Government ,Ministerial Department,Department for Communities & Local Government,203,194.06,307,298.08,795,774.26,586,562.81,109,104.9,0,0,2000,1934.11,6,6,6,6,12,12,13,13,37,37,2037,1971.11,89925095.68,1209293.34,1019092.26,413076.85,16462455.08,7002188.91,116031202.1,4309083,13457865,17766948,133798150.1,
Fire Service College,Executive Agency,Department for Communities & Local Government,61,59.9,36,34.2,75,73.5,16,16,2,2,0,0,190,185.6,0,0,3,2.8,0,0,0,0,3,2.8,193,188.4,6202982.48,0,0,44365.1,1221252.98,499802.08,7968402.64,383321.14,0,383321.14,8351723.78,
Ordnance Survey ,Non-Ministerial Department,Department for Communities & Local Government,60,52,558,545,415,403,104,102,6,6,4,1,1147,1109,48,47,3,3,70,69,0,0,121,119,1268,1228,35890953.52,946673.01,1726368.93,274779.66,7005504.65,3028386.54,48872666.31,10378155,0,10378155,59250821.31,
Planning Inspectorate,Executive Agency,Department for Communities & Local Government,222,198.43,128,119.08,68,65.98,262,222.31,4,4,0,0,684,609.8,0,0,0,0,0,0,0,0,0,0,684,609.8,25544448,272802.1,595389.38,33136.45,5526977.33,2267174.59,34239927.85,0,0,0,34239927.85,
Queen Elizabeth II Conference Centre,Executive Agency,Department for Communities & Local Government,4,4,13,13,23,23,3,3,1,1,0,0,44,44,2,2,0,0,0,0,11,11,13,13,57,57,1589976.78,6853.5,155985,80065.3,299128.09,155453.08,2287461.75,28622.72,74956.11,103578.83,2391040.58,
Community Development Foundation,Executive Non-Departmental Public Body,Department for Communities & Local Government,16,0.4,26,22,14,13.5,5,4.5,2,2,0,0,63,42.4,1,1,0,0,0,0,0,0,1,1,64,43.4,1677972,43386,0,0,143706,242535,2107599,13439,66000,79439,2187038,Payroll is year to date
Firebuy,Executive Non-Departmental Public Body,Department for Communities & Local Government,0,0,0,0,0,0,0,0,0,0,20,19.14,20,19.14,0,0,0,0,0,0,0,0,0,0,20,19.14,1027303,0,0,0,154095.46,141767.83,1323166.29,0,0,0,1323166.29,
Homes & Communities Agency,Executive Non-Departmental Public Body,Department for Communities & Local Government,336,313.73,352,342.98,100,96.39,101,99.8,73,72,0,0,962,924.9,1,1,0,0,4,4,1,1,6,6,968,930.9,38590011.3,2178884.81,0,67155.86,9351736.19,3581960.4,53769748.56,1969016.2,66113.3,2035129.5,55804878.06,
Independent Housing Ombudsman Ltd,Executive Non-Departmental Public Body,Department for Communities & Local Government,0,0,0,0,0,0,0,0,0,0,35,34.5,35,34.5,1,1,0,0,2,2,0,0,3,3,38,37.5,1699483.06,20955.55,0,548.14,208469.37,161959.13,2091415.25,140996.09,0,140996.09,2232411.34,
Infrastructure Planining Commission,Executive Non-Departmental Public Body,Department for Communities & Local Government,9,9,9,9,15,14.8,14,13.8,13,11.3,0,0,60,57.9,1,1,0,0,0,0,0,0,1,1,61,58.9,3078083.45,132326.65,59156,978.24,181448.51,276836.43,3728829.28,301958.65,0,301958.65,4030787.93,
Leasehold Advisory Service,Executive Non-Departmental Public Body,Department for Communities & Local Government,0,0,4,3.4,16,15,0,0,1,1,0,0,21,19.4,0,0,0,0,0,0,0,0,0,0,21,19.4,798612,0,0,0,80777,85895,965284,2111,0,2111,967395,
London Thames Gateway Development Corporation,Executive Non-Departmental Public Body,Department for Communities & Local Government,0,0,3,3,12,11.3,10,9.8,17,16.92,0,0,42,41.02,1,0.06,4,2.07,5,0.45,12,0.8,22,3.38,64,44.4,2263685.52,0,100210.36,0,261169.97,229823.01,2854888.86,299330.71,126680.14,426010.85,3280899.71,
Standards Board for England,Executive Non-Departmental Public Body,Department for Communities & Local Government,3,2.8,7,6.6,21,20.43,7,7,4,3.8,0,0,42,40.63,0,0,0,0,0,0,0,0,0,0,42,40.63,2326308.35,0,0,0,325851.65,217149.62,2869309.62,0,0,0,2869309.62,
Tenants Services Authority,Executive Non-Departmental Public Body,Department for Communities & Local Government,6,5.97,45,43.96,121,116.91,21,20.8,10,10,9,1.31,212,198.95,0,0,0,0,0,0,0,0,0,0,212,198.95,10804605,6193,11550,16084,1000361,938298,12777091,0,0,0,12777091,
Thurrock Development Corporation,Executive Non-Departmental Public Body,Department for Communities & Local Government,0,0,0,0,0,0,0,0,0,0,49,48.13,49,48.13,0,0,0,0,0,0,0,0,0,0,49,48.13,2267148.92,45539.74,141037.94,2258.55,269034.6,281043.48,3006063.23,0,0,0,3006063.23,
Valuation Tribunal Service,Executive Non-Departmental Public Body,Department for Communities & Local Government,23,21.75,4,4,42,40.49,10,10,1,1,0,0,80,77.24,5,5,0,0,0,0,0,0,5,5,85,82.24,2584000,62000,0,0,518000,217000,3381000,200000,0,200000,3581000
West Northamptonshire Development Corporation,Executive Non-Departmental Public Body,Department for Communities & Local Government,9,8.41,14,13.89,10,9,2,2,4,4,10,1.7,49,39,1,0.2,0,0,2,1,3,2,6,3.2,55,42.2,1827789,58969,147532,0,231148,186073,2451511,36091,138807,174898,2626409
