Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Total
Ministry of Defence,Ministry of Defence,22/12/2010,Design services and minor equipment purchases,Defence Equipment & Support,CAPGEMINI UK PLC,735925,15732.00
Ministry of Defence,Ministry of Defence,16/12/2010,Fees for professional services,Defence Equipment & Support,CAPGEMINI UK PLC,733389,28100.00
Ministry of Defence,United Kingdom Hydrographic Office,06/12/2010,Agency staff costs,Commercial & Finance Division,Capita Resourcing Limited,2000051985,33600.00
Ministry of Defence,United Kingdom Hydrographic Office,02/12/2010,Agency staff costs,IMT Business Group,Capita Resourcing Limited,2000051949,24257.46
Ministry of Defence,Met Office,23/12/2010,Services,Government Business,Defra,301970,160000.00
Ministry of Defence,Ministry of Defence,09/12/2010,Fees for professional services,Defence Equipment & Support,DELOITTE LLP,730419,87535.00
Ministry of Defence,Ministry of Defence,17/12/2010,Fees for professional services,Central TLB,DEPARTMENT FOR WORK AND PENSIONS,734093,145774.00
Ministry of Defence,Ministry of Defence,21/12/2010,"Purchase of munitions, other inventory or fuel",Defence Equipment & Support,H M REVENUE & CUSTOMS,735543,32990.20
Ministry of Defence,Defence Science and Technology Laboratory,17/12/2010,Sub Contracted Work,Operations,MORF PRODUCTS LIMITED,V - 9000128569 - 00096412,23422.00
Ministry of Defence,Defence Science and Technology Laboratory,13/12/2010,Sub Contracted Work,Operations,OXFORD RISK RESEARCH AND ANALYSIS LIMITED,V - 9000128454 - 00094959,23500.00
Ministry of Defence,Met Office,23/12/2010,Services,Operations,P A Consulting Group,301846,36277.50
Ministry of Defence,Defence Science and Technology Laboratory,24/12/2010,Sub Contracted Work,Operations,QINETIQ LIMITED,V - 9000128824 - 00097775,24509.45
Ministry of Defence,Ministry of Defence,22/12/2010,Rent and rates,Navy Command,SIR RICHARD CAREW POLE  1992 SETTLEMENT,736325,27354.84
Ministry of Defence,Ministry of Defence,15/12/2010,Estate management,Defence Estates,A T G AIRPORTS LTD,732616,27688.00
Ministry of Defence,Ministry of Defence,09/12/2010,Fees for professional services,Land Forces,A.A. SECURITIES LIMITED,730268,28362.88
Ministry of Defence,Ministry of Defence,20/12/2010,Purchase of inventory and services ,Defence Equipment & Support,AAH PHARMACEUTICALS LTD,734640,103933.65
Ministry of Defence,Ministry of Defence,24/12/2010,Purchase of inventory and services ,Land Forces,AAH PHARMACEUTICALS LTD,737009,93702.49
