Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Department for Communities & Local Government ,Ministerial Department,Department for Communities & Local Government,218,209.06,335,326.35,841,819.52,618,595.29,108,103.9,0,0,2120,2054.12,8,8,6,6,10,10,13,13,37,37,2157,2091.12,6719929.91,52960.96,16675,31898,1376629.8,593866.55,8791960.22,98087,726816,824903,9616863.22,
Fire Service College,Executive Agency,Department for Communities & Local Government,61,59.9,35,33.6,74,72,16,16,2,2,0,0,188,183.5,0,0,3,2.8,0,0,0,0,3,2.8,191,186.3,484471.83,0,0,276.2,91465.88,38274.84,614488.75,27857.38,0,27857.38,642346.13,
Ordnance Survey ,Non-Ministerial Department,Department for Communities & Local Government,47,40,546,533,412,401,103,102,6,6,3,1,1117,1083,47,45,3,3,70,70,1,0.75,121,118.75,1238,1201.75,2878248.19,89064.96,1750,28574.88,561415.43,236335.91,3795389.37,679318,8450,687768,4483157.37,
Planning Inspectorate,Executive Agency,Department for Communities & Local Government,225,200.57,133,122.75,75,71.48,257,217.76,4,4,0,0,694,616.56,0,0,0,0,0,0,0,0,0,0,694,616.56,1846985.77,19936.79,0,3783.34,373426.93,159162.5,2403295.33,0,0,0,2403295.33,
Queen Elizabeth II Conference Centre,Executive Agency,Department for Communities & Local Government,4,4,13,13,22,22,3,3,1,1,0,0,43,43,0,0,0,0,0,0,1,1,1,1,44,44,120177.25,584.5,0,9780.79,23238.82,11174.75,164956.11,2262.3,1685,3947.3,168903.41,
Homes & Communities Agency,Executive Non-Departmental Public Body,Department for Communities & Local Government,324,301.35,353,344.36,93,89.39,98,96.8,65,64.88,0,0,933,896.78,4,4,0,0,3,3,0,0,7,7,940,903.78,3035850.73,453201.44,0,7011.68,696028.09,290272.15,4482364.09,16615.09,0,16615.09,4498979.18,
Independent Housing Ombudsman Ltd,Executive Non-Departmental Public Body,Department for Communities & Local Government,0,0,0,0,0,0,0,0,0,0,33,33,33,33,1,1,0,0,2,2,0,0,3,3,36,36,138049.35,14795.5,0,0,20704.48,14422.75,187972.08,14665.37,0,14665.37,202637.45,
Infrastructure Planining Commission,Executive Non-Departmental Public Body,Department for Communities & Local Government,9,9,8,8,14,13.8,14,13.8,13,11.3,0,0,58,55.9,1,1,0,0,0,0,0,0,1,1,59,56.9,276032.32,0,0,3222.34,16973.81,24536,320764.47,2417.77,0,2417.77,323182.24,
Leasehold Advisory Service,Executive Non-Departmental Public Body,Department for Communities & Local Government,0,0,4,3.4,15,14,0,0,1,1,0,0,20,18.4,0,0,0,0,0,0,0,0,0,0,20,18.4,58743.07,0,0,0,5874.295,6447.02,71064.385,0,0,0,71064.385,
London Thames Gateway Development Corporation,Executive Non-Departmental Public Body,Department for Communities & Local Government,0,0,3,3,12,11.3,8,7.8,15,15,0,0,38,37.1,0,0,1,0.56,5,0.45,0,0,6,1.01,44,38.11,167727.19,0,0,0,21810.48,16794.81,206332.48,6349.42,0,6349.42,212681.9,
Standards Board for England,Executive Non-Departmental Public Body,Department for Communities & Local Government,3,2.8,5,5,18,17.43,6,6,3,3,0,0,35,34.23,0,0,0,0,0,0,0,0,0,0,35,34.23,114256.97,0,0,0,16561.17,10433.18,141251.32,0,0,0,141251.32,
Tenants Services Authority,Executive Non-Departmental Public Body,Department for Communities & Local Government,7,6.97,40,39.26,113,109.31,26,25.8,9,9,9,1.31,204,191.65,0,0,0,0,0,0,0,0,0,0,204,191.65,762184,462,0,1451,71976.96,70562.64,906636.6,0,0,0,906636.6,
Thurrock Development Corporation,Executive Non-Departmental Public Body,Department for Communities & Local Government,0,0,0,0,0,0,0,0,0,0,36,35.14,36,35.14,0,0,0,0,0,0,0,0,0,0,36,35.14,147678.58,2784.01,0,353.84,16584.89,16425.61,183826.93,0,0,0,183826.93,
Valuation Tribunal Service,Executive Non-Departmental Public Body,Department for Communities & Local Government,17,16.37,9,8.28,33,32.61,16,16,1,1,0,0,76,74.26,1,1,0,0,0,0,0,0,1,1,77,75.26,208039.07,4533.17,0,0,43413.3,17876.51,273862.05,5015.27,0,5015.27,278877.32,
West Northamptonshire Development Corporation,Executive Non-Departmental Public Body,Department for Communities & Local Government,8,7.41,13,12.94,10,9.7,2,2,4,4,0,0,37,36.05,1,1,0,0,1,0.4,3,1.2,5,2.6,42,38.65,136560,4000,0,0,35868,13389,189817,4896,14634,19530,209347,
