FREEDOM OF INFORMATION,,
MOD Requests to 03 December 2010,,
"CIO-CI-Access Team, Ministry of Defence, CIO-FOI@mod.uk",,
,,
,,
Case Number,Date Due,Request Summary
01-11-2010-093556-001,29/11/2010,Please advise when the British government plans to pull British troops out of Germany especially with regards to to Hohne Garrison.
01-11-2010-094112-002,29/11/2010,"Please provide figures on the numbers of service personnel found and disciplined for bringing back foreign weapons, ammunition or other forbidden items from ops Telic or Herrick over the past 5 years."
01-11-2010-121009-001,29/11/2010,Please provide a copy of the dress regulations for Officers & NCOs of the Royal Military Police.
01-11-2010-140411-001,08/09/2010,Please provide copies of the witness statements and results of the RAF BOI investigation into the death of a specified individual on 15 November 1970.
01-11-2010-160100-001,29/11/2010,"Please provide information on the total number of ISAF deaths, which is also to include British fatalities, civilian and Taliban casualties, since the start of current intervention."
01-11-2010-172354-002,26/11/2010,"Please provide an electronic copy of the Queen's Regulations for the Royal Navy (1997), Army (1975) and Royal Air Force (1999)."
02-11-2010-094748-001,29/11/2010,Please provide the plans and any other documents on the heavy anti aircraft artillery site in Cheshire.
02-11-2010-094919-001,25/11/2010,Please provide information on a specified individual.
02-11-2010-100917-002,29/11/2010,Please advise whether a training drill was due to occur on the day of the 7/7 bombings and whether it would exactly mirrored the scenario which then unfolded.
02-11-2010-100935-002,29/11/2010,Please provide information on the number of investigations started by the Royal Military Police arising out of incidents in which Afghan civilians have allegedly been either killed or wounded by British military personnel in Afghanistan since 1 January 20
02-11-2010-101556-001,29/11/2010,"Please provide a breakdown of the number of mobile grades in MOD, by gender, grade and religion, granted mobility waivers from 2005 - 2010."
02-11-2010-101706-003,29/11/2010,"Please provide copies of all letters and emails sent from SofS to the newspaper media groups (Telegraph, Guardian, Times, Sun, Independent and Mirror newspapers) between 1 September 2010 and 31 October 2010."
02-11-2010-102028-003,29/11/2010,"Please provide information on who designed the current logo, corporate style, graphics and branding for the each Armed Service and when they were implemented."
02-11-2010-102316-004,29/11/2010,"Please clarify what is meant by the British Governments repeated policy statement regarding ""the debt of Honour"" to its serving members of the Armed Forces and members of the veteran community."
02-11-2010-103329-005,29/11/2010,"Please list for each departmental policy review presently, in progress, scheduled or completed, since the Coalition Government came to office on 12th May, a description of the purpose of the review, the date when it was announced and when it was originall"
02-11-2010-103533-004,29/11/2010,"Please advise whether British troops use depleted uranium weapons and if so, what training and safety equipment is provided and the number that have become ill due to exposure to depleted uranium."
01-11-2010-115129-003,29/11/2010,Please advise if the MOD have any record of UFO activity around the Peak District on 24 March 1997.
02-11-2010-132734-001,09/11/2010,Please advise whether the Spanish based company Iturri s.a provide shirts and boots to other Guard regiments.
02-11-2010-141449-001,29/11/2010,"Please provide information on the average age, gender ratio, education level achieved, training and hours worked per week, of RAF/Navy Aircraft Technician/Operations staff at the start of their military career."
02-11-2010-143344-002,25/11/2010,"Please provide casualty figures for British Forces for WWI,WWII,The Falklands, Northern Ireland, Kosovo, Iraq and Afghanistan."
02-11-2010-152347-002,30/11/2010,Please provide any Defence Nuclear Safety Regulator inspection reports relating to RAF Lakenheath and RAF Mildenhall in Suffolk over the last eight years along with the number of nuclear weapons on both bases. Please also provide any summary documents on 
02-11-2010-161024-003,26/11/2010,Please provide information regarding defence cooperation between France and the UK.
02-11-2010-161633-004,29/11/2010,Please provide all information with regards to the MOD's investigation into a specified individual's claims about his military career.
02-11-2010-162633-005,30/11/2010,"Please provide any information held relating to the visit of the former Foreign Secretary to India in January 2009 to discuss international security and Indian foreign policy, Kashmir and India-Pakistan, UK-Pakistan international relations."
02-11-2010-163247-006,30/11/2010,"Please provide information on what funds and other assistance the MOD has given to the International Institute for Strategic Studies, Royal United Services Institute, and Chatham House (formerly the RIIA)."
02-11-2010-163854-007,30/11/2010,Please provide information on the numbers of military personel suffering from post traumatic stress disorder (PTSD).
