Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Department for Communities & Local Government ,Ministerial Department,Department for Communities & Local Government,109,105,239,230.5,733,715.3,561,543.1,86,83.1,0,0,1728,1677,7,7,4,4,16,16,5,5,32,32,1760,1709,6081843.88,77115.99,5940.08,27783.02,1161616.6,513689.62,7867989.19,236899,10000,246899,8114888.19,
Fire Service College,Executive Agency,Department for Communities & Local Government,61,57.1,30,28.4,64,62.4,14,13.5,1,1,0,0,170,162.4,1,1,4,3.8,0,0,0,0,5,4.8,175,167.2,295903.12,0,0,0,51311.02,22113.54,369327.68,32205.88,0,32205.88,401533.56,
Planning Inspectorate,Executive Agency,Department for Communities & Local Government,212,190.5,137,125.2,90,87.5,285,234.3,6,6,0,0,730,643.5,0,0,0,0,0,0,0,0,0,0,730,643.5,2065330.26,17737.41,0,7189.03,419073.89,196272.47,2705603.06,0,0,0,2705603.06,
Queen Elizabeth II Conference Centre,Executive Agency,Department for Communities & Local Government,4,4,9,9,27,27,3,3,1,1,0,0,44,44,1,1,0,0,0,0,2,2,3,3,47,47,126981.16,0,0,5974.85,29281.91,8841.84,171079.76,1654,2500,4154,175233.76,
Homes & Communities Agency,Executive Non-Departmental Public Body,Department for Communities & Local Government,118,113.08,204,199.48,227,221.33,36,35.8,46,45.88,233,228.45,864,844.02,6,6,0,0,6,6,0,0,12,12,876,856.02,2987020.03,185239.8,0,1199.58,661286.33,294879.51,4129625.25,0,0,0,4129625.25,
Independent Housing Ombudsman Ltd,Executive Non-Departmental Public Body,Department for Communities & Local Government,0,0,0,0,0,0,0,0,0,0,42,41,42,41,2,2,0,0,0,0,0,0,2,2,44,43,164969.45,64.28,0,0,30656.18,16093.29,211783.2,4308,0,4308,216091.2,
Leasehold Advisory Service,Executive Non-Departmental Public Body,Department for Communities & Local Government,3,2.4,1,1,17,16,0,0,1,1,0,0,22,20.4,0,0,0,0,0,0,0,0,0,0,22,20.4,65280,0,0,0,5852,6999,78131,0,0,0,78131,
London Thames Gateway Development Corporation,Executive Non-Departmental Public Body,Department for Communities & Local Government,0,0,0,0,6,5.3,3,2.8,5,5,0,0,14,13.1,1,0.7,0,0,3,1.78,0,0,4,2.48,18,15.58,65794.61,0,0,0,8696.25,8617.86,83108.72,6747.3,0,6747.3,89856.02,
Valuation Tribunal Service,Executive Non-Departmental Public Body,Department for Communities & Local Government,20,19.17,41,39.834,12,11.736,2,2,1,1,0,0,76,73.74,3,2.6,0,0,0,0,0,0,3,2.6,79,76.34,209119,2849,0,0,44262,18491,274721,4209,0,4209,278930,
West Northamptonshire Development Corporation,Executive Non-Departmental Public Body,Department for Communities & Local Government,6,5.41,6,5.47,9,8.7,2,2,3,3,9,1.5,35,26.08,0,0,0,0,0,0,1,0.6,1,0.6,36,26.68,123273.44,4800,0,0,9517.63,12983.37,150574.44,0,4750,4750,155324.44,
