Minister,Date of Hospitality,Name of Organisation,Type of hospitality received
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",09-May-11,Community Security Trust,Lunch
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",10-May-11,Centre for Policy Studies,Speaking engagement and Lunch
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",18-May-11,Confederation of British Industry,Dinner
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",19-May-11,Variety Club Children’s Charity,Speaking engagement and Dinner
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",23-May-11,UK Music,Lunch
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",26-May-11,Ford of Britain,Centenary dinner
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",13-Jun-11,London Chamber of Commerce and Industry,Speaking engagement and Lunch
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",14-Jun-11,Association of Mortgage Intermediaries,Speaking engagement and Dinner
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",16-Jun-11,News Corporation reception,Refreshments
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",20-Jun-11,Tony Gallagher (Telegraph),Dinner
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",21-Jun-11,Noon Products,Lunch
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",27-Jun-11,Financial Times reception,Refreshments
"Rt Hon Greg Clark MP, Minister of State (Decentralisation and Cities)",26-Apr-11,"Chartered Institute of Purchase and Supply, and Cordoba Group Limited",Dinner (as part of speaking engagement)
"Rt Hon Greg Clark MP, Minister of State (Decentralisation and Cities)",23-May-11,Guardian and Financial Times,Lunch
"Rt Hon Greg Clark MP, Minister of State (Decentralisation)",29-Jun-11,IPPR North,Dinner (as part of speaking engagement)
"Rt Hon Grant Shapps MP, Minister of State (Housing and Local Government)",10-May-11,House Builders Federation,Speaking engagement & lunch
"Rt Hon Grant Shapps MP, Minister of State (Housing and Local Government)",23-Jun-11,Chartered Institute of Housing,Speaking engagement & dinner
"Andrew Stunell MP, Parliamentary Under-Secretary of State",Nil Return,Nil Return,Nil Return
"Bob Neill MP, Parliamentary Under-Secretary of State",16-May-11,The National Association of Pension Funds Limited (NAPF),Dinner and overnight accommodation
"Baroness Hanham CBE, Parliamentary Under-Secretary of State",Nil Return,Nil Return,Nil Return


"* Does not normally include attendance at functions hosted by HM Government or the Royal Household; attendance at ‘diplomatic’ functions in the UK or abroad, hosted by overseas governments; minor refreshments at meetings, receptions conferences and seminars; working meals; light refreshments; attendance at lunches, dinners and receptions by professional bodies and their equivalents in local government and in the non-governmental public sector; meals provided at a conference; and offers of hospitality which were declined.",,,
