Department Family,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction number,Amount in Sterling
Communities & Local Government,GO,01/09/2010,Agency Staff,GONW,*BROOK STREET BUREAU,5106144987,"1,342.58"
Communities & Local Government,GO,01/09/2010,Conferences,GOEM,RURAL COMMUNITY ACTION EAST MIDS,2100184247,"3,779.00"
Communities & Local Government,GO,01/09/2010,Hospitalty,GOEM,RURAL COMMUNITY ACTION EAST MIDS,2100184247,195.74
Communities & Local Government,GO,01/09/2010,Water,RCU - PAM - Property Asset Management,THAMES WATER UTILITIES,2100184195,843.09
Communities & Local Government,GO,01/09/2010,Rent,RCU - PAM - Property Asset Management,*JONES LANG LASALLE,2100184197,"463,252.56"
Communities & Local Government,GO,01/09/2010,Rent,RCU - PAM - Property Asset Management,*JONES LANG LASALLE,2100184239,"167,437.50"
Communities & Local Government,GO,01/09/2010,Training,GONW,GBM DIGITAL TECHNOLOGIES LTD,5106144990,528.75
Communities & Local Government,GO,01/09/2010,Training,GONW,READER ORGANISATION,5106144954,500.00
Communities & Local Government,GO,01/09/2010,Training,GORCU Admin DEL Votd,NATIONAL SCHOOL OF GOVERNMENT,2100184245,"4,000.00"
Communities & Local Government,GO,01/09/2010,Training,GORCU Admin DEL Votd,NATIONAL SCHOOL OF GOVERNMENT,5106145013,"3,800.00"
Communities & Local Government,GO,01/09/2010,Accommodation Service Charges,RCU - PAM - Property Asset Management,*JONES LANG LASALLE,2100184197,"10,553.85"
Communities & Local Government,GO,01/09/2010,Electricity,RCU - PAM - Property Asset Management,SCOTTISH POWER,2100184242,"1,435.44"
Communities & Local Government,GO,02/09/2010,Travel and Subsistence Account,GONE,REDFERN TRAVEL LIMITED,2100184280,"5,991.69"
Communities & Local Government,GO,02/09/2010,Travel and Subsistence Account,GONE,REDFERN TRAVEL LIMITED,2100184281,"1,620.38"
Communities & Local Government,GO,02/09/2010,Travel and Subsistence Account,GOE,REDFERN TRAVEL LIMITED,2300002031,"-1,767.90"
Communities & Local Government,GO,02/09/2010,Post,GOSE,NEOPOST LTD,2100184248,967.03
Communities & Local Government,GO,02/09/2010,Accommodation Service Charges,RCU - PAM - Property Asset Management,DANMERC PROP CONSULTANTS  & MGT LTD,2100184246,"21,992.95"
Communities & Local Government,GO,03/09/2010,Agency Staff,GOE,CAVILL ROBINSON FINANCIAL RCRTMT LT,5106145098,"1,017.17"
Communities & Local Government,GO,03/09/2010,Agency Staff,GOE,CAVILL ROBINSON FINANCIAL RCRTMT LT,5106145200,"1,017.17"
Communities & Local Government,GO,03/09/2010,Fares UK,GONE,REDFERN TRAVEL LIMITED,2100184316,72.98
Communities & Local Government,GO,03/09/2010,Fares UK,GOWM,REDFERN TRAVEL LIMITED,2100184316,622.86
Communities & Local Government,GO,03/09/2010,Fares UK,GOSW,REDFERN TRAVEL LIMITED,2100184315,"6,488.54"
Communities & Local Government,GO,03/09/2010,Fares UK,GOL,REDFERN TRAVEL LIMITED,2100184316,135.61
Communities & Local Government,GO,03/09/2010,Fares UK,GORCU Admin DEL Votd,REDFERN TRAVEL LIMITED,2100184316,"7,832.65"
Communities & Local Government,GO,03/09/2010,Fares UK,RCU - PAM - Property Asset Management,REDFERN TRAVEL LIMITED,2100184316,"1,083.47"
Communities & Local Government,GO,03/09/2010,Rent,RCU - PAM - Property Asset Management,*JONES LANG LASALLE,2100184277,"205,086.00"
Communities & Local Government,GO,03/09/2010,Rent,RCU - PAM - Property Asset Management,BRUNTWOOD EST ALPHA PORTFOLIO LTD,2100184275,"276,038.93"
Communities & Local Government,GO,03/09/2010,Rent,RCU - PAM - Property Asset Management,BRUNTWOOD EST ALPHA PORTFOLIO LTD,2100184276,"2,822.94"
Communities & Local Government,GO,03/09/2010,Security,RCU - PAM - Property Asset Management,BRUNTWOOD EST ALPHA PORTFOLIO LTD,2100184275,"3,223.79"
Communities & Local Government,GO,03/09/2010,Accommodation Service Charges,RCU - PAM - Property Asset Management,BRUNTWOOD EST ALPHA PORTFOLIO LTD,2100184275,"66,500.82"
Communities & Local Government,GO,06/09/2010,Agency Staff,GOYH,REED SPECIALIST RECRUITMENT LTD,5106145220,813.97
Communities & Local Government,GO,06/09/2010,Agency Staff,GORCU Admin DEL Votd,CENTRAL OFFICE OF INFORMATION,5106145240,"6,158.88"
Communities & Local Government,GO,06/09/2010,Fares UK,GOYH,REDFERN TRAVEL LIMITED,2100184342,"9,156.40"
Communities & Local Government,GO,06/09/2010,Fares UK,GOWM,REDFERN TRAVEL LIMITED,2100184354,"6,303.36"
Communities & Local Government,GO,06/09/2010,Fares UK,GOSE,REDFERN TRAVEL LIMITED,2100184341,"2,052.38"
Communities & Local Government,GO,06/09/2010,Subsistence UK,GOWM,REDFERN TRAVEL LIMITED,2100184354,"1,985.18"
Communities & Local Government,GO,06/09/2010,Subsistence UK,GOSE,REDFERN TRAVEL LIMITED,2100184341,627.01
Communities & Local Government,GO,06/09/2010,Overseas expense,GOWM,REDFERN TRAVEL LIMITED,2100184354,244.00
Communities & Local Government,GO,06/09/2010,Training,GOSE,UNICOM SEMINARS LTD,2100184340,"1,050.00"
Communities & Local Government,GO,06/09/2010,Waste Disposal and pest control,GOSE,GOVERNMENT CAR & DESPATCH AGENCY,2100184344,"1,069.25"
Communities & Local Government,GO,06/09/2010,Car Lease (expense),GONE,HITACHI CAPITAL VEHICLE SOLUTIONS,5106145267,"1,763.02"
Communities & Local Government,GO,06/09/2010,Electricity,RCU - PAM - Property Asset Management,EDF ENERGY,5106145261,"5,143.59"
Communities & Local Government,GO,07/09/2010,Agency Staff,GOL,REED SPECIALIST RECRUITMENT LTD,5106145390,499.61
Communities & Local Government,GO,07/09/2010,Domestic Services,RCU - PAM - Property Asset Management,FOSTERS BREATHING SPACE,2100184412,"1,306.13"
Communities & Local Government,GO,07/09/2010,Domestic Services,RCU - PAM - Property Asset Management,FOSTERS BREATHING SPACE,5106145396,718.61
Communities & Local Government,GO,07/09/2010,Water,RCU - PAM - Property Asset Management,D E F R A,2100184403,595.23
Communities & Local Government,GO,07/09/2010,Professional services,RCU - PAM - Property Asset Management,*CAPITA SYMONDS LTD,5106145292,"1,405.91"
Communities & Local Government,GO,07/09/2010,Rates,RCU - PAM - Property Asset Management,D E F R A,2100184403,"99,522.26"
Communities & Local Government,GO,07/09/2010,Rates,RCU - PAM - Property Asset Management,BIRMINGHAM CITY COUNCIL,2100184407,500.00
Communities & Local Government,GO,07/09/2010,Rent,RCU - PAM - Property Asset Management,D E F R A,2100184403,"476,361.65"
Communities & Local Government,GO,07/09/2010,Training,GOE,DCLG GOVERNMENT PROCUREMENT CARD,1000002647,640.37
Communities & Local Government,GO,07/09/2010,Training,GORCU Admin DEL Votd,ALPHA CONSOLIDATED TRAINING LTD,5106145295,"11,200.00"
Communities & Local Government,GO,07/09/2010,Gas,RCU - PAM - Property Asset Management,D E F R A,2100184403,"5,595.15"
Communities & Local Government,GO,07/09/2010,Electricity,RCU - PAM - Property Asset Management,D E F R A,2100184403,"13,154.56"
Communities & Local Government,GO,07/09/2010,Stationery,GOWM,DCLG GOVERNMENT PROCUREMENT CARD,1000002648,571.05
Communities & Local Government,GO,08/09/2010,Agency Staff,GOSW,DCLG GOVERNMENT PROCUREMENT CARD,1000002655,"5,572.08"
Communities & Local Government,GO,08/09/2010,Travel and Subsistence Account,GOE,REDFERN TRAVEL LIMITED,2100184434,"2,640.98"
Communities & Local Government,GO,08/09/2010,Storage,GOE,IRON MOUNTAIN (UK) LIMITED,5106145538,887.50
Communities & Local Government,GO,08/09/2010,Accommodation Service Charges,RCU - PAM - Property Asset Management,DANMERC PROP CONSULTANTS  & MGT LTD,2100184409,"9,181.41"
Communities & Local Government,GO,09/09/2010,Vendor Prepayments,GOSW,ARVAL,2100184458,"2,595.24"
Communities & Local Government,GO,09/09/2010,Agency Staff,GONW,REED SPECIALIST RECRUITMENT LTD,5106145598,"1,112.84"
Communities & Local Government,GO,09/09/2010,Agency Staff,GORCU Admin DEL Votd,BADENOCH & CLARK,5106145611,"2,507.63"
Communities & Local Government,GO,09/09/2010,Agency Staff,GORCU Admin DEL Votd,BADENOCH & CLARK,5106145612,"2,507.63"
Communities & Local Government,GO,09/09/2010,Agency Staff,GORCU Admin DEL Votd,BADENOCH & CLARK,5106145674,"2,006.10"
Communities & Local Government,GO,09/09/2010,Agency Staff,GORCU Admin DEL Votd,BADENOCH & CLARK,5106145675,"2,507.63"
Communities & Local Government,GO,09/09/2010,Agency Staff,GORCU Admin DEL Votd,BADENOCH & CLARK,5106145676,"2,507.63"
Communities & Local Government,GO,09/09/2010,Travel and Subsistence Account,GONW,REDFERN TRAVEL LIMITED,2100184453,"7,789.30"
Communities & Local Government,GO,09/09/2010,Fares UK,GOEM,REDFERN TRAVEL LIMITED,2100184462,"5,375.16"
Communities & Local Government,GO,09/09/2010,Post,GOL,MITIE MANAGED SERVICES (SOUTHERN) L,5106145673,"5,966.09"
Communities & Local Government,GO,09/09/2010,Professional services,GORCU Admin DEL Votd,*LOGICA CMG UK LTD,5106145604,462.20
Communities & Local Government,GO,09/09/2010,Professional services,GORCU Admin DEL Votd,*LOGICA CMG UK LTD,5106145606,"9,832.71"
Communities & Local Government,GO,09/09/2010,Publications,GORCU Admin DEL Votd,APPLICABLE LTD,5106145682,"2,228.04"
Communities & Local Government,GO,09/09/2010,Training,GOEM,FARADAY PARTNERSHIP LTD,2100184459,"1,938.75"
Communities & Local Government,GO,09/09/2010,Training,GOSE,LEADERSHIP SKILLS TRAINING LTD,5106145597,"6,995.00"
Communities & Local Government,GO,09/09/2010,Car Lease (expense),GOSW,ARVAL,2100184458,865.13
Communities & Local Government,GO,09/09/2010,Stationery,GOSE,OFFICE DEPOT UK LTD,5106145647,757.15
