Department Family,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction number,Amount in Sterling
Communities & Local Government,GO,01/06/2010,Conferences,GONW,ABBEY BUSINESS CENTRES LTD,5106136171,602.78
Communities & Local Government,GO,01/06/2010,Conferences,GOSE,CHANGE INSTITUTE,5106136114,"2,934.56"
Communities & Local Government,GO,01/06/2010,Rates,RCU - PAM - Property Asset Management,CAMBRIDGE CITY COUNCIL,5106136144,"1,107.00"
Communities & Local Government,GO,01/06/2010,Rates,RCU - PAM - Property Asset Management,CAMBRIDGE CITY COUNCIL,5106136145,963.00
Communities & Local Government,GO,01/06/2010,Rates,RCU - PAM - Property Asset Management,CAMBRIDGE CITY COUNCIL,5106136146,"2,236.00"
Communities & Local Government,GO,01/06/2010,Rates,RCU - PAM - Property Asset Management,GUILDFORD BC,5106136150,"33,286.00"
Communities & Local Government,GO,01/06/2010,Rates,RCU - PAM - Property Asset Management,BRISTOL CITY COUNCIL,5106136147,"62,928.00"
Communities & Local Government,GO,01/06/2010,Rates,RCU - PAM - Property Asset Management,LEEDS TOWN HALL,5106136120,"59,214.00"
Communities & Local Government,GO,01/06/2010,Rates,RCU - PAM - Property Asset Management,LEEDS TOWN HALL,5106136140,"18,061.00"
Communities & Local Government,GO,01/06/2010,Rates,RCU - PAM - Property Asset Management,LEEDS TOWN HALL,5106136141,"5,962.00"
Communities & Local Government,GO,01/06/2010,Rates,RCU - PAM - Property Asset Management,LIVERPOOL CITY COUNCIL,5106136115,"16,285.00"
Communities & Local Government,GO,01/06/2010,Rates,RCU - PAM - Property Asset Management,NOTTINGHAM CITY COUNCIL,5106136143,"20,317.00"
Communities & Local Government,GO,01/06/2010,Rates,RCU - PAM - Property Asset Management,NEWCASTLE CITY COUNCIL,5106136112,"51,750.00"
Communities & Local Government,GO,01/06/2010,Rates,RCU - PAM - Property Asset Management,City of Westminster,5106136151,"90,470.00"
Communities & Local Government,GO,01/06/2010,Variable Maintenance < £15k,RCU - PAM - Property Asset Management,INTERNET VIDEOCOMMUNICATIONS LTD,2100181131,"3,350.00"
Communities & Local Government,GO,01/06/2010,Telephone call costs,GORCU Admin DEL Votd,MEETINGZONE LTD,5106136057,"1,185.24"
Communities & Local Government,GO,02/06/2010,Agency Staff,GOEM,REED SPECIALIST RECRUITMENT LTD,5106136294,"2,853.63"
Communities & Local Government,GO,02/06/2010,Travel and Subsistence Account,GOE,DCLG GOVERNMENT PROCUREMENT CARD,1000002388,715.00
Communities & Local Government,GO,02/06/2010,Vehicle Maintenance,GOE,DCLG GOVERNMENT PROCUREMENT CARD,1000002388,751.65
Communities & Local Government,GO,03/06/2010,Agency Staff,GONW,*BROOK STREET BUREAU,5106136484,"1,342.58"
Communities & Local Government,GO,03/06/2010,Agency Staff,GONW,ROBERT HALF LIMITED,5106136493,678.21
Communities & Local Government,GO,03/06/2010,Agency Staff,GOYH,REED SPECIALIST RECRUITMENT LTD,5106136531,599.70
Communities & Local Government,GO,03/06/2010,Agency Staff,GORCU Admin DEL Votd,BADENOCH & CLARK,5106136496,"2,507.63"
Communities & Local Government,GO,03/06/2010,Agency Staff,GORCU Admin DEL Votd,BADENOCH & CLARK,5106136499,740.31
Communities & Local Government,GO,03/06/2010,Agency Staff,GORCU Admin DEL Votd,BADENOCH & CLARK,5106136500,740.31
Communities & Local Government,GO,03/06/2010,Agency Staff,GORCU Admin DEL Votd,BADENOCH & CLARK,5106136501,592.25
Communities & Local Government,GO,03/06/2010,Domestic Services,RCU - PAM - Property Asset Management,FOSTERS BREATHING SPACE,2100181263,"1,306.13"
Communities & Local Government,GO,03/06/2010,"Furniture, Fittings and carpets",RCU - PAM - Property Asset Management,WAGSTAFF BROS LTD,2100181267,549.90
Communities & Local Government,GO,03/06/2010,IT Maintenance,GORCU Admin DEL Votd,FUJITSU SERVICES LTD,5106136527,"114,945.55"
Communities & Local Government,GO,03/06/2010,Fixed Maintenance,RCU - PAM - Property Asset Management,MITIE FAC SERV LTD (STH WEST & WALE,2100181261,"51,032.84"
Communities & Local Government,GO,03/06/2010,Storage,GONE,CROWN RECORDS MANAGEMENT LTD,5106136492,896.65
Communities & Local Government,GO,03/06/2010,Publicity,GONE,PENNA BARKERS,2100181309,"5,010.43"
Communities & Local Government,GO,03/06/2010,Publicity,GONE,PENNA BARKERS,2100181310,"1,633.26"
Communities & Local Government,GO,03/06/2010,Publicity,GONE,PENNA BARKERS,2100181311,"3,544.81"
Communities & Local Government,GO,03/06/2010,Publicity,GONE,PENNA BARKERS,2100181312,558.54
Communities & Local Government,GO,03/06/2010,Publicity,GONE,PENNA BARKERS,2100181313,"2,395.88"
Communities & Local Government,GO,03/06/2010,Publicity,GONE,PENNA BARKERS,2100181314,"2,418.56"
Communities & Local Government,GO,03/06/2010,Training,GORCU Admin DEL Votd,NATIONAL SCHOOL OF GOVERNMENT,5106136387,"2,250.00"
Communities & Local Government,GO,03/06/2010,Training,GORCU Admin DEL Votd,GOVNET COMMUNICATIONS,2100181258,"2,415.00"
Communities & Local Government,GO,03/06/2010,Training,GORCU Admin DEL Votd,GOVNET COMMUNICATIONS,2100181259,"2,760.00"
Communities & Local Government,GO,03/06/2010,Training,GORCU Admin DEL Votd,CONFLICT MANAGEMENT PLUS LTD,2100181257,"1,139.00"
Communities & Local Government,GO,03/06/2010,Variable Maintenance < £15k,RCU - PAM - Property Asset Management,TAYLOR WOODROW CONSTRUCTION,2100181266,"68,573.39"
Communities & Local Government,GO,03/06/2010,Variable Maintenance < £15k,RCU - PAM - Property Asset Management,CHUBB FIRE LTD,2100181268,"1,607.67"
Communities & Local Government,GO,03/06/2010,Electricity,RCU - PAM - Property Asset Management,GREEN ENERGY UK PLC,2100181264,"1,171.80"
Communities & Local Government,GO,03/06/2010,Minor office costs,RCU - PAM - Property Asset Management,CHUBB FIRE LTD,2300002001,-930.60
Communities & Local Government,GO,03/06/2010,IT - Service Contracts,GORCU Admin DEL Votd,FUJITSU SERVICES LTD,5106136437,"296,749.60"
Communities & Local Government,GO,04/06/2010,Agency Staff,GONW,REED SPECIALIST RECRUITMENT LTD,5106136546,589.50
Communities & Local Government,GO,04/06/2010,Agency Staff,GONW,REED SPECIALIST RECRUITMENT LTD,5106136561,"1,144.64"
Communities & Local Government,GO,04/06/2010,Agency Staff,GOYH,REED SPECIALIST RECRUITMENT LTD,5106136693,599.70
Communities & Local Government,GO,04/06/2010,Agency Staff,GOYH,REED SPECIALIST RECRUITMENT LTD,5106136694,803.27
Communities & Local Government,GO,04/06/2010,Agency Staff,GOEM,REED SPECIALIST RECRUITMENT LTD,5106136683,"2,973.15"
Communities & Local Government,GO,04/06/2010,Agency Staff,GOE,REED EMPLOYMENT SERVICES,5106136680,527.79
Communities & Local Government,GO,04/06/2010,Travel and Subsistence Account,GONE,REDFERN TRAVEL LIMITED,2100181340,"1,378.83"
Communities & Local Government,GO,04/06/2010,Travel and Subsistence Account,GONE,REDFERN TRAVEL LIMITED,2100181343,"10,700.65"
Communities & Local Government,GO,04/06/2010,Fares UK,GOYH,REDFERN TRAVEL LIMITED,2100181337,"13,036.02"
Communities & Local Government,GO,04/06/2010,Fares UK,GOSW,REDFERN TRAVEL LIMITED,2100181338,"11,969.27"
Communities & Local Government,GO,04/06/2010,Fares UK,GOSE,REDFERN TRAVEL LIMITED,2100181342,"2,969.25"
Communities & Local Government,GO,04/06/2010,Subsistence UK,GOSE,REDFERN TRAVEL LIMITED,2100181342,173.09
Communities & Local Government,GO,04/06/2010,Overseas expense,GOSE,REDFERN TRAVEL LIMITED,2100181342,312.09
Communities & Local Government,GO,04/06/2010,Post,GOL,MITIE MANAGED SERVICES (SOUTHERN) L,5106136712,"1,269.00"
Communities & Local Government,GO,04/06/2010,Professional services,GOEM,LEICS COUNTY & RUTLAND PCT,2100181344,"13,000.00"
Communities & Local Government,GO,04/06/2010,Rent,RCU - PAM - Property Asset Management,DANMERC PROP CONSULTANTS  & MGT LTD,2100181265,"371,963.29"
Communities & Local Government,GO,04/06/2010,Training,GONE,ROCKET SCIENCE UK LTD,5106136708,"1,594.99"
Communities & Local Government,GO,04/06/2010,Vehicle fuel,GOE,ARVAL,5106136701,584.41
Communities & Local Government,GO,04/06/2010,Car Lease (expense),GONE,HITACHI CAPITAL VEHICLE SOLUTIONS,5106136687,"1,763.02"
Communities & Local Government,GO,04/06/2010,Accommodation Service Charges,RCU - PAM - Property Asset Management,DANMERC PROP CONSULTANTS  & MGT LTD,2100181265,"63,861.25"
Communities & Local Government,GO,04/06/2010,Electricity,RCU - PAM - Property Asset Management,DANMERC PROP CONSULTANTS  & MGT LTD,2100181265,"22,560.00"
