Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type,Contract Number,Project Code,Expenditure Type
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/05/2012,Purchase of Office Machinery,Shareholder Executive - Shareholder Executive,XEROX (UK) LTD,1034729,-32.10,  - Purchase of Office Machinery,BN13 1QG,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/05/2012,ICT Infrastructure Specific Service,Finance & Commercial Group - Commercial Directorate,CABLE & WIRELESS UK,1044150,-35609.86,  - ICT Infrastructure Specific Service,MK3 5JP,,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/05/2012,Catering Services,Finance & Commercial Group - Commercial Directorate,BAXTERSTOREY LTD,1049040,57332.06,  - Catering Services,RG6 1PT,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/05/2012,Hire of Agency Staff (Clerical/Secretariat/Other),Shareholder Executive - Shareholder Executive,ADECCO UK LTD,1050541,28.08,  - Hire of Agency Staff (Clerical/Secretariat/Other),B37 7YE,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/05/2012,Stationery,Business & Skills Group - Advanced Manufacturing Services,OFFICE DEPOT INTERNATIONAL (UK) LTD T/A VIKING DIRECT,1051378,280.10,  - Stationery,LE41 9GS,SME,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",23/05/2012,Grants - Current - Other,Business & Skills Group - RDA Transition and Closures,UNIVERSITY OF LEEDS,1051394,13755.00,  - Grants - Current - Other,LS2 8JT,,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/05/2012,Outsourced Programme Management Services,"Legal, People & Communications Group - Innovation Capability Team",FUJITSU SERVICES LTD,1051925,3530.67,  - Outsourced Programme Management Services,WA3 9BD,,,,Programme
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/05/2012,Outsourced Programme Management Services,"Legal, People & Communications Group - Innovation Capability Team",FUJITSU SERVICES LTD,1051927,13860.00,  - Outsourced Programme Management Services,WA3 9BD,,,,Programme
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/05/2012,Service Charges,Finance & Commercial Group - Commercial Directorate,CB RICHARD ELLIS,1052088,3244.46,  - Service Charges,G2 6UA,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/05/2012,Maintenance,Finance & Commercial Group - Commercial Directorate,WATERCOOLERS SOUTHERN LTD,1052240,33.54,  - Maintenance,SO21 1TW,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/05/2012,Hire of Agency Staff (Professional/Management),Shareholder Executive - Shareholder Executive,COI COMMUNICATIONS,1052275,23436.00,  - Hire of Agency Staff (Professional/Management),SE1 7DU,PCTF,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/05/2012,Outsourced Programme Management Services,"Legal, People & Communications Group - Innovation Capability Team",FUJITSU SERVICES LTD,1052404,2339.80,  - Outsourced Programme Management Services,WA3 9BD,,,,Programme
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/05/2012,Other Overseas Travel & Subsistence (Programme),Knowledge & Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1052839,-70.60,  - Other Overseas Travel & Subsistence (Programme),MK10 1PX,GOV,,,Programme
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/05/2012,Grants - Current - Other,Knowledge & Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1052843,3000.00,  - Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/05/2012,Grants - Current - Other,Knowledge & Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1052844,1516.52,  - Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/05/2012,Grants - Current - Other,Knowledge & Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1052845,1372.34,  - Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/05/2012,Grants - Current - Other,Knowledge & Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1052846,18.62,  - Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/05/2012,Grants - Current - Other,Knowledge & Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1052847,12.06,  - Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/05/2012,Grants - Current - Other,Knowledge & Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1052848,171.76,  - Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/05/2012,Grants - Current - Other,Knowledge & Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1052849,474.07,  - Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/05/2012,Grants - Current - Other,Knowledge & Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1052850,5000.00,  - Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/05/2012,Grants - Current - Other,Knowledge & Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1052851,522.97,  - Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/05/2012,Grants - Current - Other,Knowledge & Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1052852,226.24,  - Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/05/2012,Grants - Current - Other,Knowledge & Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1052853,187.22,  - Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/05/2012,Grants - Current - Other,Knowledge & Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1052854,374.62,  - Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/05/2012,Other Overseas Travel & Subsistence (Programme),Knowledge & Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1052855,149.86,  - Other Overseas Travel & Subsistence (Programme),MK10 1PX,GOV,,,Programme
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/05/2012,Other Overseas Travel & Subsistence (Programme),Knowledge & Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1052856,200.78,  - Other Overseas Travel & Subsistence (Programme),MK10 1PX,GOV,,,Programme
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/05/2012,Grants - Current - Other,Knowledge & Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1052857,1261.80,  - Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/05/2012,Grants - Current - Other,Knowledge & Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1052858,1033.55,  - Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/05/2012,Grants - Current - Other,Knowledge & Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1052859,4000.00,  - Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/05/2012,Grants - Current - Other,Knowledge & Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1052860,108.85,  - Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/05/2012,Grants - Current - Other,Knowledge & Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1052861,433.41,  - Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/05/2012,Hotels Overseas,Knowledge & Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1052862,856.11,  - Hotels Overseas,MK10 1PX,GOV,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/05/2012,Programme and Projects Service,Business & Skills Group - RDA Transition and Closures,FUJITSU SERVICES LTD,1052868,15078.00,  - Programme and Projects Service,WA3 9BD,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/05/2012,Programme and Projects Service,Business & Skills Group - RDA Transition and Closures,FUJITSU SERVICES LTD,1052868,10455.00,  - Programme and Projects Service,WA3 9BD,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/05/2012,Accommodation Rentals,Finance & Commercial Group - Commercial Directorate,EDDISONS COMMERCIAL (PROPERTY MANAGEMENT) LTD T/A EDDISONS,1052884,229500.00,  - Accommodation Rentals,LS1 5RN,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/05/2012,Coaching,Business & Skills Group - Skills,LANCE EDYNBRY,1053009,1052.00,  - Coaching,PO19 6PL,SME,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/05/2012,Computer Equipment - Clearing,Finance & Commercial Group - Commercial Directorate,FUJITSU SERVICES LTD,1053083,19105.76,  - Computer Equipment - Clearing,WA3 9BD,,,,Capital
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/05/2012,Research & Development Expenditure (Programme),Government Office for Science - Government Office for Science,SYRITTA ALGORITHMICS LTD,1053108,5600.00,  - Research & Development Expenditure (Programme),BS3 1AZ,,,,Programme
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/05/2012,Other IT Costs,"Legal, People & Communications Group - Innovation Capability Team",DAISY COMMUNICATIONS LTD,1053113,52.79,  - Other IT Costs,BB9 5SR,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/05/2012,Telecommunications,"Legal, People & Communications Group - Legal Services",DAISY COMMUNICATIONS LTD,1053115,35.99,  - Telecommunications,BB9 5SR,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/05/2012,Grants - Current - Other,Knowledge & Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1053150,1056.50,  - Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/05/2012,Grants - Current - Other,Knowledge & Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1053151,7.27,  - Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/05/2012,Grants - Current - Other,Knowledge & Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1053152,6.53,  - Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/05/2012,Grants - Current - Other,Knowledge & Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1053153,43.86,  - Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/05/2012,Grants - Current - Other,Knowledge & Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1053154,171.95,  - Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/05/2012,Grants - Current - Other,Knowledge & Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1053155,574.93,  - Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/05/2012,Grants - Current - Other,Knowledge & Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1053157,2606.23,  - Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/05/2012,Grants - Current - Other,Knowledge & Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1053158,684.45,  - Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/05/2012,Grants - Current - Other,Knowledge & Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1053159,11.07,  - Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/05/2012,Grants - Current - Other,Knowledge & Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1053160,212.98,  - Grants - Current - Other,MK10 1PX,GOV,,,Grants
