ALB Code,Public Sector Procurement Expenditure Survey Category ,Supplier,Net Amount £
Audit Commission,ACCOMMODATION SERVICES,C B Richard Ellis,"2,235,100.66"
Audit Commission,ACCOMMODATION SERVICES,Emerson Management Services Ltd,"197,371.70"
Audit Commission,ACCOMMODATION SERVICES,Grove Park Commercial Centre Ltd,"184,229.70"
Audit Commission,ACCOMMODATION SERVICES,King Sturge LLP,"398,172.09"
Audit Commission,ACCOMMODATION SERVICES,Knight Frank LLP,"535,458.87"
Audit Commission,ACCOMMODATION SERVICES,Regus London,"154,965.54"
Audit Commission,ACCOMMODATION SERVICES,SOG Ltd,"136,060.85"
Audit Commission,ACCOMMODATION SERVICES,Solihull Metropolitan Borough Council,"112,390.19"
Audit Commission,ACCOMMODATION SERVICES,Swaythling Housing Society,"126,646.83"
Audit Commission,ACCOMMODATION SERVICES,Blackburn With Darwen Borough Council,"3,856.12"
Audit Commission,ACCOMMODATION SERVICES,Brighton and Hove Council,"9,826.00"
Audit Commission,ACCOMMODATION SERVICES,Canada Life Ltd,"2,250.00"
Audit Commission,ACCOMMODATION SERVICES,City of Lincoln,"7,381.41"
Audit Commission,ACCOMMODATION SERVICES,City of Sunderland,596.81
Audit Commission,ACCOMMODATION SERVICES,City of Westminster,"11,385.00"
Audit Commission,ACCOMMODATION SERVICES,Cornwall Council,"8,667.34"
Audit Commission,ACCOMMODATION SERVICES,Emerson Management Services,"1,971.64"
Audit Commission,ACCOMMODATION SERVICES,Exeter City Council (General),"1,557.08"
Audit Commission,ACCOMMODATION SERVICES,GL Hearn,"11,024.37"
Audit Commission,ACCOMMODATION SERVICES,Gloucestershire County Council,"10,927.61"
Audit Commission,ACCOMMODATION SERVICES,Harrow Green Removals Group,"10,223.34"
Audit Commission,ACCOMMODATION SERVICES,Ipswich Borough Council,"5,670.20"
Audit Commission,ACCOMMODATION SERVICES,Lancashire County Council,"4,159.36"
Audit Commission,ACCOMMODATION SERVICES,Lancashire County Developments (Property) Ltd,"11,726.05"
Audit Commission,ACCOMMODATION SERVICES,Lancaster City Council (RATES ONLY),"4,047.34"
Audit Commission,ACCOMMODATION SERVICES,Milton Keynes Borough Council,"2,793.12"
Audit Commission,ACCOMMODATION SERVICES,Moves Group Ltd,"6,789.66"
Audit Commission,ACCOMMODATION SERVICES,Norfolk County Council,"4,732.00"
