Monthly Performance,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,YTD
Periodic Training Hours logged,253976,270262,281179,248689,216163,242702,346530,369296,258792,436789,456578,424153,3805109
Periodic training completed successfully and DQC triggered,1425,1359,1508,1241,1663,1522,2151,3120,2379,2989,5019,4843,29219
Initial Qualification completed and DQC triggered ,943,1032,1192,1085,1197,1166,1004,1612,998,1113,1232,1429,14003
DQCs triggered (excludes replacements corrections etc),2368,2391,2700,2326,2860,2688,3155,4732,3377,4102,6251,6272,43222
Non UK EU/EEA DQCs triggered,2,0,0,0,1,1,0,1,1,8,0,2,16
New centres approved,18,5,21,7,9,17,17,11,15,19,10,14,163
New courses approved,193,162,158,128,145,562,361,304,163,322,272,206,2976
Courses completed,5547,6322,6775,6028,5562,5865,7405,8188,5705,8886,9282,9016,84581
Attendees,34494,37113,38137,32777,29552,33272,48247,51106,35848,60791,63253,58930,523520
DSA audits (combined centre and course audits) completed,0,2,1,,,,,,,,,,3
JAUPT routine audits (combined centre and course audits) completed,25,33,34,32,20,,,,,,,,144
DCPC Approved Centre QA Audits completed,,,,10,17,35,25,33,16,51,34,,221
DCPC Approved Course QA Audits completed,,,,,,82,90,105,83,122,122,,604
At current month end total number of live approved centres ,,,,,,1100,1161,1173,1189,1208,1147,1157,
At current month end total number of live approved courses,,,,,,2685,2718,2789,2832,2845,2909,2946,
At current month end total number of active drivers since Sept 08,,,,,,431512,444106,466376,474658,488267,498106,512687,
"Please note that DSA now report on audits by centre and course, irrespective of whether the audit was completed by DSA or JAUPT. ",,,,,,,,,,,,,
